depth (cm),age (yr BP),Temp (degC)
0.025,7.340559,10.7382
0.125,107.009446,10.1862
0.225,230.581406,12.1389
0.325,378.056438,11.8279
0.425,549.434542,11.1305
0.525,744.715718,10.8931
0.625,963.899966,10.056
0.725,1206.987285,10.2353
0.825,1473.977677,9.5596
0.925,1764.871141,11.485900000000001
1.025,2079.667677,10.9173
1.125,2418.367286,12.0608
1.225,2780.969966,11.0731
1.325,3167.475718,12.2966
1.425,3577.884542,12.2263
1.525,4012.196438,10.6988
1.625,4470.411406,10.7448
1.725,4952.529447,11.8129
1.825,5458.550559,12.8164
1.86,5641.305049,12.6551
1.925,5988.474743,12.1895
1.975,6262.400488,11.1846
2.025,6542.302,10.1538
2.075,6828.17928,11.8937
2.125,7120.032328,11.2253
2.155,7298.012526,13.1152
2.165,7357.81732,11.9455
2.175,7417.861144,12.2088
2.185,7478.144,12.4696
2.195,7538.665886,12.5033
2.205,7599.426803,13.433
2.3125,8267.702943,12.6714
2.3375,8427.074945,13.723
2.3625,8587.940889,13.3066
2.3875,8750.300775,12.7858
2.4125,8914.154603,13.0471
2.5125,9584.509336,12.8873
2.595,10155.54652,14.4176
2.605,10225.86867,14.0123
2.615,10296.42984,14.4197
2.625,10367.23005,13.3383
2.635,10438.26929,13.7452
2.645,10509.54756,11.4648
2.655,10581.06486,11.2683
2.705,10942.23681,10.815
2.8,11644.92677,10.6228
2.925,12602.38555,8.4099
