year (AD),age (yr BP),Temp (degC),depth_top (mm),depth_bot (mm),thickness (mm)
1993,-43,15.4,55,70,15
1954,-4,14.3324,120,130,10
1928,22,14.5103,140,160,20
1887,63,14.5678,190,200,10
1876,74,15.2673,200,210,10
1865,85,14.578,210,220,10
1854,96,14.9832,220,230,10
1832,118,15.4738,240,250,10
1810,140,14.1979,260,270,10
1786,164,15.3451,280,290,10
1774,176,14.8523,290,295,5
1768,182,13.9883,295,300,5
1761,189,15.4621,300,310,10
1749,201,14.6445,310,315,5
1742,208,14.4401,315,320,5
1736,214,14.9007,320,330,10
1723,227,14.8652,330,335,5
1716,234,14.4496,335,340,5
1709,241,14.998,340,350,10
1695,255,14.7377,350,355,5
1688,262,15.374,355,360,5
1680,270,14.8081,360,370,10
1666,284,15.6259,370,375,5
1658,292,15.5403,375,380,5
1650,300,15.5125,380,390,10
1635,315,15.6362,390,395,5
1627,323,15.5328,395,400,5
1619,331,14.9697,400,410,10
1553,397,14.7067,440,450,10
1515,435,14.7675,460,470,10
1475,475,14.2456,480,490,10
1432,518,14.4358,500,510,10
1386,564,14.7169,520,530,10
1337,613,15.6751,540,550,10
1285,665,15.4318,560,570,10
1230,720,15.0971,580,590,10
1171,779,14.0065,600,610,10
1111,839,14.6268,620,630,10
983,967,14.8746,660,670,10
967,983,14.849,665,675,10
875,1075,15.5328,712.5,722.5,10
808,1142,15.156,732.5,742.5,10
741,1209,14.579,752.5,762.5,10
673,1277,14.0824,772.5,782.5,10
605,1345,15.1131,792.5,802.5,10
537,1413,14.0585,812.5,822.5,10
470,1480,14.3985,832.5,842.5,10
402,1548,14.5213,852.5,862.5,10
335,1615,14.7256,872.5,882.5,10
269,1681,14.1894,892.5,902.5,10
219,1731,14.4632,912.5,922.5,10
153,1797,14.4917,932.5,942.5,10
128,1822,14.6249,952.5,982.5,30
104,1846,14.7936,992.5,1002.5,10
47,1903,14.8467,1007.5,1017.5,10
6,1944,15.9322,1040,1050,10
-58,2008,15.0523,1060,1070,10
-121,2071,15.1794,1080,1090,10
-183,2133,15.8398,1100,1110,10
-245,2195,15.0151,1120,1130,10
-306,2256,15.2998,1140,1150,10
-366,2316,15.0007,1160,1170,10
-425,2375,14.6895,1180,1190,10
-484,2434,15.412,1200,1210,10
-541,2491,15.0778,1220,1230,10
-612,2562,15.6016,1250,1260,10
-682,2632,15.0813,1270,1280,10
-736,2686,15.3936,1290,1300,10
-790,2740,14.434,1310,1320,10
-836,2786,14.7028,1330,1340,10
-894,2844,15.0148,1350,1360,10
-944,2894,14.9816,1370,1380,10
-994,2944,14.7579,1390,1400,10
-1043,2993,14.044,1410,1420,10
-1091,3041,15.008,1430,1440,10
-1185,3135,15.4487,1470,1480,10
-1232,3182,15.4758,1490,1500,10
-1278,3228,15.1604,1510,1520,10
-1325,3275,14.9278,1530,1540,10
-1371,3321,14.7717,1550,1560,10
-1418,3368,15.3858,1570,1580,10
-1465,3415,15.104,1590,1600,10
-1513,3463,15.085,1610,1620,10
-1561,3511,14.2508,1630,1640,10
-1610,3560,14.5375,1650,1660,10
-1673,3623,16.0159,1670,1700,30
-1763,3713,16.1075,1710,1720,10
-1816,3766,15.2698,1730,1740,10
-1927,3877,14.3977,1770,1780,10
-1985,3935,15.7725,1790,1800,10
-2106,4056,16.1812,1830,1840,10
-2169,4119,14.9919,1850,1860,10
-2302,4252,14.6431,1890,1900,10
-2371,4321,15.1003,1910,1920,10
-2443,4393,15.7514,1930,1940,10
-2498,4448,14.9872,1950,1960,10
-2575,4525,15.2105,1970,1980,10
-2653,4603,13.5954,1990,2000,10
-2694,4644,14.5247,2010,2020,10
-2766,4716,15.3179,2017.5,2027.5,10
-2830,4780,15.9499,2032.5,2042.5,10
-2873,4823,15.1977,2042.5,2052.5,10
-2917,4867,16.2462,2052.5,2062.5,10
-2962,4912,14.4152,2062.5,2072.5,10
-3007,4957,14.5743,2072.5,2082.5,10
-3054,5004,15.5877,2082.5,2092.5,10
-3101,5051,15.2313,2092.5,2102.5,10
-3149,5099,15.173400000000001,2102.5,2112.5,10
-3198,5148,14.64,2112.5,2122.5,10
-3248,5198,15.0794,2122.5,2132.5,10
-3298,5248,15.5818,2132.5,2142.5,10
-3350,5300,15.0783,2142.5,2152.5,10
-3402,5352,14.1144,2152.5,2162.5,10
-3455,5405,14.5437,2162.5,2172.5,10
-3509,5459,14.6908,2172.5,2182.5,10
-3564,5514,14.6684,2182.5,2192.5,10
-3619,5569,14.295,2192.5,2202.5,10
-3675,5625,14.5399,2202.5,2212.5,10
-3710,5660,14.8192,2212.5,2232.5,20
-3747,5697,14.858,2232.5,2242.5,10
-3805,5755,14.7515,2242.5,2252.5,10
-3863,5813,14.5658,2252.5,2262.5,10
-3923,5873,14.535,2262.5,2272.5,10
-3983,5933,14.2093,2272.5,2282.5,10
-4043,5993,15.4491,2282.5,2292.5,10
-4105,6055,15.2158,2292.5,2302.5,10
-4166,6116,14.8494,2302.5,2312.5,10
-4229,6179,14.8219,2312.5,2322.5,10
-4292,6242,14.8998,2327.5,2337.5,10
-4300,6250,14.8892,2340,2350,10
-4435,6385,14.4324,2367.5,2377.5,10
-4581,6531,15.2801,2390,2400,10
-4812,6762,15.1218,2425,2435,10
-5064,7014,14.8715,2462.5,2472.5,10
-5336,7286,13.9134,2515,2525,10
-5557,7507,14.9364,2557.5,2567.5,10
-5811,7761,13.2928,2595,2605,10
-6111,8061,15.017,2640,2650,10
-6498,8448,14.0509,2740,2750,10
-6788,8738,14.7114,2790,2800,10
-7030,8980,14.7011,2850,2860,10
-7195,9145,14.7386,2915,2925,10
-7300,9250,14.9146,2962.5,2972.5,10
-7428,9378,14.0066,3120,3170,50
-7673,9623,14.5947,3282.5,3292.5,10
-7848,9798,14.3739,3320,3330,10
-7894,9844,14.362,3332.5,3342.5,10
-8489,10439,12.872,3482.5,3492.5,10
-8586,10536,12.9811,3775,3785,10
-8661,10611,13.3626,3897.5,3902.5,5
