year (AD),age (yr BP),d18O (permil),depth_top (mm),depth_bot (mm),thickness (mm)
2000.5,-50.5,-17.707,0,5,5
1994.5,-44.5,-17.9,5,10,5
1985,-35,-17.621,10,15,5
1972.5,-22.5,-18.021,15,20,5
1958,-8,-18.293,20,25,5
1938,12,-18.624,25,30,5
1922,28,-18.512,30,35,5
1909.5,40.5,-20.776,35,40,5
1873,77,-19.25,40,45,5
1819,131,-19.371,45,50,5
1764.5,185.5,-22.387,50,55,5
1710,240,-22.627,55,60,5
1656,294,-23.091,60,65,5
1602,348,-22.747,65,70,5
1547.5,402.5,-22.008,70,75,5
1493,457,-20.102,75,80,5
1439,511,-18.816,80,85,5
1384.5,565.5,-19.136,85,90,5
1330,620,-19.033,90,95,5
1276,674,-18.261,95,100,5
1204,746,-19.403,100,110,10
1113.5,836.5,-19.835,110,120,10
1023,927,-19.594,120,130,10
933,1017,-20.283,130,140,10
843,1107,-19.933,140,150,10
752.5,1197.5,-20.221,150,160,10
662,1288,-19.247,160,170,10
572,1378,-18.942,170,180,10
482,1468,-19.916,180,190,10
391.5,1558.5,-19.65,190,200,10
301,1649,-19.962,200,210,10
211,1739,-19.45,210,220,10
121,1829,-20.256,220,230,10
30.5,1919.5,-19.618,230,240,10
-60,2010,-19.605,240,250,10
-153,2103,-19.731,250,260,10
-249,2199,-20.708,260,270,10
-345,2295,-20.135,270,280,10
-441,2391,-20.393,280,290,10
-537,2487,-21.314,290,300,10
-634.5,2584.5,-20.61,300,310,10
-734,2684,-20.343,310,320,10
-833.5,2783.5,-21.05,320,330,10
-932.5,2882.5,-19.679,330,340,10
-1032,2982,-19.46,340,350,10
-1131.5,3081.5,-19.431,350,360,10
-1230.5,3180.5,-18.82,360,370,10
-1330,3280,-20.054,370,380,10
-1429.5,3379.5,-21.49,380,390,10
-1528.5,3478.5,-18.59,390,400,10
-1628,3578,-18.7,400,410,10
-1727.5,3677.5,-18.878,410,420,10
-1826.5,3776.5,-18.06,420,430,10
-1926,3876,-19.077,430,440,10
-2025.5,3975.5,-17.73,440,450,10
-2081,4031,-18.357,450,460,10
-2093,4043,-17.32,460,470,10
-2104.5,4054.5,-17.582,470,480,10
-2116,4066,-19.01,480,490,10
-2128,4078,-17.804,490,500,10
-2140,4090,-17.47,500,510,10
-2151.5,4101.5,-17.89,510,520,10
-2163,4113,-17.07,520,530,10
-2175,4125,-17.869,530,540,10
-2187,4137,-17.4,540,550,10
-2199,4149,-18.061,550,560,10
-2210.5,4160.5,-17.9,560,570,10
-2222,4172,-18.777,570,580,10
-2234,4184,-17.43,580,590,10
-2258,4208,-18.228,600,610,10
-2269.5,4219.5,-18.034,610,620,10
-2281,4231,-18.059,620,630,10
-2293,4243,-18.196,630,640,10
-2305,4255,-18.117,640,650,10
-2316.5,4266.5,-18.102,650,660,10
-2328,4278,-17.887,660,670,10
-2340,4290,-17.589,670,680,10
-2352,4302,-17.38,680,690,10
-2364,4314,-17.77,690,700,10
-2375.5,4325.5,-17.713,700,710,10
-2387,4337,-17.93,710,720,10
-2411,4361,-17.648,730,740,10
-2470,4420,-17.94,780,790,10
-2529,4479,-18.62,830,840,10
-2588,4538,-18.27,880,890,10
-2646.5,4596.5,-18.156,930,940,10
-2705.5,4655.5,-18.59,980,990,10
-2764.5,4714.5,-19.375,1030,1040,10
-2823,4773,-18.86,1080,1090,10
-2882,4832,-18.97,1130,1140,10
-2941,4891,-19.36,1180,1190,10
-3000,4950,-18.283,1230,1240,10
-3059,5009,-20.05,1280,1290,10
-3118,5068,-20.012,1330,1340,10
-3177,5127,-21.13,1380,1390,10
-3293.5,5243.5,-22.27,1480,1490,10
-3328,5278,-19.927,1510,1520,10
-3408.5,5358.5,-22.95,1580,1590,10
-3477.5,5427.5,-19.577,1640,1650,10
-3523.5,5473.5,-22.39,1680,1690,10
-3546.5,5496.5,-20.461,1700,1710,10
-3569.5,5519.5,-20.542,1720,1730,10
-3615.5,5565.5,-23.01,1760,1770,10
-3708,5658,-22.15,1840,1850,10
-3774.5,5724.5,-22.12,1880,1890,10
-3973,5923,-21.43,1980,1990,10
-4012,5962,-21.422,2000,2010,10
-4092,6042,-19.417,2040,2050,10
-4131,6081,-20.5,2060,2070,10
-4171,6121,-20.856,2080,2090,10
-4290,6240,-21.342,2140,2150,10
-4329.5,6279.5,-21.208,2160,2170,10
-4567,6517,-22.32,2280,2290,10
-4607,6557,-20.271,2300,2310,10
-4646.5,6596.5,-20.476,2320,2330,10
-4686,6636,-19.59,2340,2350,10
-4765.5,6715.5,-19.836,2380,2390,10
-4876.5,6826.5,-20.824,2420,2430,10
-5042,6992,-20.154,2440,2450,10
-5207,7157,-20.858,2460,2470,10
-5372.5,7322.5,-20.16,2480,2490,10
-5537.5,7487.5,-20.653,2500,2510,10
-5702.5,7652.5,-21.108,2520,2530,10
-5868,7818,-20.303,2540,2550,10
-6033.5,7983.5,-19.324,2560,2570,10
-6182,8132,-20.846,2580,2590,10
