depth (cm),age (yr BP),Temp (degC)
1,-127.935,12.2031
5,65.445,12.5994
10,307.17,13.2317
15,548.895,12.5587
20,790.62,13.6694
25,1032.345,12.3196
30,1274.07,14.2487
35,1515.795,13.1916
40,1757.52,12.878
45,1999.245,12.7904
50,2240.97,13.3199
55,2482.695,11.6119
60,2724.42,13.6011
65,2966.15,14.2289
70,3207.87,13.1799
75,3449.6,13.7143
80,3691.32,13.5404
85,3933.05,13.0596
90,4174.77,13.2515
95,4416.5,12.9764
100,4658.22,13.1899
105,4899.95,13.8903
110,5141.67,12.5584
115,5383.4,13.5699
120,5625.12,11.8244
125,5866.85,12.2452
130,6108.57,12.6584
135,6350.3,13.8379
140,6592.02,13.1954
145,6833.75,13.1613
150,7075.47,14.0535
155,7317.2,14.9187
162,7655.61,14.0468
165,7800.65,14.2722
170,8042.37,13.1169
175,8284.1,13.6558
180,8525.82,13.8918
185,8767.55,15.1072
190,9009.27,14.8458
195,9251,14.5942
200,9492.72,14.3084
205,9734.45,14.2337
210,9976.17,14.9935
215,10217.9,15.502
220,10459.62,15.3503
225,10701.35,15.4627
230,10943.07,15.4224
235,11184.8,15.5629
240,11426.52,13.9031
