age (yr BP),Temp (degC),precip (mm/yr)
0,12.7,354.8
0.9,12.2,340.9
3.4,12,356.1
6.6,12.9,335.6
10.3,12,406.4
14.6,11.9,317.2
19.5,12.7,322.2
25,11.9,350.5
45.1,12.1,327.6
60.6,12.4,367.2
77,12.4,397.4
114.1,12.6,325.2
135.7,11.6,362.7
187.2,12.3,398.2
271.6,11.9,360.9
411.3,12.3,307.4
567.7,12,394.6
767.6,13.3,356.2
1017.9,14.3,283.9
1324.7,14.2,280
1671.3,12.2,395.2
2015.9,14,358.1
2314.7,11.6,382.6
2570.3,14.2,344.1
2815.9,12.2,413.5
3054,13.9,378.3
3287.4,11.8,435.7
3518.8,13.6,271
3750.7,12.8,420.2
3985.9,12.4,289
4227.5,14.1,334.3
4477.6,14.1,260.2
4734.6,12,438.1
4997.4,13.2,445.7
5264.3,13.2,413.6
5533.9,14.1,274.2
5804.8,12,352.4
6075.5,14,315
6344.5,14.5,286.1
6612.1,14.6,283.4
6880.5,12.4,381
7149.5,14,318.7
7418.7,14.5,303.9
7687.6,14.8,306.9
7955.9,14,320
8223.1,14.3,306
8488.9,14.5,277
8752.7,14.1,271
9014.3,13.9,308.7
9273.3,14.1,316.7
9529.1,14.1,320.5
9781.4,14.4,395.6
10029.8,11.4,230.3
10274.8,11.4,205.6
10519.4,9.8,183.6
10763.4,10.2,192.8
11006.1,10.4,198.7
11246.8,9.7,186.2
11484.9,8.7,193.5
11719.6,8.9,197.2
11950.5,8.7,196.1
12177.8,9.3,271.9
12402.2,14,301.2
12624.3,13.7,307.5
13064.8,6.2,157.3
13416.8,6.5,162.6
