depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm/yr)
1,-239.8,14.5,-8.528571429,2.295228571,452.4285714
5,-46.7,14.1,-9.385714286,1.665471429,454.4285714
10,194.6,14.44285714,-8.614285714,2.172614286,446.2857143
15,435.9,14.78571429,-9.685714286,2.102385714,454
20,677.3,15.27142857,-8.657142857,2.739285714,421.1428571
25,918.6,16.95714286,-8.514285714,4.029771429,380.5714286
30,1159.9,14.9,-9.671428571,2.398814286,411.7142857
35,1401.2,14.38571429,-8.542857143,2.141671429,433.7142857
40,1642.6,17.01428571,-8.5,4.048814286,393.5714286
45,1883.9,16.95714286,-8.514285714,4.029771429,380.5714286
50,2125.2,14.45714286,-9.9,2.003571429,471.2857143
53,2270,14.55714286,-9.785714286,2.0619,498.7142857
55,2366.6,15.58571429,-9.2,2.682142857,415.1428571
58,2571.5,15.85714286,-9.214285714,2.928557143,436.8571429
60,2908.4,13.65714286,-10.31428571,1.425,464.2857143
63,3413.9,14.64285714,-10.04285714,1.9369,454.7142857
65,3750.9,14.67142857,-9.842857143,1.967857143,449.1428571
68,4256.3,14.57142857,-9.9,2.072614286,465
70,4459.1,13.85714286,-9.3,1.780957143,491.4285714
75,4630.2,15.78571429,-8.942857143,3.059528571,453.8571429
80,4801.3,14.24285714,-8.9,2.044057143,479.1428571
85,5060.8,14.15714286,-9.285714286,1.722614286,438.2857143
90,5358.2,14.31428571,-8.985714286,2.104757143,490.8571429
95,5621.9,12.5,-9.985714286,0.802371429,589.2857143
100,5751,12.67142857,-9.814285714,1.032128571,559
105,5880,12.2,-10.34285714,0.646428571,505.2857143
110,5941.6,14.92857143,-9.042857143,2.795228571,518.4285714
115,5974.2,13.18571429,-9.628571429,1.242857143,496.1428571
120,6191.8,14.45714286,-9.157142857,2.077371429,491
125,6840.9,16.38571429,-8.342857143,3.858328571,454.5714286
130,7490,16.05714286,-8.7,3.295242857,443.5714286
135,7986.3,14.71428571,-9.471428571,2.4988,490.1428571
140,8417.1,12.14285714,-10.2,0.634514286,594
145,8847.9,10.72857143,-11.24285714,-0.579771429,596
150,9278.8,12.51428571,-10.34285714,0.379757143,521.2857143
155,9698.5,12.48571429,-10.08571429,0.778557143,604
160,10107.1,12.54285714,-10.28571429,0.708328571,563.4285714
165,10515.7,12.54285714,-10.3,0.807142857,561.5714286
169.5,10883.4,14.64285714,-8.042857143,2.565457143,447.2857143
175,11332.9,NA,NA,NA,NA
179,11659.8,NA,NA,NA,NA
