year (AD),age (yr BP),depth (cm),DI0x2Dlake0x2Ddepth (m),Z0x2Dscore (standardized)
1950,0,346,2.28,-0.01
1946.41026,3.58973999999989,348,2.33,0.04
1942.82052,7.17948000000001,350,2.32,0.03
1939.23078,10.7692199999999,352,2.26,-0.03
1935.64104,14.35896,354,2.05,-0.24
1932.0513,17.9486999999999,356,2.07,-0.22
1928.46156,21.53844,358,2.14,-0.15
1924.87182,25.1281799999999,360,2.12,-0.17
1921.28208,28.71792,362,1.96,-0.33
1917.69234,32.3076599999999,364,2.07,-0.22
1914.1026,35.8974000000001,366,2.05,-0.24
1910.51286,39.48714,368,2.07,-0.22
1906.92312,43.0768800000001,370,1.71,-0.58
1903.33338,46.66662,372,1.74,-0.55
1899.74364,50.2563600000001,374,1.72,-0.57
1896.1539,53.8461,376,1.73,-0.56
1892.56416,57.4358400000001,378,1.85,-0.44
1888.97442,61.02558,380,1.77,-0.52
1885.38468,64.6153199999999,382,1.88,-0.41
1881.79494,68.20506,384,1.96,-0.33
1824.125,125.875,386,2.13,-0.16
1712.375,237.625,388,2.05,-0.24
1600.625,349.375,390,1.78,-0.51
1488.875,461.125,392,1.87,-0.42
1377.125,572.875,394,1.76,-0.53
1265.375,684.625,396,1.67,-0.62
1153.625,796.375,398,1.8,-0.49
1041.875,908.125,400,1.95,-0.34
978.717949,971.282051,402,1.94,-0.35
964.153847,985.846153,404,1.89,-0.4
949.589745,1000.410255,406,2.01,-0.28
935.025643,1014.974357,408,1.98,-0.31
920.461541,1029.538459,410,2.23,-0.06
905.897439,1044.102561,412,2.07,-0.22
891.333337,1058.666663,414,2.02,-0.27
876.769235,1073.230765,416,2.36,0.07
862.205133,1087.794867,418,2.22,-0.07
847.641031,1102.358969,420,2.08,-0.21
833.076929,1116.923071,422,2.23,-0.06
818.512827,1131.487173,424,2.22,-0.07
803.948725,1146.051275,426,2.22,-0.07
789.384623,1160.615377,428,2.24,-0.05
774.820521,1175.179479,430,2.3,0.01
760.256419,1189.743581,432,2.23,-0.06
745.692317,1204.307683,434,2.57,0.28
731.128215,1218.871785,436,2.34,0.05
716.564113,1233.435887,438,2.39,0.1
702,1248,440,2.45,0.16
684.044,1265.956,442,2.64,0.35
666.088,1283.912,444,2.46,0.17
648.132,1301.868,446,2.37,0.08
630.176,1319.824,448,2.61,0.32
612.22,1337.78,450,2.4,0.11
594.264,1355.736,452,2.31,0.02
576.308,1373.692,454,3.05,0.76
558.352,1391.648,456,3.01,0.72
540.396,1409.604,458,2.71,0.42
522.44,1427.56,460,2.56,0.27
504.484,1445.516,462,2.39,0.1
486.528,1463.472,464,2.67,0.38
468.572,1481.428,466,2.5,0.21
450.616,1499.384,468,2.46,0.17
432.66,1517.34,470,2.43,0.14
414.704,1535.296,472,2.15,-0.14
396.748,1553.252,474,2.13,-0.16
378.792,1571.208,476,2.13,-0.16
360.836,1589.164,478,2.38,0.09
342.88,1607.12,480,2.43,0.14
324.924,1625.076,482,2.32,0.03
306.968,1643.032,484,2.61,0.32
249.48572,1700.51428,486,2.94,0.65
152.45716,1797.54284,488,3.35,1.06
55.4286,1894.5714,490,3.45,1.16
-41.59996,1991.59996,492,3.32,1.03
-138.62852,2088.62852,494,3.41,1.12
-235.65708,2185.65708,496,2.89,0.6
-332.68564,2282.68564,498,3.07,0.78
-429.7142,2379.7142,500,3.15,0.86
-526.74276,2476.74276,502,2.85,0.56
-623.77132,2573.77132,504,3.16,0.87
-720.79988,2670.79988,506,3.46,1.17
-817.82844,2767.82844,508,3.71,1.42
-914.857,2864.857,510,3.37,1.08
-1011.88556,2961.88556,512,3.43,1.14
-1108.91412,3058.91412,514,2.94,0.65
-1205.94268,3155.94268,516,2.78,0.49
-1302.97124,3252.97124,518,2.95,0.66
-1405,3355,520,3.35,1.06
-1426.151514,3376.151514,522,3.11,0.82
-1447.303028,3397.303028,524,3.26,0.97
-1468.454542,3418.454542,526,3.32,1.03
-1489.606056,3439.606056,528,3.34,1.05
-1510.75757,3460.75757,530,3.31,1.02
-1531.909084,3481.909084,532,3.34,1.05
-1553.060598,3503.060598,534,3.07,0.78
-1574.212112,3524.212112,536,3.45,1.16
-1595.363626,3545.363626,538,3.42,1.13
-1616.51514,3566.51514,540,3.13,0.84
-1637.666654,3587.666654,542,2.98,0.69
-1658.818168,3608.818168,544,2.73,0.44
-1679.969682,3629.969682,546,3.1,0.81
-1701.121196,3651.121196,548,3.28,0.99
-1722.27271,3672.27271,550,3.56,1.27
-1743.424224,3693.424224,552,3.5,1.21
-1769.4468,3719.4468,554,3.52,1.23
-1800.3404,3750.3404,556,3.34,1.05
-1831.234,3781.234,558,3.32,1.03
-1862.1276,3812.1276,560,2.24,-0.05
-1893.0212,3843.0212,562,1.73,-0.56
-1923.9148,3873.9148,564,1.7,-0.59
-1954.8084,3904.8084,566,1.55,-0.74
-1985.702,3935.702,568,1.53,-0.76
-2016.5956,3966.5956,570,1.67,-0.62
-2047.4892,3997.4892,572,1.91,-0.38
-2078.3828,4028.3828,574,2.19,-0.1
-2109.2764,4059.2764,576,1.75,-0.54
-2140.17,4090.17,578,1.76,-0.53
-2171.0636,4121.0636,580,1.85,-0.44
-2201.9572,4151.9572,582,1.61,-0.68
-2232.8508,4182.8508,584,1.63,-0.66
-2263.7444,4213.7444,586,1.54,-0.75
-2294.638,4244.638,588,1.44,-0.85
-2325.5316,4275.5316,590,1.25,-1.04
-2356.4252,4306.4252,592,1.36,-0.93
-2387.3188,4337.3188,594,1.4,-0.89
-2418.2124,4368.2124,596,1.6,-0.69
-2449.106,4399.106,598,1.56,-0.73
-2480,4430,600,1.82,-0.47
-2508.6666,4458.6666,602,1.71,-0.58
-2537.3332,4487.3332,604,1.98,-0.31
-2565.9998,4515.9998,606,1.95,-0.34
-2594.6664,4544.6664,608,2.02,-0.27
-2623.333,4573.333,610,1.64,-0.65
-2651.9996,4601.9996,612,1.69,-0.6
-2680.6662,4630.6662,614,1.59,-0.7
-2709.3328,4659.3328,616,2.73,0.44
-2737.9994,4687.9994,618,2.61,0.32
-2795.3326,4745.3326,622,1.93,-0.36
-2823.9992,4773.9992,624,1.45,-0.84
-2852.6658,4802.6658,626,1.52,-0.77
-2881.3324,4831.3324,628,1.59,-0.7
-2909.999,4859.999,630,1.66,-0.63
-2938.6656,4888.6656,632,1.46,-0.83
-2967.3322,4917.3322,634,1.54,-0.75
-2995.9988,4945.9988,636,1.52,-0.77
-3024.6654,4974.6654,638,1.55,-0.74
-3053.332,5003.332,640,1.88,-0.41
-3081.9986,5031.9986,642,1.53,-0.76
-3110.6652,5060.6652,644,1.62,-0.67
-3139.3318,5089.3318,646,1.44,-0.85
-3167.9984,5117.9984,648,1.36,-0.93
-3196.665,5146.665,650,1.43,-0.86
