depth (cm),age (yr BP),predictedTemp (degC),tempAnom (degC),tempSmooth5 (degC),tempAv8 (degC),tempAv0 (degC),LakeName (unitless)
0.5,-274.878169,8.3348,-0.7652,NA,NA,NA,3M
0.01,-235.029378,9.3224,-0.5776,NA,NA,NA,Cabin
1,-127.935,12.2031,-1.6969,-0.44116,NA,NA,Frozen
0.025,-122.2514693,11.7957,0.6957,-0.54824,NA,NA,LOWoods
0.025,7.340558744,10.7382,0.1382,-0.87616,-0.767175,NA,Crater
5,65.445,12.5994,-1.3006,-0.61954,-0.4791625,-0.48029,Frozen
2.5,91.34457799,6.8828,-2.2172,-0.4509,-0.4325125,-0.4706,3M
0.125,107.0094465,10.1862,-0.4138,-0.51942,-0.3039375,-0.29005,Crater
0.225,230.5814062,12.1389,1.5389,-0.39296,-0.2374125,0.08612,Crater
0.155,244.1470668,9.6956,-0.2044,0.29606,0.0034125,-0.12745,Cabin
10,307.17,13.2317,-0.6683,0.79178,-0.0140125,-0.2754,Frozen
0.325,378.056438,11.8279,1.2279,0.196,0.095475,-0.09229,Crater
0.125,410.1051617,13.1648,2.0648,-0.03138,0.2135125,0.01853,LOWoods
4.5,457.567325,7.66,-1.44,0.20838,-0.117475,0.08922,3M
15,548.895,12.5587,-1.3413,-0.259,-0.0552875,-0.08773,Frozen
0.425,549.4345418,11.1305,0.5305,-0.61334,-5.75e-4,-0.15736,Crater
0.305,739.8468372,8.791,-1.109,-0.37146,-0.26665,0.04997,Cabin
0.525,744.7157177,10.8931,0.2931,-0.28334,-0.349125,-0.12722,Crater
20,790.62,13.6694,-0.2306,-0.10844,-0.237125,-0.49174,Frozen
6.5,823.790072,8.1993,-0.9007,0.00456,-0.2670125,-0.468,3M
0.225,930.6544136,12.505,1.405,-0.37014,-0.48365,-0.37034,LOWoods
0.625,963.8999655,10.056,-0.544,-0.56454,-0.3906125,-0.39377,Crater
25,1032.345,12.3196,-1.5804,-0.45734,-0.390225,-0.248,Frozen
8.5,1190.012819,7.8974,-1.2026,-0.6791,-0.3178125,-0.2408,3M
0.725,1206.987285,10.2353,-0.3647,-0.50056,-0.1595875,-0.32178,Crater
0.455,1235.546608,10.1962,0.2962,-0.11146,-0.4652625,-0.30255,Cabin
30,1274.07,14.2487,0.3487,-0.07902,-0.4858125,-0.52042,Frozen
0.325,1439.396287,11.4651,0.3651,-0.14776,-0.384975,-0.45473,LOWoods
0.825,1473.977677,9.5596,-1.0404,-0.36174,-0.2205375,-0.39889,Crater
35,1515.795,13.1916,-0.7084,-0.4089,-0.3027,-0.19004,Frozen
10.5,1556.235566,8.3263,-0.7737,-0.68632,-0.2289875,-0.45507,3M
0.605,1731.246378,10.0129,0.1129,-0.30106,-0.64945,-0.29793,Cabin
40,1757.52,12.878,-1.022,-0.76238,-0.4616375,-0.44376,Frozen
0.925,1764.871141,11.485900000000001,0.8859,-0.23412,-0.4702875,-0.44854,Crater
12.5,1922.458313,6.085,-3.015,-0.47862,-0.342075,-0.42367,3M
0.425,1936.33078,12.9676,1.8676,-0.21076,-0.344325,-0.41084,LOWoods
45,1999.245,12.7904,-1.1096,-0.54628,-0.43095,-0.43006,Frozen
1.025,2079.667677,10.9173,0.3173,-0.0593,-0.4239375,-0.29527,Crater
