year (AD),age (yr BP),depth (cm),dryBulkDensity (g/cm3),peatFlux (g/m2/yr)
2000,-50,0,0.0391,187.9253
1997.9,-47.9000000000001,1,0.0581,278.6867
1995.8,-45.8,2,0.0491,235.9058
1993.8,-43.8,3,0.0795,381.3607
1991.7,-41.7,4,0.0764,366.693
1989.6,-39.5999999999999,5,0.0849,407.6404
1987.5,-37.5,6,0.0853,409.4738
1985.4,-35.4000000000001,7,0.1864,894.7309
1983.3,-33.3,8,0.1597,766.3884
1981.3,-31.3,9,0.1076,516.426
1979.2,-29.2,10,0.0574,275.6309
1977.1,-27.0999999999999,11,0.1019,488.924
1975,-25,12,0.10780000000000001,517.6483
1972.9,-22.9000000000001,13,0.1103,529.2602
1970.8,-20.8,14,0.0871,418.03
1968.8,-18.8,15,0.1001,480.3678
1966.7,-16.7,16,0.0857,411.3073
1964.6,-14.5999999999999,17,0.077,369.7488
1962.5,-12.5,18,0.1263,606.2658
1960.4,-10.4000000000001,19,0.1644,789.0011
1958.3,-8.29999999999995,20,0.1418,680.8267
1956.3,-6.29999999999995,21,0.1482,711.3844
1954.2,-4.20000000000005,22,0.1868,896.5644
1952.1,-2.09999999999991,23,0.1402,672.8816
1950,0,24,0.1216,583.653
1930.2,19.8,25,0.1202,60.821
1910.5,39.5,26,0.1198,60.6277
1890.7,59.3,27,0.0887,44.907
1871,79,28,0.1232,62.3673
1851.2,98.8,29,0.1413,71.5162
1831.4,118.6,30,0.1406,71.1296
1811.7,138.3,31,0.0732,37.0467
1791.9,158.1,32,0.1282,64.88
1772.1,177.9,33,0.0926,46.8399
1752.4,197.6,34,0.1483,75.0598
1732.6,217.4,35,0.0908,45.9379
1712.9,237.1,36,0.1179,59.6612
1693.1,256.9,37,0.1412,71.4518
1673.3,276.7,38,0.1145,57.9217
1653.6,296.4,39,0.1166,59.017
1633.8,316.2,40,0.1192,60.3055
1614,336,41,0.1295,65.5243
1594.3,355.7,42,0.1115,56.4398
1574.5,375.5,43,0.11,55.6666
1554.8,395.2,44,0.1305,66.0397
1535,415,45,0.1355,68.5524
1509.5,440.5,46,0.1075,42.1417
1484,466,47,0.1454,57.0212
1458.5,491.5,48,0.1235,48.433
1433,517,49,0.1211,47.4843
1407.5,542.5,50,0.1515,59.4178
1382,568,51,0.1532,60.0669
1356.5,593.5,52,0.1406,55.1238
1331,619,53,0.1436,56.3221
1305.5,644.5,54,0.1584,62.1141
1280,670,55,0.1328,52.078
1254.5,695.5,56,0.1208,47.3845
1229,721,57,0.1185,46.4857
1203.5,746.5,58,0.1224,47.9837
1178,772,59,0.1281,50.2305
1152.5,797.5,60,0.1118,43.8394
1127,823,61,0.1202,47.1348
1101.5,848.5,62,0.1553,60.9158
1076,874,63,0.1375,53.9254
1050.5,899.5,64,0.1132,44.3886
1025,925,65,0.1054,41.3428
1008,942,66,0.1618,95.1934
991,959,67,0.1634,96.0921
974,976,68,0.1253,73.6981
957,993,69,0.119,70.0282
940,1010,70,0.0875,51.4539
923,1027,71,0.1314,77.2931
906,1044,72,0.0969,56.9962
889,1061,73,0.1584,93.1712
872,1078,74,0.1462,85.9811
855,1095,75,0.1258,73.9977
838,1112,76,0.1376,80.9631
821,1129,77,0.1632,96.0172
804,1146,78,0.1499,88.1531
787,1163,79,0.1337,78.6413
770,1180,80,0.1254,73.773
753,1197,81,0.1108,65.1599
736,1214,82,0.1448,85.1573
719,1231,83,0.1524,89.651
702,1248,84,0.123,72.35
685,1265,85,0.1578,92.7967
671.7,1278.3,86,0.1388,104.742
658.5,1291.5,87,0.1459,110.1232
645.2,1304.8,88,0.1131,85.3311
632,1318,89,0.1505,113.5826
618.7,1331.3,90,0.121,91.2889
605.5,1344.5,91,0.1146,86.4842
592.2,1357.8,92,0.1089,82.16
579,1371,93,0.1417,106.9521
565.7,1384.3,94,0.1176,88.7904
552.5,1397.5,95,0.1275,96.1896
539.2,1410.8,96,0.1285,96.9584
526,1424,97,0.1117,84.274
512.7,1437.3,98,0.123,92.8264
499.5,1450.5,99,0.1133,85.5233
486.2,1463.8,100,0.1113,83.9858
473,1477,101,0.123,92.8264
459.7,1490.3,102,0.149,112.4295
446.5,1503.5,103,0.1063,80.2381
433.2,1516.8,104,0.1255,94.7482
420,1530,105,0.1444,108.9701
325,1625,106,0.139,14.6356
230,1720,107,0.1183,12.4509
135,1815,108,0.1404,14.783
40,1910,109,0.1187,12.4912
-55,2005,110,0.1229,12.9334
-92.2,2042.2,111,0.0894,24.0129
-129.4,2079.4,112,0.117,31.4357
-166.7,2116.7,113,0.1061,28.494
-203.9,2153.9,114,0.1119,30.0675
-241.1,2191.1,115,0.0844,22.6789
-278.3,2228.3,116,0.1152,30.9568
-315.6,2265.6,117,0.1174,31.5383
-352.8,2302.8,118,0.1263,33.9328
