year (AD),age (yr BP),Temp (degC),precip (mm)
1950,0,0,-1.33333333333331
1583,367,-0.033333333333335,-1.33333333333331
1351,599,-0.033333333333335,-1.33333333333331
1126,824,0.133333333333333,4
807,1143,-0.033333333333335,-2.66666666666669
541,1409,0.0999999999999979,2.66666666666669
27,1923,-0.033333333333335,-1.33333333333331
-339,2289,-0.033333333333335,-2.66666666666669
-474,2424,-0.033333333333335,-2.66666666666669
-729,2679,-0.033333333333335,-2.66666666666669
-1171,3121,-0.033333333333335,-2.66666666666669
-1495,3445,2.16666666666667,6
-1818,3768,-0.033333333333335,-1.33333333333331
-2182,4132,-0.033333333333335,-2.66666666666669
-2895,4845,-0.033333333333335,-2.66666666666669
-3228,5178,-0.033333333333335,-1.33333333333331
-3537,5487,0,-1.33333333333331
-4025,5975,1.3,-10.6666666666667
-4313,6263,2.2,-15.3333333333333
-4523,6473,14.0666666666667,193
-4831,6781,3.53333333333333,-23.3333333333333
-5185,7135,-0.033333333333335,-2.66666666666669
-5446,7396,11.8333333333333,279.333333333333
-5646,7596,10.8333333333333,66.3333333333333
-5881,7831,0,-1.33333333333331
-6119,8069,7.3,143.666666666667
-6789,8739,13.8,497.333333333333
-7612,9562,24.0333333333333,859.666666666667
-8494,10444,24.2,1102
-9373,11323,24.0333333333333,859.666666666667
-10686,12636,24.7333333333333,1063.33333333333
-11214,13164,17.5333333333333,712
-11856,13806,17.6666666666667,971.333333333333
-12958,14908,16.8,537.666666666667
-13808,15758,-1.93333333333333,-119.666666666667
-14696,16646,-1.63333333333333,-105
-15823,17773,2.43333333333333,-128
-16750,18700,2.1,-147.333333333333
-17201,19151,-1.63333333333333,-105
-17882,19832,2.1,-147.333333333333
-18493,20443,-1.93333333333333,-119.666666666667
-19345,21295,-1.93333333333333,-119.666666666667
-20305,22255,2.1,-147.333333333333
-20941,22891,6.53333333333333,-31.3333333333333
-22034,23984,10.2666666666667,62.6666666666667
-22788,24738,2.03333333333333,-124
-24572,26522,13.9333333333333,51.3333333333333
-25340,27290,10.2666666666667,62.6666666666667
-26102,28052,15.633333333333301,142.666666666667
-27234,29184,2.03333333333333,-124
-28214,30164,16.6,130.666666666667
-29011,30961,20.8333333333333,104
-29739,31689,15.8,124
-31173,33123,14.0666666666667,117
-31879,33829,24.0333333333333,859.666666666667
-32231,34181,24.2,1102
-32584,34534,6.86666666666667,58
-32927,34877,1.3,-10.6666666666667
-33257,35207,-0.033333333333335,-2.66666666666669
-33575,35525,1.3,-10.6666666666667
