year (AD),age (yr BP),Temp (degC)
1887,63,11.2
1281.3,668.7,11
865.4,1084.6,11.1
557.5,1392.5,10.3
302.6,1647.4,11.2
166,1784,10.4
81.4000000000001,1868.6,10.8
-117.6,2067.6,11.4
-299.5,2249.5,10.6
-624.1,2574.1,11.4
-642.1,2592.1,11
-1050.4,3000.4,9.8
-1416.9,3366.9,11
-1426.1,3376.1,10.9
-2079.9,4029.9,11.4
-2162.8,4112.8,10.8
-2344,4294,10.7
-2371.7,4321.7,10.6
-2468.2,4418.2,11
-2529.9,4479.9,11.2
-2644.2,4594.2,10.9
-2774.8,4724.8,10.6
-2902.2,4852.2,10.6
-3017.6,4967.6,11.1
-3146.4,5096.4,10.3
-3316.4,5266.4,10.6
-3379.2,5329.2,10.5
-3604.1,5554.1,10.7
-3610.3,5560.3,10.2
-3895.4,5845.4,10.9
-4028.4,5978.4,11
-4174.7,6124.7,10.8
-4229.9,6179.9,10.7
-4424.9,6374.9,10.3
-4449.9,6399.9,10.8
-4614.2,6564.2,10.8
-4721.3,6671.3,11.3
-4868.6,6818.6,9.7
-4988.5,6938.5,10.7
-5251.9,7201.9,11.3
-5492.2,7442.2,10.3
-5592.7,7542.7,10.6
-5659,7609,11
-5700.7,7650.7,10.9
-5742.4,7692.4,10.7
-6110,8060,10.1
-6256.1,8206.1,10.7
-6510.1,8460.1,10.1
-6569.5,8519.5,9.6
-6863.2,8813.2,11
-6902.2,8852.2,10.7
-7164,9114,10.3
-7284.2,9234.2,10.2
-7448.2,9398.2,10.6
-7472.8,9422.8,11
-7647.2,9597.2,10.7
-7658.2,9608.2,10.5
-7791.6,9741.6,11.2
-7842.8,9792.8,11.2
-7933.9,9883.9,12.6
-8024.8,9974.8,12.1
-8234.7,10184.7,12.7
-8461.4,10411.4,12.5
-8705.6,10655.6,12.3
-9024.6,10974.6,12.5
-9208,11158,11.6
-9568.9,11518.9,10
-9629.8,11579.8,11.5
-9806.9,11756.9,10.8
-9982,11932,10.3
-10099.8,12049.8,11
-10215.5,12165.5,11.9
-10499.8,12449.8,12
-10781.5,12731.5,11.7
-11058.3,13008.3,11
-11222.1,13172.1,9.9
-11330.2,13280.2,10.2
-11597.6,13547.6,10.4
-11862.3,13812.3,10.7
-12122.4,14072.4,10.9
-12306.8,14256.8,9.9
-12372.8,14322.8,9.7
-12405.8,14355.8,7.5
-12471.5,14421.5,6.7
-12634.1,14584.1,6.9
-12731.2,14681.2,9.3
-12795.3,14745.3,8.5
-12859.5,14809.5,7.5
-12891.5,14841.5,6.7
-12955.2,14905.2,6.6
-13018.8,14968.8,7.5
-13086.2,15036.2,7.5
-13122.3,15072.3,5.9
-13193.1,15143.1,8.4
-13263.7,15213.7,8.5
-13299,15249,10
-13369.5,15319.5,8.6
-13474.5,15424.5,7
