age (yr BP),G.sacculifer (percent)
220.117,3.75319
278.513,4.8312
318.961,4.87143
363.941,3.63461
399.944,1.95873
426.884,2.87685
453.738,6.78813
503.217,5.35181
503.263,3.75545
543.736,2.91769
566.183,3.79586
602.161,2.99797
629.017,6.82944
647.002,6.59013
687.418,7.74781
723.421,6.07192
777.302,7.86825
804.29,7.1102
835.681,9.54489
867.324,3.19963
889.657,8.02878
921.099,8.66758
943.589,8.06912
979.442,11.6213
1033.59,4.07895
1060.42,8.78842
1082.98,5.95507
1105.39,8.11032
1127.83,9.10822
1136.82,8.90875
1195.2,10.7849
1222.21,9.26861
1240.2,8.71003
1280.57,11.5439
1339.15,6.03693
1397.49,9.03056
1437.97,8.15289
1469.24,14.6583
1523.42,6.19803
1550.25,10.708
1599.8,7.11655
1626.72,8.59339
1649.24,6.9174
1698.7,6.07971
1730.11,7.95567
1775,9.79184
1797.49,9.19339
1833.39,10.9896
1869.35,10.9899
1896.36,9.27399
1914.27,11.5889
1923.27,11.2697
1972.88,5.36354
2004.36,4.76515
2026.78,6.60114
2062.7,7.63906
2085.19,6.92088
2112.29,2.25176
2139.12,7.28049
2157.13,6.16318
2206.46,9.71547
2246.95,8.43871
2274.04,4.08886
2300.93,6.60333
2332.45,4.80768
2386.3,7.72146
2404.35,5.12753
2431.19,9.51772
2458.2,8.00139
2480.67,7.80203
2507.66,7.12379
2530.25,3.09318
2557.14,5.68747
2593.15,3.93177
2611.11,4.49063
2642.61,3.17389
2656.02,5.68826
2678.5,5.16962
2718.85,8.68193
2745.86,7.1257
2781.63,13.7908
2804.15,12.1148
2831.06,14.0705
2853.38,19.2189
2875.83,19.8577
2925.48,12.5946
2948.06,8.92321
2992.97,10.0809
3015.54,6.56912
3029.01,7.08805
3064.99,6.0507
3091.86,9.48308
3127.72,12.9155
3163.84,7.16894
3190.65,12.7564
3213.25,8.12715
3226.42,18.9026
3244.53,14.3931
3262.47,15.6304
3289.57,11.1608
3325.55,10.3629
3347.92,13.8352
3352.5,10.6824
3374.96,11.1216
3415.5,8.08885
3438.02,6.21332
3455.79,13.6764
3473.78,13.0779
3514.09,17.8673
3536.74,11.8812
3550.23,11.5221
3550.25,10.8436
3595.19,10.8839
3595.19,10.8839
3631.12,11.8819
3640.11,11.7224
3680.6,10.4057
3725.37,16.5919
3743.38,15.1952
3761.47,11.2444
3806.32,14.6769
3824.45,9.20957
3855.84,11.8039
3873.95,7.1347
3905.27,12.0038
3923.23,12.8022
3936.73,12.044
3954.71,12.1639
3995.22,10.049
4031.15,10.9672
4053.59,11.9651
4107.36,17.5129
4152.46,12.2453
4170.45,11.8064
4192.91,12.2057
4224.27,15.5982
4242.23,16.1171
4260.32,12.4058
4291.72,14.601
4341.36,7.25816
4390.7,10.7306
4431.26,7.13915
4480.45,15.7998
4512.04,11.1706
4547.89,14.7228
4570.22,19.8712
4592.63,21.9865
4624.17,19.1932
4651.09,20.7099
4673.61,19.0339
4695.97,22.9851
4718.6,17.4778
4749.91,22.8658
4772.45,20.1921
4803.89,21.1102
4808.36,21.9483
4866.98,15.0047
4893.84,18.7962
4907.43,15.005
4929.93,14.1671
4970.25,18.6372
5010.97,9.17913
5073.59,19.7555
5132.21,13.0513
5154.57,17.0423
5195.02,16.883
5226.31,22.8297
5253.65,9.93933
5276.1,10.7776
5311.96,13.8509
5334.51,11.1772
5388.17,20.7956
5406.4,12.0158
5428.79,14.6899
5455.81,13.0538
5482.62,18.2821
5527.46,21.994
5559.09,16.1676
5612.74,25.8259
5639.87,20.199
5662.21,24.8286
5680.17,25.2278
5707.46,14.0137
5729.7,22.2351
5765.61,23.8716
5819.68,18.9233
5860.08,20.6797
5886.72,31.9741
5931.85,25.589
5994.96,19.0445
6017.29,24.0333
6066.81,21.1602
6093.69,23.9541
6134.22,21.4401
6152.26,19.2453
6174.82,16.0128
6228.48,25.7111
6287.27,12.9407
6309.45,23.1576
6345.38,23.8363
6367.84,24.3952
6385.8,24.9541
6444.57,13.1016
6462.44,16.8931
6502.97,14.02
6521.04,10.7476
6543.51,10.8276
6574.92,12.7036
6606.42,11.1075
6633.36,12.0256
6660.15,18.1319
6714.14,16.2566
6790.38,21.9642
6844.39,19.2907
6871.46,15.7789
6911.93,14.9412
6984.07,6.95998
7010.98,8.99555
7037.97,8.07786
7078.19,16.1797
7118.78,11.2313
7154.7,12.5486
7172.81,7.95921
7213.28,6.9219
7285.05,11.9111
7339.18,5.20682
7370.41,12.9893
7383.98,10.0761
7424.41,10.7947
7451.49,6.64444
7483,5.04834
7509.95,5.76691
7532.44,5.16846
7568.26,9.87799
7604.23,9.12001
7653.79,5.08961
7703.1,9.5997
7721.06,10.1187
7739.04,10.0789
7761.49,10.8373
7793.09,5.8889
7824.51,7.36578
7842.42,9.76045
7873.89,9.24189
7927.78,10.7988
7959.26,10.1605
7995.16,12.1562
8040.22,8.00604
8080.53,12.9152
8107.49,13.0351
8129.94,13.7935
8161.53,9.20427
8192.92,11.7188
8220.05,6.05194
8269.41,8.92577
8305.33,9.96369
8341.21,12.7177
8372.69,11.8799
8426.82,5.13569
8453.77,5.5749
8480.81,3.2604
8521.15,6.93234
8575.16,4.21897
8602.06,6.45408
8629.09,4.17949
8660.54,4.69856
8687.54,3.38178
8835.32,22.0603
8898.34,18.8282
8930.05,10.0884
8965.84,15.9154
8988.44,11.1265
9024.36,12.5635
9051.47,7.4953
9078.48,6.13861
9105.3,10.9678
9136.9,6.13908
9168.23,10.8087
9199.79,7.29694
9262.61,10.7695
