age (yr BP) [1-1],WR11_d13C (permil) [1-1],WR11_d18O (permil) [1-1],age (yr BP) [1-2],CDR3_d18O (permil) [1-2],CDR3_d13C (permil) [1-2],age (yr BP) [1-3],WR11_MgCa (mol/mol) [1-3],WR11_SrCa (mol/mol) [1-3],age (yr BP) [1-4],CDR3_MgCa (mol/mol) [1-4],CDR3_SrCa (mol/mol) [1-4]
3836,-2.27,-10.63,10170,-11.46,-3.88,3977,0.0052,1.4e-4,10164,0.0025,1e-4
3944,-2.61,-10.82,10177,-10.88,-4.46,4160,0.0063,1.3e-4,10170,0.0019,1.1e-4
4052,-2.06,-10.4,10181,-12.23,-4.44,4343,0.0062,1.2e-4,10181,0.0018,1.1e-4
4160,-1.81,-10.25,10183,-11.45,-4.19,4526,0.0059,1.2e-4,10185,0.0019,8.6e-5
4251,-1.85,-10.77,10185,-11.12,-3.83,4709,0.0057,1.3e-4,10194,0.0024,8.3e-5
4343,-1.9,-10.86,10189,-11.34,-3.96,4892,0.006,1.2e-4,10200,0.002,1e-4
4434,-2.09,-10.85,10194,-11.61,-4.39,5074,0.0058,1.3e-4,10208,0.0019,1e-4
4526,-1.79,-10.88,10197,-11.32,-4.24,5257,0.0055,1.3e-4,10215,0.0019,1e-4
4617,-2.15,-10.53,10200,-11.06,-3.71,5440,0.0065,1.3e-4,10221,0.0019,1e-4
4709,-2.58,-11.13,10204,-11.13,-4.37,5623,0.006,1.2e-4,10227,0.0021,9e-5
4800,-2.44,-11.08,10212,-12.07,-5.58,5806,0.0058,1.5e-4,10235,0.0018,8.5e-5
4891,-2.26,-10.98,10215,-11.15,-5.71,6002,0.0053,1.3e-4,10242,0.0017,9.5e-5
4983,-2.59,-11.04,10218,-11.72,-6.11,6198,0.0064,1.3e-4,10248,0.0019,9.3e-5
5074,-1.96,-10.4,10221,-11.57,-5.66,6394,0.0057,1.3e-4,10256,0.0017,9.4e-5
5166,-1.49,-10.02,10224,-11.52,-5.72,6590,0.0051,1.3e-4,10262,0.0017,8.7e-5
5257,-2.08,-10.39,10227,-11.28,-4.82,6787,0.0051,1.2e-4,10269,0.0017,1.1e-4
5349,-1.49,-10.13,10232,-11.78,-5.62,6983,0.0044,1.2e-4,10275,0.0018,8.9e-5
5440,-1.69,-10.32,10235,-11.67,-5.85,7179,0.0045,1.2e-4,10283,0.0018,1e-4
5531,-2.18,-10.83,10240,-12.11,-6.29,7375,0.0036,1.2e-4,10293,0.0017,1.1e-4
5623,-2.2,-10.76,10242,-11.93,-6.39,7571,0.005,1.1e-4,10299,0.002,1.1e-4
5714,-4.77,-12.07,10245,-12.01,-5.75,7690,0.0047,1e-4,10309,0.0016,1.1e-4
5806,-2.84,-11.53,10248,-11.85,-5.74,7809,0.004,9.5e-5,10352,0.0015,1.1e-4
5910,-2.24,-11.23,10253,-11.29,-6.07,7927,0.0039,1e-4,10407,0.0019,1.1e-4
6013,-2.28,-11.29,10256,-11.75,-6.53,8046,0.0035,1.2e-4,10483,0.0019,1.2e-4
6117,-1.88,-10.96,10259,-11.76,-6.75,8165,0.0031,1.2e-4,10505,0.0016,1e-4
6221,-1.73,-10.98,10262,-11.24,-6.24,8251,0.0028,1.2e-4,10570,0.0016,1.3e-4
6325,-2.4,-11.42,10266,-11.65,-6.25,8337,0.0026,1.2e-4,10635,0.0017,1.3e-4
6429,-2.11,-11.16,10269,-11.81,-6.43,8424,0.0034,1.2e-4,10690,0.0019,1.3e-4
6533,-2.5,-11.63,10272,-11.51,-6.2,8510,0.0026,1.2e-4,10733,0.0017,1.2e-4
6637,-2.47,-11.82,10275,-11.59,-6.12,8596,0.0025,1.2e-4,10766,0.002,1.2e-4
6740,-2.13,-11.42,10280,-12.15,-5.75,8682,0.0031,9.4e-5,10821,0.0019,1.1e-4
6844,-2.39,-11.79,10283,-11.69,-5.74,8779,0.0024,1.1e-4,10875,0.0016,1.2e-4
6948,-2.88,-11.62,10290,-11.47,-6.01,8875,0.003,1.1e-4,10908,0.0018,1.2e-4
7052,-3.18,-11.82,10293,-11.35,-5.64,8972,0.0025,1e-4,10962,0.0019,1.3e-4
7156,-3.03,-11.39,10296,-11.86,-5.45,9068,0.0029,8.8e-5,11017,0.0022,1.4e-4
7260,-3.21,-11.35,10299,-11.9,-5.21,9165,0.0027,1e-4,11082,0.0026,1.2e-4
7364,-3.33,-11.59,10305,-11.99,-6.19,9261,0.0032,8.7e-5,11147,0.0019,1.1e-4
7467,-3.47,-11.88,10309,-11.67,-5.62,9358,0.0031,9.2e-5,11191,0.0018,1.4e-4
7571,-3.28,-11.39,10330,-11.49,-6.27,9454,0.0028,9.3e-5,11256,0.0017,1.1e-4
7631,-2.54,-11.03,10352,-11.19,-5.9,9607,0.0033,9.1e-5,11291,0.0017,1.1e-4
7690,-1.94,-10.88,10374,-11.08,-5.94,9761,0.0027,1.2e-4,11297,0.0015,1.1e-4
7749,-2.13,-10.82,10407,-11.16,-5.35,9914,0.003,1e-4,11302,0.0015,1.1e-4
7809,-2.18,-10.59,10428,-10.94,-4.43,10067,0.003,1.1e-4,11310,0.0015,1.1e-4
7868,-2.23,-11.14,10483,-10.72,-4.41,10221,0.0022,1.1e-4,11317,0.0019,1.2e-4
7927,-1.77,-10.62,10494,-11.11,-5.7,10374,0.0022,1.1e-4,11325,0.0023,1.3e-4
7987,-2.18,-10.85,10505,-10.91,-5.32,10432,0.0024,1.1e-4,11329,0.0018,1.4e-4
8046,-2.78,-11.51,10548,-11.27,-4.61,10490,0.0022,1.2e-4,11336,0.0017,1.1e-4
8106,-2.9,-11.36,10570,-12.78,-5.56,10548,0.0023,1.2e-4,11343,0.0017,1.2e-4
8165,-2.99,-11.43,10603,-11.48,-4.64,10606,0.0024,1.3e-4,11380,0.0018,1.2e-4
8205,-3.39,-11.67,10635,-11.66,-4.37,10664,0.0022,1.2e-4,11447,0.0017,1.3e-4
8245,-3.27,-11.7,10657,-11.54,-4.26,10701,0.0022,1.1e-4,11515,0.0016,1.3e-4
8284,-3.52,-11.44,10690,-10.99,-4.68,10737,0.0021,1.2e-4,11594,0.0019,1.3e-4
8324,-4.47,-11.99,10712,-10.94,-4.43,10774,0.0025,1.3e-4,11650,0.0019,1.3e-4
8364,-4.66,-12.19,10733,-9.79,-4.6,10810,0.0021,1.3e-4,11691,0.0019,1.4e-4
8404,-3.54,-12.1,10755,-11.82,-4.43,10847,0.0027,1.1e-4,11736,0.0019,1.4e-4
8443,-2.78,-11.52,10766,-11.48,-4,10883,0.0024,1.2e-4,11766,0.0019,1.3e-4
8483,-2.52,-11.21,10799,-11.76,-4.32,10920,0.0025,1.2e-4,11804,0.0021,1.2e-4
8523,-4.12,-12.15,10821,-11.36,-4.31,10956,0.0022,1.3e-4,11841,0.0017,1.2e-4
8563,-4.46,-12.29,10853,-11.27,-5.32,11018,0.0021,1.4e-4,11878,0.0018,1.2e-4
8603,-4.47,-12.26,10875,-10.76,-5.64,11079,0.0022,1.4e-4,11908,0.0017,1.2e-4
8642,-4.35,-11.98,10897,-11.44,-5.68,11141,0.0023,1.3e-4,11953,0.0019,1.2e-4
8682,-4.38,-11.89,10908,-11.47,-5.41,11203,0.0026,1.5e-4,11975,0.0016,1.2e-4
8734,-4.46,-11.72,10929,-11.49,-5.39,11264,0.0024,1.6e-4,12005,0.0017,1.1e-4
8785,-5.12,-11.92,10962,-11.3,-3.96,11326,0.0022,1.5e-4,12050,0.0017,1.2e-4
8836,-4.29,-11.94,10995,-11.39,-4.04,11388,0.0022,1.4e-4,12087,0.0017,1.1e-4
8888,-3.78,-12.03,11017,-11.42,-3.76,11449,0.0038,1.2e-4,12139,0.0017,1.2e-4
8939,-4.01,-12.24,11060,-11.61,-3.59,NA,NA,NA,12225,0.0019,1.3e-4
8991,-5.01,-12.57,11115,-11.64,-3.37,NA,NA,NA,12345,0.0021,1.3e-4
9042,-4.95,-12.6,11147,-11.45,-4.23,NA,NA,NA,12430,0.002,1.2e-4
9094,-4.22,-11.59,11169,-11.16,-3.8,NA,NA,NA,12533,0.002,1.3e-4
9145,-3.8,-11.31,11191,-11.02,-4.28,NA,NA,NA,12636,0.0018,1.1e-4
9197,-4.25,-11.96,11223,-11.88,-5.01,NA,NA,NA,14988,0.0019,9.4e-5
9248,-3.95,-10.99,11256,-11.36,-5.24,NA,NA,NA,15148,0.0015,1e-4
9300,-3.67,-10.99,11289,-12.18,-5.61,NA,NA,NA,15309,0.0014,1.1e-4
9351,-4.08,-11.34,11291,-11.67,-5.25,NA,NA,NA,15501,0.0014,1.1e-4
9403,-4.4,-11.36,11294,-11.41,-5.31,NA,NA,NA,15660,0.0013,1.1e-4
9454,-3.92,-11.75,11297,-11.87,-5.71,NA,NA,NA,15822,0.0014,1.1e-4
9531,-4.3,-11.64,11301,-11.99,-6.49,NA,NA,NA,16047,0.0015,1e-4
9607,-3.19,-11.31,11302,-11.17,-6.56,NA,NA,NA,16207,0.0014,1e-4
9684,-3.08,-11.06,11306,-12.03,-7.18,NA,NA,NA,16400,0.0015,1.1e-4
