year (AD),age (BP),MedianElevM (m),stage (),MaxElevM (m),MinElevM (m),Recon0x2EDate ()
1900,50,0,358,0.188571844,-0.188571844,50115
1850,100,-0.001038327,357,0.188571844,-0.190648497,50115
1800,150,-0.002077254,356,0.188571844,-0.192726351,50115
1750,200,-0.003117664,355,0.188571844,-0.194807171,50115
1700,250,-0.004159557,354,0.188571844,-0.196890958,50115
1650,300,-0.005202334,353,0.188571844,-0.198976512,50115
1600,350,-0.006245111,352,0.188571844,-0.201062066,50115
1550,400,-0.026454624,351,0.188571844,-0.241481091,50115
1500,450,-0.053377321,350,0.188571844,-0.295326486,50115
1450,500,-0.080437201,349,0.188571844,-0.349446246,50115
1400,550,-0.095089638,348,0.188571844,-0.378751119,50115
1350,600,-0.090204485,347,0.188571844,-0.368980814,50115
1300,650,-0.11122457,346,0.173235143,-0.395684283,50115
1250,700,-0.125691559,345,0.157833236,-0.409216353,50115
1200,750,-0.153187753,344,0.142366123,-0.448741629,50115
1150,800,-0.154845919,343,0.142170506,-0.451862343,50115
1100,850,-0.156503015,342,0.141974643,-0.454980672,50115
1050,900,-0.158157713,341,0.141778516,-0.458093943,50115
1000,950,-0.173969153,340,0.141582126,-0.489520431,50115
950,1000,-0.189867188,339,0.141385735,-0.521120112,50115
900,1050,-0.205846533,338,0.141189399,-0.552882466,50115
850,1100,-0.209220298,337,0.140993119,-0.559433715,50115
800,1150,-0.214049855,336,0.140796876,-0.568896586,50115
750,1200,-0.230996932,335,0.12021787,-0.582211734,50115
700,1250,-0.264799767,334,0.068807756,-0.59840729,50115
650,1300,-0.295943351,333,0.01273912,-0.604625823,50115
600,1350,-0.315061833,332,-0.023242618,-0.606881048,50115
550,1400,-0.315939469,331,-0.028689255,-0.603189684,50115
500,1450,-0.318112701,330,-0.029773376,-0.606452025,50115
450,1500,-0.334740666,329,-0.030857636,-0.638623697,50115
400,1550,-0.351464857,328,-0.031941343,-0.670988371,50115
350,1600,-0.353706085,327,-0.033023239,-0.674388931,50115
300,1650,-0.334697478,326,-0.023448372,-0.645946583,50115
250,1700,-0.308744632,325,-0.00311455,-0.614374715,50115
200,1750,-0.297243119,324,0.017322018,-0.611808256,50115
150,1800,-0.292515669,323,0.027204455,-0.612235793,50115
100,1850,-0.294632155,322,0.026429073,-0.615693383,50115
50,1900,-0.296762696,321,0.025650825,-0.619176217,50115
0,1950,-0.298899595,320,0.024871632,-0.622670823,50115
-50,2000,-0.292902985,319,0.013075619,-0.59888159,50115
-100,2050,-0.302075435,318,0.001232453,-0.605383323,50115
-150,2100,-0.31835194,317,-0.021777329,-0.614926551,50115
-200,2150,-0.342797219,316,-0.03386859,-0.651725849,50115
-250,2200,-0.348523476,315,-0.046010998,-0.651035954,50115
-300,2250,-0.331670098,314,-0.04707818,-0.616262016,50115
-350,2300,-0.307009464,313,-0.036808597,-0.577210332,50115
-400,2350,-0.298361802,312,-0.01510452,-0.581619084,50115
-450,2400,-0.297897974,311,0.01812487,-0.613920819,50115
-500,2450,-0.29784954,310,0.051647444,-0.647346524,50115
-550,2500,-0.285252456,309,0.073950432,-0.644455344,50115
-600,2550,-0.289977699,308,0.078669532,-0.65862493,50115
-650,2600,-0.291864943,307,0.078245629,-0.661975515,50115
-700,2650,-0.285298787,306,0.089479929,-0.660077504,50115
-750,2700,-0.24610906,305,0.107030333,-0.599248453,50115
-800,2750,-0.200627434,304,0.118377749,-0.519632618,50115
-850,2800,-0.179583565,303,0.11815787,-0.477324999,50115
-900,2850,-0.180815595,302,0.11797937,-0.479610561,50115
-950,2900,-0.214656576,301,0.117822728,-0.547135881,50115
-1000,2950,-0.255380638,300,0.117666086,-0.628427362,50115
-1050,3000,-0.296287624,299,0.117509445,-0.710084693,50115
