depth (cm),age (yr BP),temperatureWarmest (degC),temperatureColdest (degC),temperatureAnnual (degC),precipitation (mm)
1,9,14.17142857,-8.642857143,2.084514286,468.4285714
4,86.8,13.7,-9.8,1.251185714,477
10,242.6,13.84285714,-10.25714286,1.161914286,473.4285714
14,346.4,13.55714286,-10.21428571,1.038114286,476.2857143
19.5,489.2,13.81428571,-9.7,1.360714286,470.5714286
24,606,12.97142857,-10.12857143,0.6881,494.5714286
30,761.8,13.4,-10.05714286,0.947614286,460.8571429
34,865.7,13.74285714,-9.571428571,1.351185714,452
39.5,1008.4,13.25714286,-10.21428571,0.845257143,486
44,1125.3,14.07142857,-9.628571429,1.534528571,451.5714286
50,1281,13.95714286,-9.342857143,1.539285714,435.4285714
52,1389.8,14.42857143,-9.342857143,1.883342857,449
54,1583.7,14.57142857,-9.557142857,1.896442857,452
58,1971.7,13.21428571,-10.25714286,0.791671429,487
59.5,2117.2,13.45714286,-10.28571429,0.945242857,478.7142857
61,2239.2,13.87142857,-9.928571429,1.345228571,494.4285714
65,2439.6,14.91428571,-9.3,2.214285714,454.4285714
70,2690.2,13.32857143,-9.814285714,0.972614286,455
75,2940.8,13.65714286,-9.5,1.415485714,480.8571429
79,3141.2,12.17142857,-9.971428571,0.680942857,498.7142857
84,3391.8,14.67142857,-8.771428571,2.384514286,484.2857143
90,3692.4,14.51428571,-8.628571429,2.489285714,549.1428571
92,3792.7,14.85714286,-7.785714286,3.0488,570.8571429
94,3892.9,14.3,-8.971428571,2.145228571,520.2857143
96,4046.5,14.8,-9,2.329742857,482
98,4280.3,12.44285714,-11.05714286,0.026185714,549.4285714
99.5,4455.7,14.45714286,-9.271428571,1.910714286,439.1428571
104,4981.7,12.6,-10.37142857,0.477385714,477.8571429
110,5683,13.37142857,-8.485714286,2.078557143,739
112,5916.8,15.65714286,-6.342857143,4.302385714,577.2857143
114,6120.5,14.6,-8.971428571,2.263085714,498.5714286
116,6233.8,13.71428571,-9.642857143,1.328557143,461.7142857
119.5,6432.2,13.95714286,-9.442857143,1.696414286,513.1428571
124,6687.2,14.24285714,-9.557142857,1.7988,515
130,7027.2,13.44285714,-9.3,1.744042857,617.2857143
134,7253.9,13.5,-9.757142857,1.291657143,521.5714286
139.5,7565.6,13.95714286,-9.442857143,1.696414286,513.1428571
144,7820.6,13.45714286,-9.428571429,1.444042857,535.7142857
150,8160.6,14.2,-9,2.004757143,493.7142857
154,8387.3,14.87142857,-6.885714286,3.490471429,584.5714286
156,8463.7,13.55714286,-9.242857143,1.909514286,621.2857143
158,8527.7,13.12857143,-9.728571429,1.254757143,568
159.5,8575.8,13.68571429,-9.085714286,1.977371429,597.7142857
161.5,8639.9,13.8,-9.257142857,1.997614286,522.5714286
