year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],SST (degC) [1-1],Core (unitless) [1-1],depthComp (cm) [1-1],stdDev (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],SST (degC) [2-1],event (unitless) [2-1],depthComp (cm) [2-1]
-3777,5727,0.02,6.76,MD01-2416,0.1,0.425,-3682,5632,0.0075,5.2,MD01-2416,0.088
-3929,5879,0.04,7.81,MD01-2416,0.12,0.582,-3777,5727,0.02,3.88,MD01-2416,0.1
-4233,6183,0.08,7.49,MD01-2416,0.16,0.488,-4233,6183,0.08,4.7,MD01-2416,0.16
-4384,6334,0.1,7.02,MD01-2416,0.18,0.4,-4612,6562,0.13,5.78,MD01-2416,0.21
-4612,6562,0.13,6.87,MD01-2416,0.21,0.376,-5042,6992,0.18,5.91,MD01-2416,0.26
-4840,6790,0.16,6.92,MD01-2416,0.24,0.405,-5748,7698,0.25,5.23,MD01-2416,0.31
-5243,7193,0.2,6.91,MD01-2416,0.28,0.382,-5849,7799,0.26,4.19,MD01-2416,0.34
-5849,7799,0.26,6.73,MD01-2416,0.34,0.406,-5949,7899,0.27,7.67,MD01-2416,0.35
-6252,8202,0.3,6.37,MD01-2416,0.38,0.388,-6151,8101,0.29,4.38,MD01-2416,0.36
-6353,8303,0.31,6.95,MD01-2416,0.39,0.411,-6252,8202,0.3,5.05,MD01-2416,0.38
-6756,8706,0.35,6.61,MD01-2416,0.43,0.378,-6353,8303,0.31,6.1,MD01-2416,0.39
-7160,9110,0.39,7.1,MD01-2416,0.47,0.425,-6454,8404,0.32,5.84,MD01-2416,0.4
-7261,9211,0.4,7.29,MD01-2416,0.48,0.479,-6555,8505,0.33,3.98,MD01-2416,0.41
-7361,9311,0.41,7.25,MD01-2416,0.49,0.416,-6756,8706,0.35,6.63,MD01-2416,0.43
-7462,9412,0.42,6.75,MD01-2416,0.5,0.42,-6857,8807,0.36,4.51,MD01-2416,0.44
-7563,9513,0.43,7.55,MD01-2416,0.51,0.514,-6958,8908,0.37,6.2,MD01-2416,0.45
-7664,9614,0.44,7.52,MD01-2416,0.52,0.511,-7059,9009,0.38,6.97,MD01-2416,0.46
-7765,9715,0.45,7.17,MD01-2416,0.53,0.465,-7160,9110,0.39,5.63,MD01-2416,0.47
-7866,9816,0.46,7.41,MD01-2416,0.54,0.548,-7261,9211,0.4,4.82,MD01-2416,0.48
-7967,9917,0.47,7.23,MD01-2416,0.55,0.459,-7361,9311,0.41,5.91,MD01-2416,0.49
-8067,10017,0.48,7.8,MD01-2416,0.56,0.684,-7462,9412,0.42,5.53,MD01-2416,0.5
-8168,10118,0.49,7.86,MD01-2416,0.57,0.696,-7563,9513,0.43,5.61,MD01-2416,0.51
-8269,10219,0.5,7.62,MD01-2416,0.58,0.575,-7664,9614,0.44,5.93,MD01-2416,0.52
-8370,10320,0.51,7.92,MD01-2416,0.59,0.64,-7765,9715,0.45,5.86,MD01-2416,0.53
-8461,10411,0.52,7.73,MD01-2416,0.6,0.69,-7866,9816,0.46,5.03,MD01-2416,0.54
-8553,10503,0.53,8.05,MD01-2416,0.61,0.698,-7967,9917,0.47,7.3,MD01-2416,0.55
-8644,10594,0.54,8.07,MD01-2416,0.62,0.8,-8067,10017,0.48,4.1,MD01-2416,0.56
-8736,10686,0.55,8.45,MD01-2416,0.63,0.761,-8168,10118,0.49,5.89,MD01-2416,0.57
-8827,10777,0.56,8.14,MD01-2416,0.64,0.847,-8269,10219,0.5,4.79,MD01-2416,0.58
-8919,10869,0.57,8.15,MD01-2416,0.65,0.824,-8370,10320,0.51,6.76,MD01-2416,0.59
-9010,10960,0.58,8.12,MD01-2416,0.66,0.879,-8461,10411,0.52,4.6,MD01-2416,0.6
-9101,11051,0.59,7.78,MD01-2416,0.67,0.705,-8553,10503,0.53,6.62,MD01-2416,0.61
-9193,11143,0.6,8.33,MD01-2416,0.68,0.859,-8644,10594,0.54,4.75,MD01-2416,0.62
-9284,11234,0.61,8.49,MD01-2416,0.69,0.908,-8736,10686,0.55,7.49,MD01-2416,0.63
-9376,11326,0.62,8.1,MD01-2416,0.7,0.766,-8827,10777,0.56,6.63,MD01-2416,0.64
-9467,11417,0.63,8.1,MD01-2416,0.71,0.831,-8919,10869,0.57,6.23,MD01-2416,0.65
-9559,11509,0.64,8.38,MD01-2416,0.72,0.925,-9101,11051,0.59,6.27,MD01-2416,0.67
-9650,11600,0.65,7.97,MD01-2416,0.73,0.684,-9193,11143,0.6,9.71,MD01-2416,0.68
-9780,11730,0.66,8.35,MD01-2416,0.74,0.883,-9284,11234,0.61,5.33,MD01-2416,0.69
-9880,11830,0.67,8.13,MD01-2416,0.75,0.802,-9376,11326,0.62,6.83,MD01-2416,0.7
-9970,11920,0.68,8.21,MD01-2416,0.76,0.925,-9467,11417,0.63,5.61,MD01-2416,0.71
NA,NA,NA,NA,NA,NA,NA,-9559,11509,0.64,8.78,MD01-2416,0.72
NA,NA,NA,NA,NA,NA,NA,-9650,11600,0.65,6.88,MD01-2416,0.73
NA,NA,NA,NA,NA,NA,NA,-9780,11730,0.66,8.12,MD01-2416,0.74
NA,NA,NA,NA,NA,NA,NA,-9880,11830,0.67,4.77,MD01-2416,0.75
NA,NA,NA,NA,NA,NA,NA,-9970,11920,0.68,8.48,MD01-2416,0.76
