year (AD),age (yr BP),Temp (degC),precip (mm)
1883,67,10.3,101.333333333333
1606,344,4.9,32.3333333333333
1419,531,9.4,352
1280,670,3,95.3333333333334
1139,811,6.23333333333333,226.333333333333
888,1062,5.83333333333333,26.6666666666667
700,1250,5.66666666666667,61
515,1435,2.06666666666667,69.6666666666666
311,1639,5.83333333333333,26.6666666666667
98,1852,7.7,187.333333333333
-99,2049,5.83333333333333,26.6666666666667
-336,2286,7.6,33.6666666666667
-532,2482,2.43333333333333,40.3333333333333
-806,2756,5.66666666666667,61
-954,2904,3.76666666666667,124
-977,2927,4.13333333333333,94.6666666666666
-1123,3073,4.9,32.3333333333333
-1405,3355,2.03333333333333,32
-1618,3568,8.56666666666667,59.6666666666666
-2018,3968,8.06666666666667,71
-2325,4275,4.93333333333333,20.3333333333333
-2592,4542,3.96666666666667,40
-2898,4848,3.7,19.3333333333333
-3153,5103,3.7,19.3333333333333
-3474,5424,4.93333333333333,20.3333333333333
-3691,5641,4.93333333333333,20.3333333333333
-3964,5914,-3.16666666666667,0.666666666666686
-4109,6059,1.63333333333334,-36.6666666666667
-4275,6225,1,-99
-4387,6337,0.266666666666669,19
-4501,6451,-2.4,-96.3333333333333
-4651,6601,0.5,28.3333333333333
-4775,6725,-2.4,-96.3333333333333
-4871,6821,1.66666666666667,-84.3333333333333
-4976,6926,0.266666666666666,-74
-5221,7171,0.266666666666666,-74
-5390,7340,0.5,41.6666666666667
-5529,7479,-0.533333333333331,173
-5654,7604,-4.7,-151.333333333333
-5798,7748,2.26666666666667,80.3333333333334
-5966,7916,1,209.666666666667
-6116,8066,2.4,311
-6301,8251,3.73333333333333,295.333333333333
-6452,8402,0.5,41.6666666666667
-6590,8540,3.53333333333333,336.333333333333
-6798,8748,0.5,41.6666666666667
-7089,9039,4.1,468.333333333333
-7475,9425,1.7,-30.3333333333333
-7545,9495,3.6,125
-7596,9546,3.2,181
-7653,9603,1.7,-30.3333333333333
-7857,9807,2.03333333333333,-66.3333333333333
-7968,9918,1.66666666666667,-84.3333333333333
-8083,10033,3.66666666666667,134.666666666667
-8147,10097,1.86666666666667,303
-8214,10164,1.66666666666667,-84.3333333333333
-8247,10197,0.833333333333332,-113
-8278,10228,1.66666666666667,-84.3333333333333
-8308,10258,2.93333333333333,79.6666666666666
-8340,10290,3.53333333333333,336.333333333333
-8416,10366,-0.666666666666668,-117.666666666667
-8470,10420,2.16666666666667,88
-8533,10483,1.03333333333333,8.66666666666669
-8593,10543,-2.2,4.66666666666669
-8642,10592,-1.2,-33.6666666666667
-8683,10633,-0.166666666666668,-57.3333333333333
-8722,10672,-1.2,-33.6666666666667
-8762,10712,-1.2,-33.6666666666667
-8806,10756,-0.166666666666668,-57.3333333333333
-8868,10818,-4.63333333333334,-316.666666666667
-9076,11026,0,-46.3333333333333
-9141,11091,1.66666666666667,-70
-9180,11130,3.16666666666667,147.666666666667
-9196,11146,0.300000000000001,19
-9204,11154,2.53333333333333,74.3333333333334
-9218,11168,0.266666666666669,47.6666666666667
-9259,11209,-1.56666666666667,-204.666666666667
-9266,11216,1.83333333333333,50.3333333333333
-9285,11235,6.53333333333333,-34
-9292,11242,0.933333333333337,-47
-9306,11256,6.53333333333333,-34
-9319,11269,6.53333333333333,-34
-9350,11300,10.8,46
-9384,11334,8.43333333333333,96
