year (AD) [1-1],age (yr BP) [1-1],d18O (permil) [1-1],depth (unitless) [1-2],age (yr BP) [1-2],d13C (permil) [1-2],d18O (permil) [1-2]
1950,0,-10.8,0.6,-60,-2.69425,-10.80075
1900,50,-11.49,0.7,-55.04078537,-3.39425,-11.30675
1850,100,-11.91,0.8,-50.08157073,-4.00925,-11.41975
1800,150,-11.64,0.9,-45.1223561,-5.55825,-12.05675
1750,200,-11.09,1,-40.16314147,-4.92725,-11.68175
1700,250,-11.74,1.1,-35.20392683,-2.65025,-10.86675
1650,300,-11.09,1.2,-30.2447122,-3.05525,-10.92475
1600,350,-11,1.3,-25.28549757,-3.23925,-11.04675
1550,400,-11.11,1.4,-20.32628294,-3.46025,-11.16075
1500,450,-11.62,1.5,-15.3670683,-4.37625,-11.49775
1450,500,-11.16,1.6,-10.40785367,-4.51725,-11.44775
1400,550,-11.84,1.7,-5.448639037,-5.50925,-11.95875
1350,600,-11.83,1.8,-0.489424404,-5.10725,-11.75675
1300,650,-12.05,1.9,4.469790229,-5.61525,-11.90575
1250,700,-12.08,2,9.429004862,-5.94425,-12.07075
1200,750,-11.69,2.1,14.3882195,-6.41325,-12.37775
1150,800,-11.12,2.2,19.34743413,-5.29725,-11.89575
1100,850,-11.91,2.3,24.30664876,-5.05325,-11.82975
1050,900,-12.01,2.4,29.26586339,-5.12725,-11.85075
1000,950,-12.44,2.5,34.22507803,-5.26125,-11.93375
950,1000,-11.46,2.6,39.18429266,-5.22025,-11.88075
900,1050,-11.44,2.7,44.14350729,-5.37225,-12.05075
850,1100,-12.09,2.8,49.10272193,-5.23625,-11.63075
800,1150,-11.45,2.9,54.06193656,-5.28225,-11.80075
750,1200,-11.31,3,59.02115119,-5.29125,-11.51775
700,1250,-11.48,3.1,63.98036583,-5.18425,-11.54275
650,1300,-11.05,3.2,68.93958046,-5.24625,-11.62575
600,1350,-11.35,3.3,73.89879509,-5.22125,-11.90675
550,1400,-11.6,3.4,78.85800972,-5.16025,-11.76175
