year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],SumDiatoms (number/cm2) [1-1],CAL (unitless) [1-1],Acinocyclus. curvatulus (unitless) [1-1],A. octonarius (unitless) [1-1],Actinoptychus spp. (unitless) [1-1],Azpeitia nodulifer (unitless) [1-1],Az. tabularis (unitless) [1-1],Coscinodiscus spp. (unitless) [1-1],Cyclotella spp. (unitless) [1-1],Hemidiscus cuneiformis (unitless) [1-1],Paralia sulcata (unitless) [1-1],Roperia tesselata (unitless) [1-1],Stephanopyxis spp. (unitless) [1-1],Thalassiosira spp. (unitless) [1-1],Chaetoceros spores (unitless) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],percentOpal (percent) [2-1],CAL (unitless) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],CAL (unitless) [3-1],LSR (cm/ky) (unitless) [3-1],Bulk MAR (unitless) [3-1],% Al (unitless) [3-1],% Fe (unitless) [3-1],% Mg (unitless) [3-1],% Ca (unitless) [3-1],% Ca-detr (unitless) [3-1],% Ca-ex (unitless) [3-1],% CaCO3-ex (unitless) [3-1],% Na (unitless) [3-1],% K (unitless) [3-1],% P (unitless) [3-1],% Ti (unitless) [3-1],% Mn (unitless) [3-1],ppm Mn (unitless) [3-1],ppm As (unitless) [3-1],ppm Ba (unitless) [3-1],ppm Be (unitless) [3-1],ppm Cd (unitless) [3-1],ppm Co (unitless) [3-1],ppm Cr (unitless) [3-1],ppm Cu (unitless) [3-1],ppm La (unitless) [3-1],ppm Mo (unitless) [3-1],ppm Ni (unitless) [3-1],ppm Pb (unitless) [3-1],ppm Sc (unitless) [3-1],ppm Sr (unitless) [3-1],ppm V (unitless) [3-1],ppm Y (unitless) [3-1],ppm Zr (unitless) [3-1],ppm Zn (unitless) [3-1],% TC (unitless) [3-1],% IC (unitless) [3-1],CaCO3-IC (unitless) [3-1],% OC (unitless) [3-1],ppm Cd/% Mn (unitless) [3-1],ppmBa/%Al (unitless) [3-1],OC-MAR (g) (unitless) [3-1],OC-MAR (mg) (unitless) [3-1],Cd MAR (ug/cm2/ky) (unitless) [3-1],Mo MAR (ug/cm2/ky) (unitless) [3-1],Mn/Mo (unitless) [3-1]
1126.2855,823.7145,0.5,296436,CAL,6307,6307,0,94607,6307,44150,100915,0,25229,0,0,12614,2560706,1126,824,25,10.76,CAL,1126.2855,823.7145,1,CAL,29.7433,5.491225892,2.63,1.59,1.46,7.9,0.96258,6.93742,17.34355,5.28,0.97,0.23,0.14,0.0123,123,18,957,0.6,7,7,124,82.1,13,21,114,8,5.7,430,96,15.1,30.1,152,16.15,2.08,17.33333333,14.07,569.1056911,363.878327,0.772615483,772.615483,38.43858124,115.3157437,5.857142857
958.1805,991.8195,5.5,223215,CAL,14881,0,0,44643,14881,44643,59524,0,29762,0,14881,0,1875000,958,992,30,8.97,CAL,958.1805,991.8195,5,CAL,29.7433,5.667883248,2.65,1.53,1.52,6.63,0.9699,5.6601,14.15025,5.55,1.04,0.26,0.14,0.0123,123,17,1060,0.6,8,6,123,75.9,12.9,24,120,6,6,399,100,16.4,30.7,164,17.3,1.65,13.75,15.65,650.4065041,400,0.887023728,887.0237283,45.34306598,136.029198,5.125
823.6965,1126.3035,10.5,171741,CAL,10409,5204,10409,36430,0,5204,46838,0,15613,0,15613,26021,10382514,824,1126,35,13.32,CAL,823.6965,1126.3035,10,CAL,29.74331519,6.035147676,2.71,1.68,1.61,5.1,0.99186,4.10814,10.27035,6.33,1.08,0.25,0.15,0.0127,127,20,967,0.6,11,7,120,80.5,13.5,37,125,5,6.2,334,126,16.2,31.8,162,16.38,1.11,9.25,15.27,866.1417323,356.8265683,0.92156705,921.5670501,66.38662443,223.300464,3.432432432
655.5915,1294.4085,15.5,229278,CAL,5879,0,5879,17637,23516,41152,58789,0,41152,0,17637,17637,2386831,656,1294,40,10.59,CAL,655.5915,1294.4085,15,CAL,29.74331519,7.429811725,2.64,1.65,1.45,8.04,0.96624,7.07376,17.6844,5.34,0.98,0.25,0.14,0.0124,124,11,677,0.6,6,6,111,71.3,12.8,23,109,-2,5.8,434,97,14.9,29.7,144,15.66,2.08,17.33333333,13.58,483.8709677,256.4393939,1.008968432,1008.968432,44.57887035,170.8856697,5.391304348
487.4865,1462.5135,20.5,47176,CAL,0,0,0,11794,0,11794,11794,0,11794,0,0,0,123839,319,1631,50,8.26,CAL,487.4865,1462.5135,20,CAL,29.74331519,6.341973766,2.38,1.39,1.25,12.4,0.87108,11.52892,28.8223,4.52,0.84,0.24,0.13,0.0113,113,6,683,0.5,4,6,94,55.8,11.5,14,88,3,4.9,624,75,12.8,25,122,14.63,3.51,29.25,11.12,353.9823009,286.9747899,0.705227483,705.2274828,25.36789507,88.78763273,8.071428571
319.3815,1630.6185,25.5,240033,CAL,7743,0,23229,38715,7743,30972,46458,7743,38715,0,7743,30972,1734417,151,1799,55,8.93,CAL,319.3815,1630.6185,25,CAL,29.74331519,7.425162845,2.34,1.41,1.24,12.4,0.85644,11.54356,28.8589,4.44,0.82,0.21,0.12,0.0111,111,10,770,0.5,4,5,105,73,11.3,15,95,-2,4.8,628,78,13.1,25.4,138,15.16,3.46,28.83333333,11.7,360.3603604,329.0598291,0.868744053,868.7440528,29.70065138,111.3774427,7.4
151.2765,1798.7235,30.5,48841,CAL,0,0,0,5427,0,5427,32560,0,5427,0,0,0,37987,-17,1967,60,8.81,CAL,151.2765,1798.7235,30,CAL,29.74331519,7.508842688,2.3,1.38,1.23,13.8,0.8418,12.9582,32.3955,4.48,0.81,0.22,0.12,0.0112,112,5,746,-0.5,4,6,100,61.6,12.1,15,92,-2,4.8,674,77,12.8,26.5,126,14.97,3.27,27.25,11.7,357.1428571,324.3478261,0.878534594,878.5345944,30.03537075,112.6326403,7.466666667
-16.8285000000001,1966.8285,35.5,406842,CAL,0,0,18493,138696,0,92464,92464,18493,36986,0,0,9246,647249,-185,2135,65,7.68,CAL,-16.8285000000001,1966.8285,35,CAL,29.74331519,8.457214241,2.38,1.45,1.21,13.7,0.87108,12.82892,32.0723,4.1,0.79,0.24,0.12,0.0114,114,7,764,0.6,5,6,96,58.7,12.2,14,90,-2,4.8,678,76,12.8,27.1,126,14.83,3.92,32.66666667,10.91,438.5964912,321.0084034,0.922682074,922.6820737,42.28607121,118.4009994,8.142857143
-184.9335,2134.9335,40.5,45460,CAL,0,0,0,22730,0,4546,0,0,18184,0,0,0,63644,-353,2303,70,8.96,CAL,-184.9335,2134.9335,40,CAL,29.74331519,8.675711609,2.54,1.46,1.3,11.8,0.92964,10.87036,27.1759,4.39,0.85,0.42,0.13,0.012,120,10,769,0.5,5,6,102,64.6,12.2,14,95,3,5.1,628,77,13.3,28.2,133,14.48,3.24,27,11.24,416.6666667,302.7559055,0.975149985,975.1499848,43.37855804,121.4599625,8.571428571
-353.0385,2303.0385,45.5,144499,CAL,0,0,26273,52545,0,26273,19704,6568,6568,0,0,6568,597701,-521,2471,75,9.25,CAL,-353.0385,2303.0385,45,CAL,29.74331519,9.108057464,2.33,1.46,1.18,13.4,0.85278,12.54722,31.36805,4.08,0.76,0.26,0.12,0.0109,109,7,785,-0.5,5,4,97,60,12.2,15,95,-2,4.7,691,67,12.7,26.2,132,15.12,3.78,31.5,11.34,458.7155963,336.9098712,1.032853716,1032.853716,45.54028732,136.620862,7.266666667
