year (AD),age (yr BP),Temp (degC),precip (mm)
1950,0,0,0
1675,275,3.56666666666667,-34.3333333333333
1470,480,-0.466666666666667,-48.3333333333333
1324,626,-0.1,40
1166,784,1.23333333333333,164.333333333333
954,996,3.06666666666667,-33.6666666666667
720,1230,2.96666666666667,23.3333333333333
541,1409,0.566666666666667,-44
303,1647,0.833333333333333,-42.6666666666667
50,1900,2.9,-9.66666666666667
-215,2165,3.93333333333333,-9
-439,2389,3.7,98.6666666666667
-716,2666,0.833333333333333,-42.6666666666667
-857,2807,0.766666666666667,-90
-1003,2953,0.833333333333333,-42.6666666666667
-1260,3210,4.5,-66.3333333333333
-1439,3389,0.0333333333333333,-57.3333333333333
-1601,3551,2.33333333333333,-103
-1802,3752,2.66666666666667,-56.3333333333333
-2005,3955,1.66666666666667,-76.3333333333333
-2229,4179,0.533333333333333,-79.6666666666667
-2465,4415,1.56666666666667,-102.666666666667
-2673,4623,6.13333333333333,14
-2900,4850,7.53333333333333,1.33333333333333
-3055,5005,6.1,22
-3347,5297,4.6,-2
-3521,5471,3.76666666666667,-67.3333333333333
-3664,5614,3.23333333333333,-7.66666666666667
-3810,5760,6,-24
-3977,5927,4.16666666666667,-28
-4155,6105,1.6,-33.3333333333333
-4325,6275,4.36666666666667,-39.3333333333333
-4473,6423,3.6,-20
-4953,6903,4.26666666666667,130.666666666667
-5440,7390,3.26666666666667,-29.3333333333333
-5763,7713,5.5,23
-5966,7916,4.23333333333333,22.3333333333333
-6154,8104,3.33333333333333,-23
-6374,8324,5.96666666666667,135.666666666667
-6542,8492,4.3,132.666666666667
-6762,8712,4.3,132.666666666667
-7108,9058,0.3,-93.3333333333333
-7411,9361,-0.666666666666667,-150.333333333333
-7569,9519,5.13333333333333,191
-7644,9594,0.3,-93.3333333333333
-7752,9702,-0.533333333333333,-131
-8296,10246,16.2,759.666666666667
-8624,10574,-1.86666666666667,-146
-9243,11193,15.9333333333333,649
-9752,11702,15.7666666666667,658
-10401,12351,15.9333333333333,649
-10842,12792,15.8,507
-11349,13299,15.5333333333333,513.666666666667
