year (AD),age (yr BP),bulkDensity (g/cc),OM (unitless)
1878.85,71.1500000000001,2.19052,1.76198819106284
1817.7,132.3,1.86182,1.8878869764436499
1756.55,193.45,2.2056,1.99656721692157
1695.4,254.6,2.09602,1.85578867787979
1634.25,315.75,2.14798,2.64258788689956
1573.1,376.9,2.01489,1.97320291543612
1511.95,438.05,2.09861,1.77321390126639
1450.8,499.2,2.11953,1.59054271896838
1389.65,560.35,2.37696,2.28327059663174
1328.5,621.5,2.06366,2.18743715224236
1267.35,682.65,2.30546,2.18696883852696
1206.2,743.8,2.46948,1.40906078270713
1145.05,804.95,2.31664,1.3380477754887
1083.9,866.1,2.61567,1.37665116783606
1022.75,927.25,2.10061,1.97801352027397
961.6,988.4,2.3451,1.56519043057958
900.45,1049.55,2.46507,1.70723260570769
839.3,1110.7,2.2932,2.72387047099736
778.15,1171.85,2.52024,2.41542940967289
717,1233,2.15837,2.70725414777735
655.85,1294.15,2.0484,2.41052984199653
594.7,1355.3,2.07924,2.50191555953829
533.55,1416.45,2.09646,2.41584544833636
472.4,1477.6,2.05357,2.65514905149049
411.25,1538.75,2.28941,2.8181090659654
350.1,1599.9,2.17442,3.3987625346703
288.95,1661.05,2.2591,2.78399999999999
227.8,1722.2,2.24736,3.61277392473828
166.65,1783.35,2.09193,3.92533606078315
105.5,1844.5,2.10041,3.77655447052112
56.5799999999999,1893.42,1.90971,3.29961570740754
-16.8,1966.8,1.99573,3.27391645463816
-77.95,2027.95,2.52981,4.25736416577144
-139.1,2089.1,2.3588,4.28834517232313
-200.25,2150.25,2.23364,3.62595669523121
-261.4,2211.4,2.0901,4.1739301793267
-322.55,2272.55,1.83008,4.02466027004735
-383.7,2333.7,2.06282,4.03434624859311
-444.85,2394.85,2.10457,4.0361061301401
-506,2456,2.07337,3.68357893010737
-567.15,2517.15,2.07317,3.67686566080476
-628.3,2578.3,1.97333,4.16759472368639
-689.45,2639.45,1.93728,4.58850495177967
-750.6,2700.6,1.96576,4.08039123092076
-811.75,2761.75,1.96972,3.9648709936334
-872.9,2822.9,2.03992,4.28763150587731
-934.05,2884.05,1.99289,4.61642850796062
-995.2,2945.2,1.7758,3.6761710794297
-1056.35,3006.35,1.75582,3.60509747146564
-1117.5,3067.5,1.32053,4.44869813888052
-1178.65,3128.65,2.23072,3.85084101596657
-1239.8,3189.8,1.68318,5.25479267137684
-1300.95,3250.95,1.73061,5.76519026295127
-1362.1,3312.1,1.66969,4.46758144760084
-1423.25,3373.25,1.74869,4.85922836287798
-1484.4,3434.4,1.53794,5.46190316555715
-1545.55,3495.55,1.79903,5.07402882970917
-1600,3550,1.1912,3.02375809935196
-1600,3550,1.6323,3.5424561403509
-1600,3550,1.84616,3.2533997380464
-1600,3550,1.86781,3.10372431065768
-1600,3550,1.87908,3.00041896290558
-1600,3550,1.77993,2.81040663204632
-1600,3550,1.52625,2.80717719440546
-1600,3550,1.75448,2.64919320413212
-1600,3550,1.65124,2.67056671436067
-1600,3550,1.75016,2.91368196335804
-1600,3550,1.87379,2.5995293818367
-1600,3550,1.97375,2.71809164194322
-1600,3550,1.63873,2.5307469621817
-1600,3550,1.7087,2.58158792011686
-1600,3550,1.8258,2.74618769914221
-1600,3550,1.67021,2.79953780786276
-1600,3550,1.51346,2.85906891902616
-1600,3550,1.78507,2.65848324036549
-1600,3550,1.9594800000000001,2.76799155712132
-1600,3550,1.91586,2.75167730918338
-1600,3550,1.7496,2.69716389655951
-1600,3550,1.55763,2.96913586132597
-1600,3550,1.81541,2.75666166335803
-1600,3550,1.4409,3.51459355556691
-1600,3550,1.86236,3.2669062397909
-1600,3550,1.66076,3.62065490742451
-1600,3550,1.98085,2.81260410042098
-1600,3550,1.365,2.67821093714954
-1600,3550,1.58168,2.87175149930805
-1686.4,3636.4,1.96143,3.69505137953681
-1857.95,3807.95,1.713,4.53824335368493
-2029.5,3979.5,1.71438,5.33972770285499
-2201.05,4151.05,1.59791,5.61666882360545
-2372.6,4322.6,1.82239,4.99418212995288
-2544.15,4494.15,1.90155,5.15048236302011
-2715.7,4665.7,1.76056,5.42162321775085
-2887.25,4837.25,1.9487,5.29432223284937
-3093.11,5043.11,1.56143,6.5954372083107
-3230.35,5180.35,1.72339,5.45726523320639
-3401.9,5351.9,1.83798,5.54649427162108
-3573.45,5523.45,1.8204,5.53496268169457
-3745,5695,1.66127,5.42790505629877
-3916.55,5866.55,1.92364,5.60943425824243
-4088.1,6038.1,1.51737,5.81290645322649
-4259.65,6209.65,1.59933,6.1285138513341
-4431.2,6381.2,1.67561,5.31215092466171
-4602.75,6552.75,1.57297,5.93774552849281
-4774.3,6724.3,1.53074,5.36694060426006
-4945.85,6895.85,1.63967,6.23371463958965
-5117.4,7067.4,1.52598,6.18116876674269
-5288.95,7238.95,1.71572,5.69162003917795
-5460.5,7410.5,1.52099,5.57025332511855
-5632.05,7582.05,1.81197,5.29592807823907
-5803.6,7753.6,1.68549,5.5010995180835
-5975.15,7925.15,1.39491,5.16207423666365
-6146.7,8096.7,1.64877,4.40285897207149
-6318.25,8268.25,1.85481,3.9120065789474
-6489.8,8439.8,2.01923,4.49411611092074
-6661.35,8611.35,1.96693,4.22790657883477
-6832.9,8782.9,1.48217,4.24264689510828
-7004.45,8954.45,1.91521,2.20785717034124
-7176,9126,1.72701,4.5458440445588
-7347.55,9297.55,1.73572,2.64973008316785
-7519.1,9469.1,1.67001,2.7798862327316902
-7690.65,9640.65,1.48303,3.01743430748571
-7862.2,9812.2,2.11032,1.70058120291787
-8033.75,9983.75,2.00132,1.77427821522307
-8205.3,10155.3,2.02307,2.30269716043415
-8376.85,10326.85,2.00339,1.62426496658477
-8548.4,10498.4,2.10185,2.14026069637353
-8719.95,10669.95,2.12067,2.43490231087432
-8857.19,10807.19,2.00302,2.14433844877643
-9028.74,10978.74,2.18827,2.09357078176878
