year (AD),age (yr BP),d18O (permil)
2002,-52,-19.91
1999,-49,-19.57
1996,-46,-20.07
1993,-43,-20.1
1989,-39,-20.09
1985,-35,-19.53
1980,-30,-19.4
1974,-24,-19.81
1968,-18,-19.91
1963,-13,-20.18
1957,-7,-19.81
1951,-1,-20.15
1947,3,-20.05
1944,6,-20.27
1940,10,-19.72
1937,13,-20.35
1933,17,-20.02
1928,22,-20.08
1924,26,-19.89
1919,31,-20.07
1915,35,-20.06
1911,39,-20.03
1907,43,-19.99
1902,48,-19.93
1897,53,-20.01
1892,58,-19.95
1886,64,-19.56
1880,70,-20
1874,76,-19.79
1868,82,-19.94
1857,93,-20.99
1840,110,-20.05
1826,124,-19.65
1797,153,-19.24
1768,182,-19.28
1740,210,-19.2
1711,239,-19.15
1683,267,-19.12
1654,296,-19.44
1625,325,-19.33
1597,353,-19.2
1568,382,-19.35
1540,410,-19.76
1511,439,-20.1
1482,468,-19.66
1454,496,-19.55
1425,525,-19.57
1397,553,-19.72
1368,582,-19.91
1339,611,-19.7
1311,639,-19.33
1282,668,-19.5
1254,696,-19.38
1225,725,-19.66
1196,754,-19.86
1168,782,-19.55
1139,811,-19.81
1118,832,-19.64
1105,845,-19.33
1092,858,-19.33
1078,872,-19.5
1065,885,-19.58
1052,898,-19.68
1038,912,-19.9
1025,925,-19.63
1012,938,-19.85
998,952,-19.58
985,965,-20.02
972,978,-19.78
958,992,-19.91
945,1005,-19.47
932,1018,-20.31
918,1032,-20.1
892,1058,-20.41
876,1074,-20.4
858,1092,-19.74
803,1147,-19.16
792,1158,-19.33
780,1170,-18.78
758,1192,-18.94
735,1215,-18.9
713,1237,-19.48
690,1260,-18.72
668,1282,-18.97
645,1305,-18.74
623,1327,-19.37
600,1350,-18.94
578,1372,-18.99
555,1395,-18.99
533,1417,-19.7
510,1440,-19.16
488,1462,-19.36
465,1485,-19.08
443,1507,-19.22
420,1530,-18.98
398,1552,-19.19
375,1575,-19.24
353,1597,-19.8
330,1620,-18.99
308,1642,-19.54
285,1665,-19.04
251,1699,-19.23
217,1733,-19.02
184,1766,-19.21
150,1800,-18.88
116,1834,-19.01
82,1868,-18.88
48,1902,-19.21
14,1936,-19.49
-19,1969,-19.64
-53,2003,-19.22
-87,2037,-18.99
-121,2071,-18.36
-155,2105,-19.3
-189,2139,-18.47
-222,2172,-19.11
-256,2206,-18.69
-290,2240,-19.19
-324,2274,-18.99
-358,2308,-19.31
-392,2342,-19.02
-425,2375,-19.63
-459,2409,-19.3
-493,2443,-19.1
-527,2477,-19.56
-561,2511,-19.6
-595,2545,-19.36
-628,2578,-19.6
-662,2612,-19.38
-696,2646,-19.15
-730,2680,-19.22
-798,2748,-19.44
-831,2781,-19.04
-865,2815,-19.48
-899,2849,-19.39
-933,2883,-19.47
-967,2917,-19.81
-1001,2951,-19.71
-1034,2984,-19.33
-1068,3018,-19.83
-1102,3052,-19.66
-1136,3086,-19.83
-1170,3120,-19.31
-1204,3154,-19.58
-1237,3187,-19.74
-1271,3221,-20.37
-1305,3255,-19.38
-1339,3289,-19.67
-1373,3323,-19.56
-1407,3357,-19.47
-1440,3390,-19.82
-1474,3424,-19.82
-1508,3458,-19.68
-1542,3492,-19.5
-1576,3526,-19.33
-1610,3560,-19.9
-1643,3593,-19.62
-1677,3627,-19.79
-1711,3661,-19.47
-1745,3695,-19.9
-1779,3729,-19.69
-1813,3763,-19.79
-1846,3796,-19.14
-1880,3830,-20.17
-1914,3864,-19.67
-1948,3898,-19.97
-1982,3932,-19.7
-2016,3966,-19.86
-2049,3999,-19.84
-2083,4033,-20.05
-2151,4101,-20.12
-2185,4135,-20.23
-2219,4169,-19.78
-2252,4202,-20.06
-2286,4236,-20.02
-2320,4270,-19.9
-2354,4304,-20.14
-2388,4338,-19.59
-2422,4372,-19.76
-2455,4405,-19.78
-2455,4405,-19.71
-2489,4439,-19.97
-2523,4473,-20.01
-2547,4497,-20
-2560,4510,-19.94
-2574,4524,-20.01
-2588,4538,-19.71
-2601,4551,-19.66
-2615,4565,-19.73
-2629,4579,-19.87
-2642,4592,-19.69
-2656,4606,-19.35
-2670,4620,-19.85
-2683,4633,-19.48
-2697,4647,-19.4
-2711,4661,-19.1
-2724,4674,-19.57
-2738,4688,-19.55
-2752,4702,-19.8
-2765,4715,-19.26
-2779,4729,-19.87
-2793,4743,-19.85
-2806,4756,-19.49
-2820,4770,-19.42
-2833,4783,-20.15
-2847,4797,-19.86
-2861,4811,-19.7
-2874,4824,-19.92
-2888,4838,-19.98
-2902,4852,-19.81
-2915,4865,-19.6
-2929,4879,-19.3
-2943,4893,-20.12
-2956,4906,-19.81
-2970,4920,-19.94
-2984,4934,-19.7
-2997,4947,-20.17
-3011,4961,-19.69
-3025,4975,-19.26
-3038,4988,-19.01
-3052,5002,-19.6
-3065,5015,-19.77
-3079,5029,-19.87
-3093,5043,-19.35
-3106,5056,-19.7
-3120,5070,-20.29
-3134,5084,-19.52
-3147,5097,-19.48
-3161,5111,-19.51
-3175,5125,-19.29
-3188,5138,-19.95
-3202,5152,-19.92
-3216,5166,-19.64
-3229,5179,-19.69
-3243,5193,-19.27
-3257,5207,-19.56
-3270,5220,-19.62
-3284,5234,-19.63
-3298,5248,-19.65
-3311,5261,-19.62
-3325,5275,-19.2
-3338,5288,-19.42
-3352,5302,-19.68
-3366,5316,-19.9
-3379,5329,-19.67
