year (AD),age (yr BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
-3850,5800,333.3341627,188.0396615,478.628664
-3900,5850,334.48975,188.07285100000001,480.9066489
-3950,5900,335.6453372,188.1060405,483.1846338
-4000,5950,336.8009244,188.13923,485.4626188
-4050,6000,337.9565116,188.1724195,487.7406037
-4100,6050,339.1120988,188.205609,490.0185886
-4150,6100,340.267686,188.2387985,492.2965735
-4200,6150,341.4232732,188.2719881,494.5745584
-4250,6200,342.5788604,188.3051776,496.8525433
-4300,6250,343.7344476,188.3383671,499.1305282
-4350,6300,344.8900349,188.3715566,501.4085131
-4400,6350,346.0456221,188.4047461,503.686498
-4450,6400,347.2012093,188.4379356,505.9644829
-4500,6450,348.3567965,188.4711251,508.2424678
-4550,6500,349.5123837,188.5043146,510.5204527
-4600,6550,350.6679709,188.5375041,512.7984377
-4650,6600,351.8235581,188.5706937,515.0764226
-4700,6650,352.9791453,188.6038832,517.3544075
-4750,6700,354.1347325,188.6370727,519.6323924
-4800,6750,355.2903197,188.6702622,521.9103773
-4850,6800,356.445907,188.7034517,524.1883622
-4900,6850,357.6014942,188.7366412,526.4663471
-4950,6900,358.7570814,188.7698307,528.744332
-5000,6950,359.9126686,188.8030202,531.0223169
-5050,7000,361.0682558,188.8362098,533.30030180000006
-5100,7050,362.223843,188.8693993,535.5782867
-5150,7100,363.3794302,188.9025888,537.8562716
-5200,7150,364.5350174,188.9357783,540.1342566
-5250,7200,365.6906046,188.9689678,542.4122415
-5300,7250,366.8461918,189.0021573,544.6902264
-5350,7300,368.0017791,189.0353468,546.9682113
-5400,7350,369.1573663,189.0685363,549.2461962
-5450,7400,370.3129535,189.1017259,551.5241811
-5500,7450,371.4685407,189.1349154,553.802166
-5550,7500,372.6241279,189.1681049,556.0801509
-5600,7550,373.7797151,189.2012944,558.3581358
-5650,7600,374.9353023,189.2344839,560.6361207
-5700,7650,376.0908895,189.2676734,562.9141056
-5750,7700,377.2464767,189.3008629,565.1920905
-5800,7750,378.4020639,189.3340524,567.4700755
-5850,7800,379.5576512,189.367242,569.7480604
-5900,7850,380.7132384,189.4004315,572.0260453
-5950,7900,381.8688256,189.433621,574.3040302
