year (AD),age (yr BP),MedianElevM (m),MaxElevM (m),MinElevM (m),Recon0x2EDate (unitless)
1900,50,0,0.141209732,-0.141209732,11414
1850,100,0.004793212,0.141209732,-0.131623309,11414
1800,150,0.002762551,0.141209732,-0.13568463,11414
1750,200,7.32287e-4,0.141209732,-0.139745158,11414
1700,250,-0.001297581,0.141209732,-0.143804894,11414
1650,300,-0.003327455,0.141209732,-0.147864642,11414
1600,350,-0.005357725,0.141209732,-0.151925183,11414
1550,400,-0.0114119,0.141209732,-0.164033533,11414
1500,450,-0.017533546,0.141209732,-0.176276825,11414
1450,500,-0.030016366,0.141209732,-0.201242464,11414
1400,550,-0.03899226,0.141209732,-0.219194252,11414
1350,600,-0.048418579,0.141209732,-0.23804689,11414
1300,650,-0.052000307,0.141209732,-0.245210347,11414
1250,700,-0.055581996,0.141209732,-0.252373724,11414
1200,750,-0.05916255,0.141209732,-0.259534831,11414
1150,800,-0.062743465,0.141209732,-0.266696662,11414
1100,850,-0.066325085,0.141209732,-0.273859903,11414
1050,900,-0.069906833,0.141209732,-0.281023398,11414
1000,950,-0.0790509,0.141209732,-0.299311532,11414
950,1000,-0.088574767,0.141209732,-0.318359267,11414
900,1050,-0.098479455,0.141209732,-0.338168642,11414
850,1100,-0.091522371,0.141209732,-0.324254474,11414
800,1150,-0.084116918,0.141209732,-0.309443568,11414
750,1200,-0.088842142,0.141209732,-0.318894016,11414
700,1250,-0.105248058,0.141209732,-0.351705848,11414
650,1300,-0.122102375,0.141209732,-0.385414483,11414
600,1350,-0.132062131,0.141209732,-0.405333995,11414
550,1400,-0.1420567,0.141209732,-0.425323132,11414
500,1450,-0.152086807,0.141209732,-0.445383346,11414
450,1500,-0.156916141,0.141209732,-0.455042015,11414
400,1550,-0.161746235,0.141209732,-0.464702202,11414
350,1600,-0.166577381,0.141209732,-0.474364495,11414
300,1650,-0.176853392,0.120329419,-0.474036203,11414
250,1700,-0.206846491,0.099246316,-0.512939298,11414
200,1750,-0.236029306,0.077960422,-0.550019034,11414
150,1800,-0.274671939,0.048700472,-0.598044349,11414
100,1850,-0.29293136,0.019170134,-0.605032854,11414
50,1900,-0.318367529,-0.019069317,-0.61766574,11414
0,1950,-0.328278298,-0.028980934,-0.627575662,11414
-50,2000,-0.448336888,-0.063788234,-0.832885543,11414
-100,2050,-0.567025002,-0.101701091,-1.032348913,11414
-150,2100,-0.685632924,-0.139710729,-1.231555119,11414
-200,2150,-0.82378785,-0.186200775,-1.461374924,11414
-250,2200,-0.841922839,-0.218885626,-1.464960051,11414
-300,2250,-0.860193657,-0.251841119,-1.468546195,11414
-350,2300,-0.643692693,-0.226844184,-1.060541201,11414
-400,2350,-0.541870298,-0.204503048,-0.879237549,11414
-450,2400,-0.440268231,-0.18213602,-0.698400442,11414
-500,2450,-0.45579285,-0.196774421,-0.714811278,11414
-550,2500,-0.471374008,-0.211483966,-0.731264051,11414
-600,2550,-0.487011707,-0.226264653,-0.747758761,11414
-650,2600,-0.527730591,-0.285614038,-0.769847143,11414
-700,2650,-0.568687082,-0.345390336,-0.791983829,11414
-750,2700,-0.609881181,-0.405593546,-0.814168817,11414
-800,2750,-0.614559174,-0.409691907,-0.81942644,11414
-850,2800,-0.619237166,-0.413790268,-0.824684064,11414
-900,2850,-0.623915158,-0.417888628,-0.829941687,11414
-950,2900,-0.622692468,-0.421986989,-0.823397946,11414
-1000,2950,-0.62737046,-0.42608535,-0.82865557,11414
-1050,3000,-0.632048452,-0.43018371,-0.833913193,11414
-1100,3050,-0.599382346,-0.373908096,-0.824856596,11414
-1150,3100,-0.560565874,-0.317205568,-0.803926179,11414
-1200,3150,-0.528701138,-0.291985963,-0.765416313,11414
-1250,3200,-0.539940769,-0.326980261,-0.752901277,11414
-1300,3250,-0.535822038,-0.349068908,-0.722575167,11414
-1350,3300,-0.52443085,-0.339443419,-0.709418282,11414
-1400,3350,-0.512859358,-0.329746787,-0.695971929,11414
-1450,3400,-0.516575191,-0.333151504,-0.699998877,11414
-1500,3450,-0.510857857,-0.326463424,-0.69525229,11414
-1550,3500,-0.505115167,-0.319721986,-0.690508348,11414
-1600,3550,-0.499347121,-0.312927192,-0.685767051,11414
-1650,3600,-0.502986886,-0.316171838,-0.689801934,11414
-1700,3650,-0.506626651,-0.319416484,-0.693836818,11414
-1750,3700,-0.510266416,-0.322661131,-0.697871701,11414
-1800,3750,-0.513952265,-0.325905777,-0.701998752,11414
-1850,3800,-0.517734062,-0.329150423,-0.706317701,11414
-1900,3850,-0.521709976,-0.33239507,-0.711024882,11414
-1950,3900,-0.525906548,-0.335639716,-0.716173381,11414
-2000,3950,-0.530273915,-0.338884362,-0.721663467,11414
-2050,4000,-0.534713907,-0.342129009,-0.727298805,11414
-2100,4050,-0.539153899,-0.345373655,-0.732934143,11414
-2150,4100,-0.543593891,-0.348618301,-0.738569481,11414
-2200,4150,-0.548033883,-0.351862948,-0.744204819,11414
-2250,4200,-0.552473875,-0.355107594,-0.749840157,11414
-2300,4250,-0.556913867,-0.35835224,-0.755475495,11414
-2350,4300,-0.56135386,-0.361596887,-0.761110833,11414
-2400,4350,-0.514447019,-0.311789876,-0.717104163,11414
-2450,4400,-0.504320848,-0.26164488,-0.746996816,11414
-2500,4450,-0.470845308,-0.168179801,-0.773510816,11414
-2550,4500,-0.48898093,-0.127158008,-0.850803853,11414
-2600,4550,-0.446454578,-0.042342953,-0.850566203,11414
-2650,4600,-0.410967749,0.032875723,-0.854811222,11414
-2700,4650,-0.348845602,0.108567576,-0.80625878,11414
-2750,4700,-0.310575162,0.141209732,-0.762360057,11414
-2800,4750,-0.271516526,0.141209732,-0.684242784,11414
-2850,4800,-0.258660288,0.141209732,-0.658530309,11414
-2900,4850,-0.282960484,0.106218178,-0.672139147,11414
-2950,4900,-0.353069226,0.023585858,-0.729724311,11414
-3000,4950,-0.423827673,-0.060031822,-0.787623524,11414
-3050,5000,-0.4868502,-0.157987903,-0.815712498,11414
-3100,5050,-0.492286953,-0.160943984,-0.823629922,11414
-3150,5100,-0.497476121,-0.163900065,-0.831052177,11414
-3200,5150,-0.44327294,-0.068329467,-0.818216413,11414
-3250,5200,-0.417575979,-0.020355026,-0.814796932,11414
-3300,5250,-0.391276483,0.028367825,-0.810920791,11414
-3350,5300,-0.394609954,0.02765685,-0.816876757,11414
-3400,5350,-0.397944708,0.026945696,-0.822835112,11414
-3450,5400,-0.401279564,0.026234485,-0.828793614,11414
-3500,5450,-0.404613833,0.025523455,-0.83475112,11414
-3550,5500,-0.385663694,0.063848569,-0.835175956,11414
-3600,5550,-0.395613971,0.10241069,-0.893638632,11414
-3650,5600,-0.405571434,0.141209732,-0.9523526,11414
-3700,5650,-0.437819174,0.141209732,-1.01684808,11414
-3750,5700,-0.441173412,0.141209732,-1.023556555,11414
-3800,5750,-0.464638322,0.100988684,-1.030265329,11414
-3850,5800,-0.518238775,0.006586497,-1.043064047,11414
-3900,5850,-0.572137115,-0.088368928,-1.055905303,11414
-3950,5900,-0.588319398,-0.143656542,-1.032982254,11414
-4000,5950,-0.605041931,-0.200208123,-1.009875739,11414
-4050,6000,-0.639648196,-0.257075181,-1.022221212,11414
-4100,6050,-0.733190902,-0.383662804,-1.082719,11414
-4150,6100,-0.796628339,-0.456068904,-1.137187774,11414
-4200,6150,-0.824486931,-0.528869873,-1.120103989,11414
-4250,6200,-0.811556352,-0.532661297,-1.090451407,11414
-4300,6250,-0.798597307,-0.536453679,-1.060740934,11414
-4350,6300,-0.803577599,-0.540246957,-1.066908242,11414
-4400,6350,-0.822903055,-0.563686103,-1.082120008,11414
-4450,6400,-0.842298548,-0.587250318,-1.097346778,11414
