year (AD),age (yr BP),d18O (permil),d13C (permil),TIC (percent),TOC (percent)
931.72,1018.28,27.71,-0.13,3.5,0.6199999
868.58,1081.42,27.47,1.85,2.32,3.67
796.42,1153.58,27.49,2.51,2.72,3.35
715.24,1234.76,26.14,3.55,3.02,1.45
625.04,1324.96,27.16,3.54,2.83,1.25
534.84,1415.16,27.52,3.73,3.97,0.4599998
462.68,1487.32,27.82,3.55,2.87,1.57
399.54,1550.46,27.3,3,3.12,2.01
318.36,1631.64,27,4.02,3.5,0.6900001
228.16,1721.84,26.46,4.15,4.13,0.4200001
137.96,1812.04,27.75,3.6,3.19,1.56
47.76,1902.24,27.68,3.6,3.04,1.48
-33.4200000000001,1983.42,27.37,3.71,3.35,0.3800001
-105.58,2055.58,26.63,4.03,3.72,0.45
-168.72,2118.72,27.09,3.29,2.42,1.49
-240.88,2190.88,27.38,4.07,3.68,0.3700001
-322.06,2272.06,27.1,3.78,2.76,0.7
-403.24,2353.24,27.32,3.93,2.61,0.76
-475.4,2425.4,27.23,3.87,2.75,0.45
-538.54,2488.54,27.65,2.83,2.02,2.69
-601.68,2551.68,27.98,3.94,4.25,0.9899998
-673.84,2623.84,27.02,3.55,2.55,0.54
-764.04,2714.04,27.77,4.19,4.87,0.9300003
-836.2,2786.2,27.24,4.2,4.73,0.6100001
-899.34,2849.34,26.68,4.18,5.51,0.1599998
-971.5,2921.5,26.71,4.07,6.22,0.1400003
-1160.92,3110.92,26.34769,3.923468,6.14,0.2600002
-1251.12,3201.12,26.85489,4.125038,3.4,0.49
-1314.26,3264.26,28.2345,4.940526,4.61,0.77
-1354.85,3304.85,28.29106,4.888597,4.33,0.6500001
-1386.42,3336.42,28.122,4.261252,3,0.49
-1440.54,3390.54,27.48,2.72,2.51,1.78
-1490.15,3440.15,28.28786,4.003183,3.39,0.53
-1548.78,3498.78,27.55016,2.994385,2.53,1.4
-1657.02,3607.02,27.78325,3.343891,2.95,0.8799999
-1774.28,3724.28,27.79418,4.629999,5.73,0.6199999
-1864.48,3814.48,27.832,4.083156,5.27,0.05999994
-1945.66,3895.66,27.82841,4.862031,5.37,0.9900002
-2008.8,3958.8,28.07,4.51,4.2,1.38
-2071.94,4021.94,27.61827,4.281977,5.06,0.46
-2180.18,4130.18,27.38776,4.386272,6.42,0.46
-4314.6045,6264.6045,27.28061,4.652737,6.22,0.4700003
-4353.195,6303.195,27.43,3.77,3.21,0.3299999
-4385.8485,6335.8485,26.92296,3.042902,1.91,0.35
