year (AD),age (yr BP),SST (degC),depth_core1 (cm),MgCa (unitless)
1118.1,831.9,17.5275,NA,3.0922
1060.7,889.3,16.3083,0.355,2.7141
1060.7,889.3,17.7501,0.355,3.1668
956.3,993.7,17.1359,0.455,2.9654
851.9,1098.1,16.312,0.555,2.7151
747.5,1202.5,18.556,0.655,3.452
643.2,1306.8,17.664,0.755,3.1377
486.6,1463.4,17.5595,0.905,3.1028
486.6,1463.4,17.4853,0.905,3.0783
330,1620,17.7289,1.055,3.1596
277.9,1672.1,16.6183,1.105,2.8056
-271.6,2221.6,16.9743,NA,2.9145
-304.9,2254.9,15.8198,NA,2.5758
-444.3,2394.3,17.8532,NA,3.2019
-476.8,2426.8,15.7892,NA,2.5674
-517.2,2467.2,17.1642,NA,2.9743
-630.4,2580.4,16.1408,NA,2.6658
-669.1,2619.1,17.4656,NA,3.0718
-784,2734,17.6756,NA,3.1416
-869.5,2819.5,16.8852,NA,2.8869
-869.5,2819.5,15.4072,NA,2.4646
-994.8,2944.8,17.8363,NA,3.1961
-1033.1,2983.1,15.9219,NA,2.6041
-1033.1,2983.1,14.9915,NA,2.3574
-1080.3,3030.3,16.9588,NA,2.9097
-1080.3,3030.3,16.5476,NA,2.7844
-1123.6,3073.6,16.3706,NA,2.7322
-1123.6,3073.6,15.1956,NA,2.4094
-1211.2,3161.2,17.0314,NA,2.9324
-1255.5,3205.5,16.5373,NA,2.7814
-1385.7,3335.7,14.7656,NA,2.3011
-1385.7,3335.7,14.2005,NA,2.166
-1431.2,3381.2,14.8008,NA,2.3097
-1477,3427,15.7578,NA,2.5588
-1477,3427,17.315,NA,3.0227
-1523,3473,15.6022,NA,2.5165
-1569.3,3519.3,16.7749,NA,2.853
-1615.9,3565.9,17.5074,NA,3.0856
-1662.7,3612.7,18.6619,NA,3.4913
-1709.7,3659.7,16.4541,NA,2.7567
-1757,3707,16.8205,NA,2.8669
-1804.5,3754.5,15.7279,NA,2.5506
-1852.2,3802.2,17.4544,NA,3.0682
-1900.1,3850.1,15.6707,NA,2.5351
-2044.9,3994.9,16.1169,NA,2.659
-2093.5,4043.5,16.4334,NA,2.7506
-2093.5,4043.5,15.5998,NA,2.5159
-2142.2,4092.2,16.7421,NA,2.843
-2191.1,4141.1,16.1909,NA,2.6802
-2191.1,4141.1,15.6124,NA,2.5193
-2240.2,4190.2,16.1706,NA,2.6744
-2338.7,4288.7,15.0581,NA,2.3742
-2338.7,4288.7,15.6647,NA,2.5334
-2388.1,4338.1,14.7555,NA,2.2986
-2586.8,4536.8,14.2737,NA,2.1831
-2636.7,4586.7,15.3214,NA,2.4421
-2686.7,4636.7,15.2328,NA,2.419
-2736.7,4686.7,13.7335,NA,2.0605
-2736.7,4686.7,14.0968,NA,2.1421
-2736.7,4686.7,13.5983,NA,2.0309
-2836.9,4786.9,14.977,NA,2.3537
-3138.4,5088.4,15.3058,NA,2.438
-3138.4,5088.4,16.9455,NA,2.9055
-3188.7,5138.7,16.7926,NA,2.8584
-3188.7,5138.7,15.87,NA,2.5897
-3289.2,5239.2,15.4637,NA,2.4795
-3289.2,5239.2,16.4926,NA,2.7681
-3289.2,5239.2,15.3535,NA,2.4505
-3289.2,5239.2,16.1871,NA,2.6791
-3540.3,5490.3,16.5137,NA,2.7744
-3590.4,5540.4,14.8144,NA,2.3131
-3640.5,5590.5,15.1938,NA,2.4089
-3690.5,5640.5,15.1804,NA,2.4055
-3740.4,5690.4,15.2371,NA,2.4201
-3740.4,5690.4,16.0218,NA,2.6321
-3790.3,5740.3,14.8419,NA,2.3199
-3790.3,5740.3,14.9703,NA,2.352
-3869.9,5819.9,17.0792,NA,2.9474
-3919.6,5869.6,17.4898,NA,3.0798
-3969.2,5919.2,15.9486,NA,2.6116
-3969.2,5919.2,17.3597,NA,3.0372
-4507.8,6457.8,14.9892,NA,2.3568
-4556,6506,17.0098,NA,2.9256
-4556,6506,15.6105,NA,2.5188
-4556,6506,14.2383,NA,2.1748
-4556,6506,14.9275,NA,2.3413
-4613.7,6563.7,16.7756,NA,2.8532
-4613.7,6563.7,15.9575,NA,2.6141
-4613.7,6563.7,15.6376,NA,2.5261
-4652.1,6602.1,15.515,NA,2.4932
-4652.1,6602.1,15.7941,NA,2.5688
-4652.1,6602.1,17.5962,NA,3.1151
-4747.5,6697.5,14.3972,NA,2.2121
-4842.3,6792.3,17.53,NA,3.0931
-4842.3,6792.3,16.5351,NA,2.7807
-4889.5,6839.5,16.2824,NA,2.7065
-4889.5,6839.5,14.6854,NA,2.2814
-4936.5,6886.5,15.0352,NA,2.3684
-4936.5,6886.5,17.6476,NA,3.1322
-4936.5,6886.5,15.5404,NA,2.5
-4936.5,6886.5,15.468,NA,2.4807
-4983.4,6933.4,14.7905,NA,2.3072
-4983.4,6933.4,13.8956,NA,2.0965
-5030.1,6980.1,15.3602,NA,2.4522
-5030.1,6980.1,15.468,NA,2.4807
-5076.6,7026.6,15.4092,NA,2.4651
-5076.6,7026.6,15.5568,NA,2.5044
-5076.6,7026.6,15.2827,NA,2.432
-5122.9,7072.9,15.4764,NA,2.4829
-5122.9,7072.9,14.9964,NA,2.3586
-5122.9,7072.9,14.9553,NA,2.3482
-5169.1,7119.1,16.3019,NA,2.7122
-5169.1,7119.1,15.499,NA,2.4889
-5169.1,7119.1,15.5651,NA,2.5066
-5169.1,7119.1,15.2942,NA,2.435
-5215.1,7165.1,16.9204,NA,2.8977
-5270,7220,16.7026,NA,2.831
-5270,7220,16.1221,NA,2.6605
-5315.6,7265.6,15.7922,NA,2.5682
-5315.6,7265.6,15.7519,NA,2.5572
-5360.9,7310.9,15.927,NA,2.6055
-5360.9,7310.9,15.3089,NA,2.4388
-5406.2,7356.2,18.3282,NA,3.3688
-5451.2,7401.2,15.8491,NA,2.5839
-5451.2,7401.2,16.4204,NA,2.7468
-5496,7446,15.234,NA,2.4193
-5496,7446,15.5583,NA,2.5047
-5540.6,7490.6,16.9077,NA,2.8938
-5540.6,7490.6,17.0057,NA,2.9243
-5585,7535,16.5576,NA,2.7874
-5585,7535,15.6288,NA,2.5237
-5629.3,7579.3,16.3729,NA,2.7329
-5629.3,7579.3,16.8185,NA,2.8663
-5864.6,7814.6,15.323,NA,2.4425
-5864.6,7814.6,15.4594,NA,2.4784
-5907.5,7857.5,16.1929,NA,2.6807
-5907.5,7857.5,13.6896,NA,2.0508
-5907.5,7857.5,14.3637,NA,2.2042
-5941.7,7891.7,16.9798,NA,2.9162
-5992.8,7942.8,15.966,NA,2.6165
-5992.8,7942.8,15.7379,NA,2.5534
-5992.8,7942.8,15.7616,NA,2.5598
-6035.1,7985.1,15.6049,NA,2.5173
-6035.1,7985.1,16.3616,NA,2.7296
-6035.1,7985.1,16.1011,NA,2.6545
-6035.1,7985.1,14.3553,NA,2.2022
-6035.1,7985.1,14.2223,NA,2.1711
-6077.2,8027.2,15.6696,NA,2.5348
-6077.2,8027.2,16.3841,NA,2.7362
-6119,8069,18.3118,NA,3.3629
-6119,8069,17.0865,NA,2.9497
-6119,8069,16.3942,NA,2.7391
-6160.7,8110.7,15.5321,NA,2.4977
-6160.7,8110.7,15.7535,NA,2.5576
-6202.2,8152.2,16.3264,NA,2.7193
-6202.2,8152.2,16.2348,NA,2.6928
-6202.2,8152.2,16.7763,NA,2.8534
-6202.2,8152.2,17.0699,NA,2.9445
-6243.4,8193.4,15.9079,NA,2.6002
-6243.4,8193.4,16.1301,NA,2.6628
-6284.5,8234.5,15.878,NA,2.5919
-6325.3,8275.3,16.3869,NA,2.737
-6325.3,8275.3,16.3596,NA,2.729
-6325.3,8275.3,16.13,NA,2.6627
-6325.3,8275.3,16.3694,NA,2.7319
-6365.9,8315.9,15.9963,NA,2.6249
-6365.9,8315.9,16.5286,NA,2.7788
-6406.3,8356.3,15.548,NA,2.502
-6406.3,8356.3,16.0729,NA,2.6465
-6446.5,8396.5,16.2036,NA,2.6838
-6446.5,8396.5,15.9879,NA,2.6226
-6486.5,8436.5,15.8537,NA,2.5852
-6486.5,8436.5,15.9067,NA,2.5999
-6526.3,8476.3,15.6208,NA,2.5216
-6526.3,8476.3,15.5653,NA,2.5066
-6526.3,8476.3,16.15,NA,2.6685
-6526.3,8476.3,15.5588,NA,2.5049
-6526.3,8476.3,15.692,NA,2.5409
-6557.9,8507.9,15.8528,NA,2.5849
-6557.9,8507.9,15.3541,NA,2.4506
-6557.9,8507.9,15.0752,NA,2.3786
-6557.9,8507.9,15.7637,NA,2.5604
-6597.3,8547.3,15.6254,NA,2.5228
-6597.3,8547.3,15.2081,NA,2.4126
-6636.5,8586.5,15.6917,NA,2.5408
-6636.5,8586.5,15.5708,NA,2.5081
-6636.5,8586.5,14.9448,NA,2.3456
-6636.5,8586.5,15.0209,NA,2.3648
-6675.5,8625.5,15.3913,NA,2.4604
-6675.5,8625.5,14.6317,NA,2.2683
-6675.5,8625.5,14.7887,NA,2.3067
-6714.3,8664.3,16.3153,NA,2.7161
-6714.3,8664.3,15.0348,NA,2.3683
-6791.2,8741.2,17.2325,NA,2.9962
-6791.2,8741.2,17.4528,NA,3.0676
-6791.2,8741.2,15.8978,NA,2.5974
-6791.2,8741.2,16.3408,NA,2.7235
-6829.3,8779.3,16.1648,NA,2.6727
-6829.3,8779.3,15.6033,NA,2.5168
-6867.3,8817.3,16.3955,NA,2.7395
-6867.3,8817.3,16.5722,NA,2.7918
-6867.3,8817.3,14.9869,NA,2.3562
-6905,8855,15.5286,NA,2.4968
-7054,9004,17.1392,NA,2.9664
-7094.5,9044.5,16.3451,NA,2.7247
-7163.7,9113.7,14.8645,NA,2.3256
-7163.7,9113.7,15.5811,NA,2.5109
-7199.9,9149.9,17.7149,NA,3.1549
-7199.9,9149.9,17.5093,NA,3.0862
-7199.9,9149.9,16.9883,NA,2.9189
-7199.9,9149.9,16.284300000000002,NA,2.7071
-7235.9,9185.9,16.8982,NA,2.8909
-7235.9,9185.9,14.5599,NA,2.251
-7307.4,9257.4,17.4096,NA,3.0535
-7307.4,9257.4,16.8108,NA,2.864
-7307.4,9257.4,16.685,NA,2.8257
-7307.4,9257.4,16.4512,NA,2.7559
-7342.8,9292.8,17.5214,NA,3.0902
-7342.8,9292.8,16.4439,NA,2.7537
-7413.2,9363.2,15.7275,NA,2.5505
-7413.2,9363.2,16.4008,NA,2.7411
-7448.1,9398.1,17.1285,NA,2.963
-7448.1,9398.1,16.8349,NA,2.8714
-7448.1,9398.1,15.9144,NA,2.602
-7482.9,9432.9,17.3231,NA,3.0253
-7517.5,9467.5,14.8098,NA,2.312
-7517.5,9467.5,15.8275,NA,2.578
-7517.5,9467.5,15.6719,NA,2.5354
-7579.4,9529.4,16.3663,NA,2.7309
-7613.5,9563.5,15.6633,NA,2.533
-7613.5,9563.5,17.2026,NA,2.9866
-7647.5,9597.5,14.878,NA,2.3289
-7647.5,9597.5,14.8088,NA,2.3117
-7681.4,9631.4,15.9018,NA,2.5985
-7681.4,9631.4,15.9328,NA,2.6072
-7715,9665,16.149,NA,2.6682
-7715,9665,16.2849,NA,2.7073
-7748.6,9698.6,15.2321,NA,2.4188
-7748.6,9698.6,14.4383,NA,2.2219
-7782,9732,15.7546,NA,2.5579
-7782,9732,15.4968,NA,2.4883
-7815.3,9765.3,14.9992,NA,2.3593
-7815.3,9765.3,14.9734,NA,2.3528
-7848.4,9798.4,15.7802,NA,2.5649
-7848.4,9798.4,15.1016,NA,2.3853
-7881.4,9831.4,15.5569,NA,2.5044
-7881.4,9831.4,15.8892,NA,2.595
-7914.3,9864.3,14.4987,NA,2.2363
-7914.3,9864.3,14.7559,NA,2.2987
-7947.1,9897.1,15.9936,NA,2.6242
-8044.7,9994.7,17.0051,NA,2.9241
-8077,10027,15.7009,NA,2.5433
-8109.2,10059.2,17.0442,NA,2.9364
-8109.2,10059.2,15.5668,NA,2.507
-8109.2,10059.2,16.0262,NA,2.6334
-8141.4,10091.4,15.4664,NA,2.4803
-8141.4,10091.4,15.5361,NA,2.4988
-8173.4,10123.4,15.2511,NA,2.4238
-8205.3,10155.3,17.0792,NA,2.9474
-8205.3,10155.3,16.3145,NA,2.7158
-8269,10219,16.9589,NA,2.9097
-8300.7,10250.7,16.0266,NA,2.6335
-8300.7,10250.7,17.1946,NA,2.984
-8300.7,10250.7,17.4262,NA,3.0589
-8332.4,10282.4,16.6826,NA,2.825
-8332.4,10282.4,16.8322,NA,2.8705
-8364,10314,16.631,NA,2.8094
-8395.5,10345.5,17.3596,NA,3.0372
-8395.5,10345.5,16.2176,NA,2.6878
-8395.5,10345.5,16.053,NA,2.6409
-8427,10377,17.6569,NA,3.1353
-8427,10377,17.05,NA,2.9382
-8521.3,10471.3,17.3,NA,3.0179
-8552.6,10502.6,15.3366,NA,2.446
-8552.6,10502.6,16.5898,NA,2.797
-8584,10534,16.9255,NA,2.8993
-8584,10534,17.5887,NA,3.1125
-8609,10559,17.5211,NA,3.0901
-8609,10559,16.3751,NA,2.7335
-8609,10559,15.7441,NA,2.5551
-8646.6,10596.6,16.15,NA,2.6685
-8646.6,10596.6,16.5569,NA,2.7872
-8646.6,10596.6,16.154,NA,2.6696
-8677.9,10627.9,16.7414,NA,2.8428
-8677.9,10627.9,17.2653,NA,3.0067
-8709.2,10659.2,16.8278,NA,2.8692
-8709.2,10659.2,15.8433,NA,2.5823
-8740.6,10690.6,16.0468,NA,2.6392
-8740.6,10690.6,14.64,NA,2.2703
-8771.9,10721.9,15.8432,NA,2.5823
-8771.9,10721.9,16.0281,NA,2.6339
-8803.3,10753.3,17.1227,NA,2.9612
-8803.3,10753.3,16.1936,NA,2.6809
-8866.1,10816.1,18.6503,NA,3.487
-8866.1,10816.1,17.7262,NA,3.1587
-8929.1,10879.1,16.3817,NA,2.7354
-8960.7,10910.7,18.205,NA,3.3247
-8960.7,10910.7,15.9457,NA,2.6108
-8960.7,10910.7,15.5448,NA,2.5011
-8992.4,10942.4,16.322,NA,2.718
-8992.4,10942.4,15.7251,NA,2.5499
-9024.1,10974.1,17.4356,NA,3.062
-9055.9,11005.9,18.0714,NA,3.2775
-9055.9,11005.9,16.1486,NA,2.6681
-9055.9,11005.9,16.4925,NA,2.7681
-9087.8,11037.8,18.2801,NA,3.3516
-9087.8,11037.8,17.6841,NA,3.1445
-9119.8,11069.8,17.6789,NA,3.1427
-9119.8,11069.8,17.6453,NA,3.1315
-9184.1,11134.1,17.4406,NA,3.0636
-9184.1,11134.1,16.8222,NA,2.8675
-9184.1,11134.1,16.9586,NA,2.9096
-9216.4,11166.4,17.3257,NA,3.0262
-9216.4,11166.4,17.6189,NA,3.1226
-9248.8,11198.8,16.7944,NA,2.8589
-9248.8,11198.8,16.9084,NA,2.894
-9281.4,11231.4,17.3124,NA,3.0219
-9281.4,11231.4,17.139,NA,2.9663
-9314.1,11264.1,17.3222,NA,3.0251
-9314.1,11264.1,17.2075,NA,2.9881
-9347,11297,17.9172,NA,3.2239
-9347,11297,18.7965,NA,3.542
-9380,11330,17.2891,NA,3.0144
-9380,11330,17.5297,NA,3.093
-9413.2,11363.2,16.2893,NA,2.7085
-9413.2,11363.2,15.7392,NA,2.5537
-9446.6,11396.6,17.0314,NA,2.9324
-9480.1,11430.1,17.6771,NA,3.1421
-9480.1,11430.1,17.7311,NA,3.1603
-9513.9,11463.9,17.6734,NA,3.1409
-9513.9,11463.9,17.5086,NA,3.086
-9547.8,11497.8,17.1788,NA,2.979
-9547.8,11497.8,17.1409,NA,2.9669
-9582,11532,16.3862,NA,2.7368
-9582,11532,16.6161,NA,2.8049
-9582,11532,15.7581,NA,2.5589
-9582,11532,16.0711,NA,2.646
-9616.3,11566.3,16.7693,NA,2.8513
-9616.3,11566.3,16.528,NA,2.7786
-9650.9,11600.9,16.8355,NA,2.8715
-9650.9,11600.9,16.278,NA,2.7053
-9650.9,11600.9,17.1993,NA,2.9855
-9685.8,11635.8,18.6153,NA,3.4739
-9720.9,11670.9,16.6801,NA,2.8242
-9720.9,11670.9,17.1042,NA,2.9553
-9756.2,11706.2,16.5915,NA,2.7975
-9756.2,11706.2,16.8157,NA,2.8655
-9791.8,11741.8,16.8092,NA,2.8635
-9791.8,11741.8,17.2064,NA,2.9878
-9827.7,11777.7,16.92,NA,2.8976
-9827.7,11777.7,16.29,NA,2.7087
-9863.8,11813.8,16.3767,NA,2.734
-9863.8,11813.8,16.3974,NA,2.74
-9900.3,11850.3,16.6579,NA,2.8175
-9900.3,11850.3,16.9649,NA,2.9116
-9900.3,11850.3,16.5721,NA,2.7917
-9937.1,11887.1,17.546,NA,3.0984
-9937.1,11887.1,17.1676,NA,2.9754
-9989,11939,18.1229,NA,3.2957
-10049.2,11999.2,17.6004,NA,3.1164
-10049.2,11999.2,16.2758,NA,2.7046
-10087.3,12037.3,17.1077,NA,2.9564
-10087.3,12037.3,15.9643,NA,2.616
-10125.7,12075.7,16.2085,NA,2.6852
-10125.7,12075.7,16.1842,NA,2.6782
-10164.5,12114.5,17.0209,NA,2.9291
-10164.5,12114.5,16.9122,NA,2.8952
-10203.7,12153.7,16.3148,NA,2.7159
-10203.7,12153.7,15.7361,NA,2.5529
-10243.2,12193.2,16.4803,NA,2.7645
-10243.2,12193.2,16.8069,NA,2.8628
-10283.2,12233.2,16.9283,NA,2.9002
-10283.2,12233.2,16.5792,NA,2.7939
-10323.5,12273.5,16.1115,NA,2.6575
-10323.5,12273.5,16.4278,NA,2.749
-10364.3,12314.3,16.6705,NA,2.8213
-10364.3,12314.3,17.4514,NA,3.0672
-10364.3,12314.3,17.1382,NA,2.9661
-10405.5,12355.5,16.7115,NA,2.8337
-10405.5,12355.5,17.2624,NA,3.0058
