age (yr BP),Jan (mm/month),MAR (mm/month),APR (mm/month),MAY (mm/month),JUN (mm/month),JUL (mm/month),AUG (mm/month),SEP (mm/month),OCT (mm/month),NOV (mm/month),DEC (mm/month),ANN_discharge (mm/year),Feb (mm/month)
0,479.06,307.51,164.81,81.037,49.238,28.886,26.784,56.993,245.31,438.04,502.24,2789.378,409.47
250,487.01,311.15,165.59,80.845,50.359,29.879,28.537,57.132,248.06,442.44,510.95,2827.772,415.82
500,483.39,305.34,160.91,78.869,48.193,27.886,26.044,54.865,243.65,438.04,506.64,2787.037,413.21
750,478.73,305.76,162.59,80.357,49.243,29.104,27.674,57.13,244.72,435.9,501.98,2782.258,409.07
1000,476.42,302.81,159.67,78.537,48.909,28.769,27.191,55.049,241.33,433.03,499.52,2758.035,406.8
1250,472.81,299.15,157.59,77.368,48.117,28.163,26.343,54.319,238.56,429.01,495.3,2731.04,404.31
1500,473.3,302.38,160.62,78.835,47.978,27.947,26.048,53.057,237,428.4,495.65,2735.835,404.62
1750,475.56,301.6,159.55,77.922,47.754,27.668,25.659,53.224,238.1,430.45,497.93,2742.287,406.87
2000,470.13,298.57,157.66,77.798,47.936,28.043,26.161,53.341,236.04,425.79,492.18,2715.539,401.89
2250,468.54,296.61,155.76,76.675,47.982,28.083,26.102,53.273,235.74,425.65,490.49,2705.505,400.6
2500,464.93,295.17,155.29,76.268,46.967,27.199,25.12,52.095,233.26,422.9,486.6,2683.219,397.42
2750,465.71,295.12,155.64,76.827,46.477,26.825,24.794,52.44,233.34,422.27,487.17,2685.153,398.54
3000,466.24,295.61,156.15,76.214,45.673,25.752,22.918,48.252,228.37,420.55,487.14,2672.179,399.31
3250,462.67,292.54,153.95,75.649,45.898,26.168,23.511,49.81,228.98,418.74,483.45,2657.586,396.22
3500,467.62,297.15,156.62,76.789,46.912,26.856,24.128,50.206,232.09,424.34,488.82,2691.881,400.35
3750,475.71,304.31,161.47,78.741,47.485,27.163,24.668,52.426,238.96,434.42,497.83,2750.243,407.06
4000,476.25,302.36,160,77.988,46.599,26.333,23.585,51.08,236.94,432.54,497.94,2739.705,408.09
4250,474.91,303.46,161.11,78.381,46.973,26.611,23.743,51.994,238.91,434.78,496.66,2744.132,406.6
4500,481.92,309.41,165.7,80.439,46.741,26.069,22.788,49.153,236.94,436.29,503.48,2771.97,413.04
4750,475,308.4,165.61,80.722,47.798,27.224,24.246,52.112,239.76,436.43,496.84,2760.652,406.51
5000,472.29,301.06,158.93,77.394,46.551,26.129,22.902,49.776,235.36,431.6,493.64,2719.962,404.33
5250,467.28,296.39,155.84,76.194,45.957,25.68,22.157,48.788,232.26,426.78,487.96,2685.566,400.28
5500,466.1,297.88,157.18,76.568,46.12,25.776,22.25,48.455,232.09,427.22,486.93,2685.349,398.78
5750,464.36,295.58,155.26,76.038,45.163,25.023,21.476,47.587,230.1,424.54,484.9,2667.747,397.72
6000,457.29,291.13,152.1,74.81,44.375,24.336,20.403,44.742,224.15,417.64,477.3,2619.726,391.45
6250,455.84,292.67,154.09,75.995,44.972,24.935,21.119,46.159,225.65,418.05,475.77,2625.38,390.13
6500,458.08,293.26,152.95,74.738,43.823,23.47,18.943,42.536,224.1,421.21,478.25,2622.72,391.36
6750,454.61,288.27,150.71,74.119,43.136,23.19,18.681,40.567,216.24,409.37,473.31,2581.973,389.77
7000,436.72,277.12,143.05,71.087,40.793,21.398,16.471,36.863,206.5,395.99,454.37,2474.282,373.92
7250,419.62,265.68,136.2,68.297,39.357,20.529,15.401,34.916,198.01,381.81,436.17,2374.95,358.96
7500,414.38,263.06,134.44,67.678,38.299,19.65,14.366,32.415,192.7,375.8,430.49,2337.608,354.33
7750,409.09,257.96,130.31,65.959,36.864,18.376,12.698,29.38,187.28,369.86,424.7,2291.947,349.47
8000,400.9,253.56,128.64,65.617,36.841,18.707,13.248,28.524,180.5,358.57,415.52,2243.577,342.95
8250,387.18,245.87,123.65,64.204,36.016,18.354,13.018,27.696,174.72,348.33,401.18,2170.708,330.49
8500,368.82,229.01,112.19,59.374,33.403,16.583,10.961,23.511,160.58,327.2,380.93,2037.942,315.38
8750,358.78,223.94,109.7,57.899,32.511,15.741,9.5318,20.455,153.24,318.03,370.18,1976.3178,306.31
9000,342.99,214.21,105.22,55.21,30.51,14.138,7.5224,16.783,142.4,303.15,353.39,1877.7834,292.26
9250,329.88,202.18,99.833,52.201,28.684,13.02,6.4822,13.804,129.14,282.98,338.45,1778.4042,281.75
9500,297.47,182.1,90.614,46.921,25.971,11.252,4.688,11.316,114.82,257.38,304.46,1599.872,252.88
9750,269.95,162.3,82.07,42.2,22.803,9.3191,3.2811,8.2494,96.621,227.08,274.81,1427.9936,229.31
10000,248.88,149.6,76.521,39.48,20.398,7.5865,2.0278,7.1709,87.048,208.37,252.54,1310.7222,211.1
