depth (cm) [1-1],age (bp) [1-1],OM (%) [1-1],age (bp) [2-1],BSi (%) [2-1],depth (cm) [3-1],age (bp) [3-1],Temp (c) [3-1]
1,-52,26.4674,-43,16.4273,0.38,-56,0
2,-42,27.6596,-42,25.7243,0.88,-51,-0.246846
3,-34,27.1777,-28,16.3595,1.88,-42,-0.230693
4,-25,26.4671,-16,22.0633,2.38,-38,-0.123212
5,-16,28.6116,-7,19.6066,3.25,-28,0.387915
6,-6,25.5411,47,22.4405,5.25,-7,-0.817688
7,12,25,208,23.5656,0.5,0,-0.556167
8,47,24.6531,653,22.2474,7.75,25,-1.12082
9,111,21.875,1039,24.1546,10.25,70,-1.45821
10,208,21.8549,1460,24.78,2.5,298.225,0.290124
11,333,22.9686,2090,24.4989,5.5,656.095,0.448717
12,483,25.4215,2461,24.1878,10.5,1252.55,0.325605
13,653,22.871,2883,25.2008,15.5,1848.99,0.565159
14,840,22.1457,3077,21.7136,20.5,2445.45,0.304185
15,1039,21.2828,3266,19.1547,25.5,2803.21,0.241726
16,1247,23.1313,3342,21.2456,30.5,3001.82,1.45022
17,1460,25.5102,3409,18.9913,35.5,3200.43,1.27225
18,1674,29.021,3440,19.8832,40.5,3399.04,1.23978
19,1885,23.8929,3494,16.0111,45.5,3727.17,1.62241
20,2090,23.3365,3552,16.7756,50.5,4055.34,2.33417
21,2283,22.8106,3677,12.4262,55.5,4383.51,1.93665
22,2461,23.3135,3782,17.2066,60.5,4711.68,1.96013
23,2621,26.4648,3962,19.015,65.5,4985.19,1.71898
24,2761,25.0923,4094,21.1067,70.5,5287.52,2.86294
25,2883,25.3219,4302,21.1192,75.5,5589.86,1.85911
26,2988,23.9331,4442,19.4806,80.5,5892.19,2.54187
27,3077,22.6804,4648,19.2884,85.5,6194.53,1.20076
28,3152,24.2286,4777,21.0191,90.5,6496.86,1.50737
29,3215,22.7679,4959,16.944,95.5,6799.2,1.04812
30,3266,23.004,5074,16.9972,100.5,7101.53,0.626995
31,3308,23.4597,5241,16.8384,NA,NA,NA
