depth (cm),age (bp),Temp (deg c),depth_bot (mm)
3.5,-27.94169,12.4427,40
6.5,-4.102716,11.8305,70
9.5,20.3401,11.9809,100
11,36.97425,12.1493,120
13,53.88197,12.684,140
16,79.7788,11.7884,170
21,126.3021,12.2451,220
29.5,210.0751,11.863,300
31.5,232.5618,11.6209,320
33.5,255.5851,11.8002,340
39.5,327.472,12.1686,400
41.5,352.2388,11.7739,420
43.5,377.3408,12.187,440
49.5,454.2541,11.7845,500
51.5,480.2933,12.144,520
53.5,506.4659,12.3654,540
56.5,545.887,12.0741,570
59.5,585.3816,11.6462,600
73.5,766.6639,12.3892,740
81.5,864.32,11.3719,820
86,921.5053,11.7572,865
96.5,1013.981,11.8965,970
99.5,1065.117,11.6004,1000
101.5,1099.397,11.5167,1020
103.5,1132.006,12.418,1040
106.5,1177.84,11.6817,1070
109.5,1220.048,11.9513,1100
111.5,1246.214,12.0283,1120
116.5,1303.688,11.6253,1170
127,1343.367,12.1099,1275
131.5,1351.583,11.808,1320
133.5,1366.505,11.8162,1340
137,1375.924,12.3465,1375
147,1529.324,12.1149,1475
149.5,1548.683,11.7374,1500
151.5,1611.024,11.9071,1520
151.5,1656.11,11.7977,1520
157,1703.992,12.076,1575
159.5,1781.009,12.278,1600
164,1864.193,12.4379,1645
169,1956,12.4789,1695
175,2076,12.1902,1760
186,2360,12.0892,1865
198,2727,12.2841,1985
214,3121,12.1305,2145
222,3261,11.7604,2225
232,3423,12.3729,2325
242,3577,11.6912,2430
250,3698,12.9334,2510
268,3947,12.1498,2685
276,4032,11.8857,2765
286,4128,11.8378,2865
298,4275,11.7854,2985
306,4402,12.2356,3070
314,4535,12.2214,3150
326,4751,12.0769,3270
339,5011,12.5168,3395
347,5185,12.3885,3480
352,5285,11.6985,3530
357,5394,11.4595,3580
363,5537,11.6074,3640
368,5655,11.6986,3690
373,5775,11.8039,3740
378,5899,11.5725,3790
381,5976,12.2181,3815
384,6056,11.7729,3850
389,6195,11.6629,3900
394,6345,11.1492,3950
399,6507,11.4458,4000
405,6715,12.1615,4060
410,6896,11.9137,4110
415,7085,11.7979,4160
420,7282,11.7596,4210
425,7487,11.8043,4260
430,7699,12.3449,4310
435,7919,12.0401,4355
441,8198,12.1189,4415
446,8451,11.9245,4470
451,8721,12.134,4515
454,8899,12.4167,4545
457,9077,12.4631,4575
462,9384,12.5085,4630
465,9574,12.1639,4655
