age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-48,0,0,0,-48,NA,NA,NA,0,2,NA,NA,1
NA,20,190,210,1230,53,1274,1052,20,1,1,1,NA
NA,47,460,480,3390,61,3728,3472,20,1,2,1,NA
NA,59.5,590,600,4820,68,5661,5449,10,1,3,1,NA
NA,84.5,840,850,5880,170,7031,6376,10,1,4,1,NA
NA,93.5,930,940,5770,86,6753,6399,10,1,5,1,NA
