age (bp),depth (cm),lab_id (),depth_top (mm),depth_bot (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),rejected_dates (),note ()
-50,0.25,NA,0,5,NA,2,NA,NA,5,2,NA,2
829,86.5,124541,860,870,905,40,736,915,10,1,NA,3
8046,88.25,120727,880,885,7235,35,7975,8157,5,1,1,6
1301,115.5,124542,1150,1160,1385,35,1262,1351,10,1,NA,3
1561,141.25,119166,1410,1415,1660,35,1433,1683,5,1,NA,3
2504,176.25,120728,1760,1765,2445,40,2363,2698,5,1,NA,3
2993,212.25,120729,2120,2125,2870,35,2885,3132,5,1,NA,3
3549,238.5,124543,2380,2390,3320,60,3416,3690,10,1,NA,5
3988,267,124544,2660,2680,3660,70,3785,4202,20,1,NA,5
4204,298.25,120730,2980,2985,3815,35,4097,4380,5,1,NA,3
5165,345.25,119169,3450,3455,4480,35,4982,5284,5,1,NA,3
5361,357.5,124545,3570,3580,4650,120,4979,5592,10,1,NA,3
6496,398.5,124546,3980,3990,5710,40,6412,6625,10,1,NA,3
6754,414.5,124547,4140,4150,5920,140,6437,7136,10,1,NA,3
7824,432.5,124548,4320,4330,6990,45,7707,7927,10,1,NA,1
8516,448.5,124549,4480,4490,7740,70,8411,8684,10,1,NA,1
8923,459.5,124550,4590,4600,8040,180,8494,9400,10,1,NA,1
13454,483.25,119167,4830,4835,11620,35,13350,13601,5,1,NA,5
13268,512.75,119168,5125,5130,11400,150,12991,13596,5,1,NA,4
