age (bp),depth (cm),depth_top (mm),depth_bot (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),rejected_dates (),note ()
-50,0.25,0,5,NA,2,NA,NA,5,2,NA,NA,5
599,56.75,565,570,635,35,552,663,5,1,2,NA,6
1228,73.875,737.5,740,1295,45,1096,1291,2.5,1,5,NA,8
1932,101.25,1007.5,1017.5,1980,60,1790,2098,10,1,3,NA,13
2920,137.375,1372.5,1375,2820,30,2854,3016,2.5,1,9,NA,4
3970,161.625,1615,1617.5,3650,35,3856,4112,2.5,1,6,1,1
3606,167.625,1675,1677.5,3365,30,3495,3684,2.5,1,8,NA,4
5404,181.625,1815,1817.5,4645,35,5311,5472,2.5,1,10,1,10
9010,198.75,1985,1990,8080,35,8807,9109,5,1,7,1,11
5190,214.875,2147.5,2150,4565,35,5066,5430,2.5,1,14,NA,3
6715,242.625,2425,2427.5,5895,35,6652,6795,2.5,1,11,NA,4
7532,256.625,2565,2567.5,6655,30,7474,7577,2.5,1,13,NA,2
9068,281.625,2815,2817.5,8120,60,8813,9255,2.5,1,12,NA,7
10042,340.125,3400,3402.5,8925,35,9920,10186,2.5,1,4,NA,9
10560,383.375,3832.5,3835,9345,50,10404,10690,2.5,1,1,NA,12
