depth (cm),age (bp),Temp (deg c),depth_bot (mm)
0,-54,13.0099,5
20,-15.9921454281493,13.2054,205
30,1.28677655693059,13.3796,305
41,20.6410360164878,13.5446,415
60,303.6367907434,13.5039,605
66,435.460938569016,13.1275,665
80,748.058809770258,13.1904,805
89,954.448877341939,13.125,895
99,1190.56800792152,13.0526,995
110,1460.5618082238,13.4822,1105
119,1691.02062793298,13.2019,1195
131,2013.98791715042,13.3143,1315
139,2240.24738634534,13.2621,1395
148,2505.62334569739,13.152,1485
153,2658.11269090613,13.6007,1535
158,2814.27768949684,13.5538,1585
168,3137.84349682143,13.3972,1685
173,3305.62129455557,12.8394,1735
183,3655.78347239251,13.3126,1835
186,3765.15761442996,13.2571,1865
196,4139.9559528639,13.664,1965
205,4484.448906268,13.46,2055
215,4889.92496193648,13.6835,2155
225,5327.57259902958,14.0759,2255
235,5791.63577966629,14.2293,2355
243,6177.49827554613,13.7185,2435
254,6722.64176142248,13.3999,2545
260,7024.32228132263,13.3698,2605
270,7531.27320472485,13.1729,2705
280,8048.96041759882,13.2821,2805
290,8589.17097915869,12.8515,2905
300,9176.72685346992,13.3274,3005
306,9563.42032329228,12.8369,3065
310,9837.68103235583,13.4768,3105
315,10197.5716610589,13.5062,3155
318,10421.8358067962,12.4886,3185
321,10651.816922571,13.2524,3215
325,10966.6014758956,13.1128,3255
329,11289.7494102192,12.5734,3295
332,11536.9378527436,12.8934,3325
337,11956.4127564305,13.167,3375
340,12211.6252038784,12.7592,3405
345,12640.9856029165,12.788,3455
350,13073.1380276115,13.1155,3505
352,13246.2122067215,13.5805,3525
355,13505.5442728208,13.2365,3555
