depth (cm),age (bp),CCA1 (sd units)
3.3,488,0.6831
10,931,0.6592
14,1059,0.3726
22,1215,0.6339
26,1289,0.2446
30,1379,0.6479
40,1709,0.5709
52,2240,0.6433
58,2552,0.4023
62,2769,0.2305
66,2989,0.1707
70,3211,-0.0754
74,3433,0.2132
78,3655,0.4705
84,3987,0.012
90,4322,-0.1658
94,4547,0.0574
98,4776,0.0193
102,5009,-0.7186
106,5247,-0.3713
110,5490,-0.3468
114,5739,-0.4841
118,5993,-0.3284
122,6251,-0.4839
126,6513,-0.3609
130,6778,-0.1356
134,7042,-0.5371
138,7305,0.1076
144,7736,-0.0819
156,8397,0.5674
170,9069,1.0324
209,9773,0.5008
