d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-3.619,1998,9.288,1998
-3.482,1997,9.28,1997
-3.405,1996,9.291,1996
-3.588,1995,9.309,1995
-3.593,1994,9.281,1994
-3.533,1993,9.306,1993
-3.491,1992,9.31,1992
-3.632,1991,9.298,1991
-3.507,1990,9.254,1990
-3.484,1989,9.291,1989
-3.515,1988,9.354,1988
-3.643,1987,9.281,1987
-3.599,1986,9.277,1986
-3.597,1985,9.28,1985
-3.568,1984,9.281,1984
-3.575,1983,9.295,1983
-3.587,1982,9.286,1982
-3.488,1981,9.386,1981
-3.649,1980,9.32,1980
-3.984,1979,9.266,1979
-3.923,1978,9.327,1978
-3.899,1977,9.275,1977
-3.685,1976,9.263,1976
-3.635,1975,9.279,1975
-3.818,1974,9.251,1974
-3.525,1973,9.322,1973
-3.716,1972,9.259,1972
-3.74,1971,9.268,1971
-3.733,1970,9.256,1970
-3.638,1969,9.236,1969
-3.777,1968,9.248,1968
-3.808,1967,9.276,1967
-4.022,1966,9.16,1966
-3.689,1965,9.236,1965
-3.74,1964,9.223,1964
-3.842,1963,9.246,1963
-3.835,1962,9.189,1962
-3.881,1961,9.196,1961
-3.922,1960,9.234,1960
-3.406,1959,9.259,1959
-3.936,1958,9.157,1958
-3.295,1957,9.241,1957
-3.387,1956,9.259,1956
-3.765,1955,9.222,1955
-3.709,1954,9.159,1954
-3.672,1953,9.189,1953
-3.707,1952,9.221,1952
-3.672,1951,9.239,1951
-3.529,1950,9.296,1950
-3.574,1949,9.342,1949
-3.402,1948,9.358,1948
-3.571,1947,9.385,1947
-3.693,1946,9.303,1946
-3.5,1945,9.346,1945
-3.655,1944,9.329,1944
-3.622,1943,9.34,1943
-3.785,1942,9.273,1942
-3.513,1941,9.266,1941
-3.799,1940,9.264,1940
-3.818,1939,9.228,1939
-3.709,1938,9.228,1938
-3.686,1937,9.245,1937
-3.697,1936,9.278,1936
-3.75,1935,9.276,1935
-3.792,1934,9.262,1934
-3.74,1933,9.287,1933
-3.669,1932,9.34,1932
-3.672,1931,9.26,1931
-3.736,1930,9.287,1930
-3.814,1929,9.297,1929
-3.801,1928,9.249,1928
-3.609,1927,9.243,1927
-3.638,1926,9.278,1926
-3.647,1925,9.286,1925
-3.767,1924,9.263,1924
-3.763,1923,9.302,1923
-3.78,1922,9.282,1922
-3.729,1921,9.253,1921
-3.607,1920,9.346,1920
-3.653,1919,9.381,1919
-3.628,1918,9.374,1918
-3.555,1917,9.392,1917
-3.706,1916,9.321,1916
-3.58,1915,9.351,1915
-3.652,1914,9.339,1914
-3.852,1913,9.343,1913
-3.628,1912,9.373,1912
-4.028,1911,9.291,1911
-3.926,1910,9.246,1910
-3.906,1909,9.245,1909
-3.676,1908,9.303,1908
-3.865,1907,9.306,1907
-3.603,1906,9.393,1906
-3.904,1905,9.276,1905
-3.776,1904,9.341,1904
-3.645,1903,9.362,1903
-3.992,1902,9.315,1902
-3.767,1901,9.378,1901
-3.37,1900,9.436,1900
-3.668,1899,9.302,1899
-3.659,1898,9.288,1898
-3.722,1897,9.28,1897
-3.691,1896,9.314,1896
-3.207,1895,9.407,1895
-3.371,1894,9.421,1894
-3.385,1893,9.313,1893
-3.741,1892,9.221,1892
-3.848,1891,9.184,1891
-3.855,1890,9.169,1890
-3.852,1889,9.212,1889
-3.752,1888,9.211,1888
-3.725,1887,9.232,1887
-3.715,1886,9.304,1886
-3.712,1885,9.297,1885
-3.547,1884,9.325,1884
-3.673,1883,9.313,1883
-3.498,1882,9.331,1882
-3.44,1881,9.36,1881
-3.553,1880,9.307,1880
-3.608,1879,9.321,1879
-3.712,1878,9.263,1878
-3.809,1877,9.318,1877
-3.703,1876,9.262,1876
-3.746,1875,9.32,1875
-3.826,1874,9.302,1874
-3.77,1873,9.263,1873
-3.813,1872,9.272,1872
-4.026,1871,9.227,1871
-3.673,1870,9.351,1870
-3.649,1869,9.413,1869
-3.66,1868,9.328,1868
-3.545,1867,9.389,1867
-3.592,1866,9.424,1866
-3.66,1865,9.331,1865
-3.312,1864,9.439,1864
-3.662,1863,9.406,1863
-3.588,1862,9.34,1862
-3.167,1861,9.48,1861
-3.455,1860,9.436,1860
-3.349,1859,9.418,1859
-3.371,1858,9.461,1858
-3.861,1857,9.337,1857
-3.579,1856,9.417,1856
-3.344,1855,9.454,1855
-3.17,1854,9.386,1854
-3.176,1853,9.446,1853
-3.56,1852,9.385,1852
-3.869,1851,9.413,1851
-3.774,1850,9.396,1850
-3.29,1849,9.489,1849
-3.619,1848,9.502,1848
-3.707,1847,9.408,1847
-3.418,1846,9.493,1846
-3.555,1845,9.434,1845
-3.605,1844,9.364,1844
