d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-3.1,1604.21,9,1603.79
-3.2,1604.12,9.03,1603.71
-3.19,1604.04,9.02,1603.62
-3.43,1603.96,9.09,1603.54
-3.69,1603.87,9.15,1603.46
-3.9,1603.79,9.17,1603.37
-3.79,1603.71,9.32,1603.29
-3.66,1603.62,9.26,1603.21
-3.58,1603.54,9.35,1603.12
-3.36,1603.46,9.25,1603.04
-3.19,1603.37,9.19,1602.96
-3.14,1603.29,9.1,1602.87
-3,1603.21,9.03,1602.79
-3.17,1603.12,8.97,1602.71
-3.33,1603.04,9.05,1602.62
-3.54,1602.96,9.16,1602.54
-3.61,1602.87,9.03,1602.46
-3.79,1602.79,9.19,1602.37
-3.88,1602.71,9.19,1602.29
-3.79,1602.62,9.27,1602.21
-3.77,1602.54,9.29,1602.12
-3.62,1602.46,9.27,1602.04
-3.35,1602.37,9.13,1601.96
-3.07,1602.29,9.12,1601.87
-2.96,1602.21,9.09,1601.79
-3.04,1602.12,9.03,1601.71
-3.14,1602.04,9.03,1601.62
-3.32,1601.96,9.03,1601.54
-3.49,1601.87,9.07,1601.46
-3.63,1601.79,9.1,1601.37
-3.8,1601.71,9.24,1601.29
-3.75,1601.62,9.12,1601.21
-3.74,1601.54,9.26,1601.12
-3.59,1601.46,9.25,1601.04
-3.39,1601.37,9.23,1600.96
-3.14,1601.29,9.05,1600.87
-3.02,1601.21,9,1600.79
-3.09,1601.12,9.02,1600.71
-3.18,1601.04,8.96,1600.62
-3.38,1600.96,9.08,1600.54
-3.72,1600.87,9.14,1600.46
-3.79,1600.79,9.25,1600.37
-3.94,1600.71,9.2,1600.29
-3.81,1600.62,9.26,1600.21
-3.64,1600.54,9.28,1600.12
-3.47,1600.46,9.17,1600.04
-3.2,1600.37,9.09,1599.96
-3.14,1600.29,9.04,1599.87
-3.01,1600.21,8.95,1599.79
-3.34,1600.12,8.94,1599.71
-3.53,1600.04,9.01,1599.62
-3.7,1599.96,8.94,1599.54
-3.87,1599.87,9.18,1599.46
-4.05,1599.79,9.2,1599.37
-3.99,1599.71,9.22,1599.29
-3.92,1599.62,9.22,1599.21
-3.67,1599.54,9.21,1599.12
-3.35,1599.46,9.19,1599.04
-3.33,1599.37,9.15,1598.96
-3.18,1599.29,9.13,1598.87
-2.97,1599.21,9.08,1598.79
-3.15,1599.12,9.03,1598.71
-3.3,1599.04,9.07,1598.62
-3.53,1598.96,9.13,1598.54
-3.64,1598.87,9.26,1598.46
-3.82,1598.79,9.25,1598.37
-3.9,1598.71,9.29,1598.29
-3.67,1598.62,9.31,1598.21
-3.51,1598.54,9.28,1598.12
-3.28,1598.46,9.16,1598.04
-3.34,1598.37,9.09,1597.96
-3.19,1598.29,9.06,1597.87
-3.12,1598.21,8.98,1597.79
-3.24,1598.12,9,1597.71
-3.68,1598.04,9.1,1597.62
-3.87,1597.96,9.12,1597.54
-3.94,1597.87,NA,1597.46
-4.06,1597.79,NA,1597.37
-3.68,1597.71,NA,1597.29
-3.59,1597.62,NA,1597.21
-3.31,1597.54,NA,1597.12
-3.22,1597.46,NA,1597.04
-3.24,1597.37,NA,1596.96
-3.05,1597.29,NA,1596.87
-2.93,1597.21,NA,1596.79
-3.3,1597.12,NA,1596.71
-3.52,1597.04,NA,1596.62
-3.61,1596.96,NA,1596.54
-3.65,1596.87,NA,1596.46
-3.7,1596.79,NA,1596.37
-3.71,1596.71,NA,1596.29
-3.71,1596.62,NA,1596.21
-3.63,1596.54,NA,1596.12
-3.44,1596.46,NA,1596.04
-3.28,1596.37,NA,1595.96
-3.2,1596.29,NA,1595.87
-2.92,1596.21,NA,1595.79
-3.17,1596.12,NA,1595.71
-3.07,1596.04,NA,1595.62
-3.32,1595.96,NA,1595.54
-3.21,1595.87,NA,1595.46
