dD (permil),year (AD)
-306.74,1987
-314.35,1984
-315.12,1981
-320.83,1978
-313.81,1975
-318.16,1972
-301.58,1969
-321.32,1965
-297.9,1962
-322.57,1958
-306.55,1955
-328.35,1951
-309.09,1948
-311.39,1944
-308.6,1940
-308.73,1936
-314.73,1933
-309.29,1929
-311.48,1925
-308.88,1921
-317.13,1917
-312.73,1913
-300.75,1909
-308.29,1905
-302.65,1901
-302.71,1897
-301.7,1893
-320.2,1889
-316.41,1885
-325.66,1881
-315.54,1877
-297.52,1873
-314.15,1868
-319.29,1864
-319.38,1860
-314.61,1856
-325.29,1851
-328.15,1847
-328.6,1843
-312.35,1838
-317.39,1834
-298.04,1829
-303.21,1825
-328.57,1820
-323.98,1816
-320.51,1811
-324.35,1807
-315.71,1802
-316.44,1797
-327.2,1793
-325.2,1788
-308.73,1783
-308.75,1779
-329.12,1774
-320.43,1769
-320.92,1764
-315.55,1760
-304.41,1755
-307.19,1750
-316.05,1745
-315.66,1740
-308.09,1735
-305.48,1730
-324.7,1725
-312.59,1720
-311.68,1715
-309.15,1710
-310.45,1705
-325.13,1700
-316.73,1695
-315,1690
-318.91,1685
-320.42,1680
-315.6,1675
-316.63,1670
-312.94,1665
-321.11,1660
-314.44,1654
-317.42,1649
-321.73,1644
-315.74,1639
-309.86,1633
-325.14,1628
-324.11,1623
-324.68,1618
-308.48,1612
-321.86,1607
-313.24,1602
-316.5,1596
-313.75,1591
-307.42,1586
-310.37,1580
-316.4,1575
-306.06,1570
-315.84,1564
-309.41,1559
-317.93,1553
-311.41,1548
-321.38,1542
-301.15,1537
-320.76,1532
-319.23,1526
-302.35,1521
-326.78,1515
-320.92,1510
-315.68,1504
-322.2,1499
-313.77,1493
-310.02,1487
-318.63,1482
-320.83,1476
-311.51,1471
-315.96,1465
-311.24,1460
-320.46,1454
-318.22,1448
-323.71,1443
-316.5,1437
-321.5,1432
-319.73,1426
-310.78,1420
-310.26,1415
-312.03,1409
-307.65,1403
-310.91,1398
-304.08,1392
-310.78,1386
-309.06,1381
-321.87,1375
-320.56,1369
-305.48,1363
-310.51,1358
-320.11,1352
-303.31,1346
-306.96,1341
-314.82,1335
-324.9,1329
-303.81,1323
-309.32,1318
-302.69,1312
-301.78,1306
-321.92,1300
-307.26,1295
-317.71,1289
-310.75,1283
-314.64,1277
-322.57,1271
-301.41,1266
-317.72,1260
-309.99,1254
