d18O (permil),year (AD),d18O (permil)
-2.87,1992,-3.16
-3.02,1991,-2.98
-2.8,1990,-2.72
-3.02,1989,-2.74
-3.02,1988,-2.63
-2.89,1987,-2.93
-3,1986,-2.72
-3.01,1985,-2.83
-2.71,1984,-2.73
-2.68,1983,-2.98
-2.74,1982,-2.69
-2.95,1981,-2.73
-3.05,1980,-2.74
-2.89,1979,-2.99
-2.8,1978,-2.69
-2.79,1977,-2.8
-2.99,1976,-2.77
-2.68,1975,-2.78
-2.79,1974,-2.54
-2.74,1973,-2.7
-2.81,1972,-2.75
-2.73,1971,-2.84
-3.08,1970,-2.72
-2.95,1969,-2.92
-2.63,1968,-2.87
-2.78,1967,-2.65
-2.88,1966,-2.89
-2.74,1965,-2.9
-2.89,1964,-3.02
-2.98,1963,-2.88
-2.84,1962,-2.88
-2.82,1961,-2.64
-2.65,1960,-2.78
-2.75,1959,-2.96
-2.84,1958,-2.79
-2.76,1957,-2.91
-2.62,1956,-2.75
-2.7,1955,-2.82
-2.74,1954,-3.13
NA,1953,-3.06
-2.97,1953,-3.15
-2.64,1952,-2.67
-2.73,1951,-2.75
-2.77,1950,-2.69
-2.73,1949,-2.81
-2.8,1948,-2.96
-2.94,1947,-3.18
-2.71,1946,-2.81
-2.84,1945,-2.93
-2.88,1944,-2.72
-2.91,1943,-2.68
-2.99,1942,-2.92
-2.74,1941,-3.13
-2.79,1940,-2.86
-2.76,1939,-3.11
-2.57,1938,-2.93
-2.68,1937,-2.91
-2.7,1936,-2.72
-2.81,1935,-2.76
-2.63,1934,-2.88
-2.7,1933,-2.94
-2.61,1932,-3
-2.79,1931,-2.78
-2.4,1930,-2.74
-2.67,1929,-2.87
-2.69,1928,-2.74
-2.82,1927,-2.74
-2.52,1926,-2.76
-2.57,1925,-2.79
-2.78,1924,-2.8
-2.69,1923,-2.78
-2.68,1922,-2.79
-2.47,1921,-2.65
-2.68,1920,-2.81
-2.79,1919,-2.48
-2.66,1918,-2.85
-2.73,1917,-2.87
-2.87,1916,-2.57
-2.4,1915,-2.51
-2.78,1914,-2.8
-2.79,1913,-2.71
-2.59,1912,-2.55
-2.46,1911,-2.92
-2.67,1910,-2.76
-2.69,1909,-2.65
-2.44,1908,-2.79
-2.73,1907,-2.8
-2.71,1906,-2.76
-2.41,1905,-2.72
-2.33,1904,-2.9
-2.48,1903,-2.96
-2.77,1902,-2.77
-2.95,1901,-2.79
-2.58,1900,-2.57
-2.86,1899,-2.71
-2.18,1898,-2.83
-2.58,1897,-2.66
-2.69,1896,-2.74
-2.78,1895,NA
-2.79,1894,-2.75
-2.68,1893,-2.58
-2.69,1892,-2.78
-2.74,1891,-2.86
-2.81,1890,-2.65
-2.79,1889,-2.74
-2.79,1888,-2.79
-2.6,1887,-2.6
-2.93,1886,-2.92
NA,1885,-2.75
NA,1884,-2.67
NA,1883,-2.7
NA,1882,-2.82
NA,1881,-2.69
NA,1880,-2.88
NA,1879,-2.69
NA,1878,-2.79
NA,1877,-2.8
NA,1876,-2.88
NA,1875,-2.61
NA,1874,-2.49
NA,1873,-2.74
NA,1872,-2.77
NA,1871,-2.68
NA,1870,-2.74
NA,1869,-2.72
NA,1868,-2.8
NA,1867,-2.57
NA,1866,-2.77
NA,1865,-2.67
NA,1864,-2.76
NA,1863,-2.69
NA,1862,-2.7
NA,1861,-2.68
NA,1860,-2.73
NA,1859,-2.72
NA,1858,-2.82
NA,1857,-2.55
NA,1856,-2.81
NA,1855,-2.84
NA,1854,-2.64
NA,1853,-2.64
NA,1852,-2.71
NA,1851,-2.55
NA,1850,-2.48
NA,1849,-2.61
NA,1848,-2.6
NA,1847,-2.64
NA,1846,-2.82
NA,1845,-2.84
NA,1844,-2.53
NA,1843,-2.61
NA,1842,-2.67
NA,1841,-2.93
NA,1840,-2.72
NA,1839,-2.79
NA,1838,-2.67
NA,1837,-2.62
NA,1836,-2.65
NA,1835,-2.48
NA,1834,-2.42
NA,1833,-2.31
NA,1832,-2.18
NA,1831,-2.6
NA,1830,-2.67
NA,1829,-2.53
NA,1828,-2.67
NA,1827,-2.64
NA,1826,-2.52
NA,1825,-2.48
NA,1824,-2.14
NA,1823,-2.91
NA,1822,-2.56
NA,1821,-2.83
NA,1820,-2.71
NA,1819,-2.72
NA,1818,-2.64
NA,1817,-2.42
NA,1816,-2.47
NA,1815,-2.54
NA,1814,-2.6
NA,1813,-2.59
NA,1812,-2.59
NA,1811,-2.49
NA,1810,-2.55
NA,1809,-2.51
NA,1808,-2.61
NA,1807,-2.36
NA,1806,-2.48
NA,1805,-2.47
NA,1804,-2.49
NA,1803,-2.3
NA,1802,-2.6
NA,1801,-2.57
NA,1800,-2.71
NA,1799,-2.59
NA,1798,-2.7
NA,1797,-2.85
NA,1796,-2.63
NA,1795,-2.75
NA,1794,-2.73
NA,1793,-2.87
NA,1792,-2.44
NA,1791,-2.96
NA,1790,-2.58
NA,1789,-2.37
NA,1788,-2.48
