C170x2D28 (unitless),year (AD),age (BP),depth (cm),dD (permil)
39.54,1994.9,-44.9000000000001,0.015,-161.03
26.83,1983.8,-33.8,0.025,-170.11
22.95,1972.6,-22.5999999999999,0.035,-170.99
26.25,1961.5,-11.5,0.045,-175.04
25.41,1950.4,-0.400000000000091,0.055,-193.76
27.97,1897.4,52.5999999999999,0.065,-195.76
23.49,1844.5,105.5,0.075,-184.11
24.05,1791.7,158.3,0.085,-154
17.55,1738.8,211.2,0.095,-203.66
34.01,1685.9,264.1,0.105,-188.56
24.5,1633,317,0.115,-179.99
23.26,1580,370,0.125,-186.11
7.31,1527.1,422.9,0.135,NA
20.8,1474.2,475.8,0.145,-196.11
17.59,1421.3,528.7,0.155,-184.68
20.67,1368.4,581.6,0.165,-187.88
17.27,1315.5,634.5,0.175,-168.13
24.01,1262.6,687.4,0.185,-190.92
19.78,1209.7,740.3,0.195,-205.49
23.96,1156.8,793.2,0.205,-200.24
20.88,1103.9,846.1,0.215,-191.87
20.01,1050.9,899.1,0.225,-159.43
22.28,998.1,951.9,0.235,-189.18
26.62,945.1,1004.9,0.245,-155.33
28.92,892.3,1057.7,0.255,-169.12
25.7,839.3,1110.7,0.265,-168.77
18.78,786.5,1163.5,0.275,-184.42
21.51,733.5,1216.5,0.285,-133.11
20.37,680.6,1269.4,0.295,-163.6
22.82,627.7,1322.3,0.305,-156.68
21.66,574.8,1375.2,0.315,-145.49
25.79,521.9,1428.1,0.325,-154.77
22.46,475.4,1474.6,0.335,-143.96
32.37,435.5,1514.5,0.345,-134.46
23.96,395.5,1554.5,0.355,-166.5
23.66,355.5,1594.5,0.365,-154.12
22.81,315.5,1634.5,0.375,-159.95
12.8,275.5,1674.5,0.385,-177.94
14.69,223.5,1726.5,0.395,-185.22
17.23,159.3,1790.7,0.405,-189.33
15.13,95.2,1854.8,0.415,-187.04
23.44,52.7,1897.3,0.425,-200.07
17.82,10.2,1939.8,0.435,-207.81
22.64,-32.3,1982.3,0.445,-201.14
20.61,-74.7,2024.7,0.455,-193.75
22.02,-159.7,2109.7,0.475,-165.93
18.06,-244.6,2194.6,0.495,-186.17
21.13,-321.1,2271.1,0.515,-169.61
22.97,-399.5,2349.5,0.535,-182.81
26.03,-477.8,2427.8,0.555,-177.36
16.49,-556.1,2506.1,0.575,-185.03
16.49,-634.5,2584.5,0.595,-183.69
10.46,-712.8,2662.8,0.615,-180.9
14.87,-791.1,2741.1,0.635,-186.36
17.87,-842.4,2792.4,0.655,-202.62
12.7,-904.5,2854.5,0.675,-183.74
11.17,-966.6,2916.6,0.695,-194.43
17.31,-1030.4,2980.4,0.715,-196.7
8.84,-1099.4,3049.4,0.735,-206.6
12.78,-1168.4,3118.4,0.755,-173.17
10.7,-1237.4,3187.4,0.775,-186.18
9.15,-1306.4,3256.4,0.795,-177.69
11.77,-1375.3,3325.3,0.815,-191.34
11.78,-1444.5,3394.5,0.835,-202.13
8.79,-1514,3464,0.855,-204
7.32,-1583.5,3533.5,0.875,-190.48
11.46,-1653,3603,0.895,-208.43
9.79,-1722.5,3672.5,0.915,-195.57
12.69,-1792,3742,0.935,-191.64
9.11,-1861.5,3811.5,0.955,-179.42
11.55,-1931,3881,0.975,-174.47
11.41,-2006.8,3956.8,0.995,-138.61
8.93,-2088.8,4038.8,1.015,-132.58
9.49,-2170.7,4120.7,1.035,-155.61
15.56,-2252.6,4202.6,1.055,-126.05
10.48,-2334.7,4284.7,1.075,-145.86
14.3,-2416.6,4366.6,1.095,-146.69
6.31,-2498.6,4448.6,1.115,-141.47
7.27,-2580.6,4530.6,1.135,-151.63
6.99,-2662.5,4612.5,1.155,-117.85
8.88,-2744.5,4694.5,1.175,-124.33
7.12,-2826.4,4776.4,1.195,-135.63
6.3,-2901,4851,1.215,-136.87
7.5,-2970.6,4920.6,1.235,-147.23
13.52,-3057.2,5007.2,1.255,-203.09
12.22,-3143.8,5093.8,1.275,-214.24
27.34,-3216.8,5166.8,1.295,-225.15
14.11,-3289.9,5239.9,1.315,-214.69
14.51,-3365.7,5315.7,1.335,-177.67
13.55,-3449.7,5399.7,1.355,-168.71
15.13,-3533.7,5483.7,1.375,-187.95
34.13,-3605.1,5555.1,1.395,-188.32
13.71,-3687.1,5637.1,1.415,-189.01
13.94,-3745.7,5695.7,1.435,-189.46
22.51,-3804.3,5754.3,1.455,-195.27
17.45,-3863,5813,1.475,-195.71
18.03,-3921.6,5871.6,1.495,-218.74
11.32,-3980.2,5930.2,1.515,-220.84
16.59,-4038.8,5988.8,1.535,-210.06
