d18O (permil),year (AD),depth (cm)
-13.91,1997.93,2.5
-18.07,1997.86,7.5
-18.78,1997.79,12.5
-18.99,1997.71,17.5
-19.67,1997.64,21.5
-19.23,1997.57,25.5
-17.67,1997.5,29.5
-17.04,1997.43,33.5
-17.17,1997.36,37.5
-16.44,1997.29,41.5
-16.2,1997.21,45.5
-16.44,1997.14,49.5
-16.33,1997.07,53.5
-15.82,1997,57.5
-16.26,1996.93,61.5
-16.71,1996.87,65.5
-18.02,1996.8,69.5
-17.53,1996.73,73.5
-18.54,1996.67,77.5
-18.7,1996.6,81.5
-18.97,1996.53,85.5
-18.55,1996.47,89.5
-16.88,1996.4,93.5
-15.54,1996.33,97.5
-15.53,1996.27,101.5
-15.42,1996.2,105.5
-15.04,1996.13,109.5
-14.2,1996.07,113.5
-11.1,1996,117.5
-13.71,1995.94,121.5
-15.74,1995.88,125.5
-16.71,1995.81,129.5
-16.83,1995.75,134
-17.07,1995.69,138.5
-17.25,1995.63,143
-16.9,1995.56,147
-16.77,1995.5,151
-16.91,1995.44,155
-16.5,1995.38,159
-16.33,1995.31,163
-16.45,1995.25,167
-16.6,1995.19,171
-16.6,1995.13,175
-16.61,1995.06,179
-15.92,1995,183
-16.74,1994.91,187
-17.11,1994.82,191
-17.01,1994.73,195
-17.14,1994.64,199
-17.87,1994.55,203
-17.83,1994.45,207
-18.29,1994.36,211
-18.59,1994.27,215
-18.61,1994.18,219
-18.79,1994.09,223
-18.85,1994,227
-19.42,1993.89,231
-19.45,1993.78,235
-19.26,1993.67,239
-19.56,1993.56,243
-18.55,1993.44,247
-18.58,1993.33,251
-17.56,1993.22,255
-13.87,1993.11,259
-13.37,1993,263
-15.17,1992.92,267
-19.38,1992.85,271
-20.17,1992.77,275
-19.44,1992.69,279
-19.93,1992.62,283
-20.02,1992.54,287
-20.02,1992.46,291
-19.87,1992.38,295
-19.27,1992.31,299
-18.77,1992.23,303
-18.94,1992.15,307
-18.63,1992.08,311
-17.71,1992,315
-20.17,1991.89,320
-19.97,1991.78,325
-18.82,1991.67,329
-18.03,1991.56,334
-18.14,1991.44,338
-20.14,1991.33,342
-20.63,1991.22,346
-19.56,1991.11,350
-17.87,1991,354
-19.9,1990.92,358
-20.22,1990.83,362
-21.2,1990.75,366
-21.1,1990.67,370
-21.52,1990.58,374
-18.88,1990.5,378
-20.2,1990.42,382
-20.4,1990.33,386
-17.77,1990.25,390
-17.6,1990.17,394
-16.75,1990.08,398
-15.82,1990,402
-14.62,1989.9,406
-13.94,1989.8,410
-16.04,1989.7,414
-17.11,1989.6,418
-16.49,1989.5,422
-16.34,1989.4,426
-14.88,1989.3,430
-15.45,1989.2,434
-14.88,1989.1,438
-14.82,1989,442
-16.25,1988.91,446
-16.61,1988.82,450
-18.07,1988.73,454
-18.1,1988.64,458
-18.6,1988.55,462
-18.84,1988.45,466
-19.4,1988.36,470
-18.9,1988.27,474
-18.9,1988.18,478.5
-19.51,1988.09,483
-19.04,1988,487
-19.02,1987.89,491
-19.52,1987.78,495
-20.17,1987.67,499
-21.07,1987.56,503
-21.54,1987.44,507
-20.89,1987.33,511
-18.58,1987.22,515
-18.22,1987.11,519
-18.34,1987,523
-18.84,1986.91,527
-18.4,1986.82,531
-18.92,1986.73,535
-19.39,1986.64,540
-19.45,1986.55,544.5
-19.61,1986.45,549.5
-20.03,1986.36,553.5
-20.42,1986.27,558
-18.57,1986.18,562.5
-16.84,1986.09,567
-15.98,1986,571.5
-16.36,1985.93,576
-18.33,1985.86,580.5
-17.03,1985.79,585
-14.62,1985.71,589.5
-17.7,1985.64,593.5
-18.71,1985.57,598
-18.11,1985.5,601.5
-18.93,1985.43,605.5
-18.17,1985.36,609.5
-17.86,1985.29,613.5
-15.94,1985.21,617.5
-16.28,1985.14,621.5
-11.41,1985.07,625.5
