d18O (permil),year (AD),year (AD)
26.8,1743,1743
28.4,1744,1744
27.1,1745,1745
30,1746,1746
28.7,1747,1747
29.8,1748,1748
27.2,1749,1749
27.5,1750,1750
27.5,1751,1751
29.2,1752,1752
28.6,1753,1753
28.4,1754,1754
28.8,1755,1755
27.1,1756,1756
27.2,1757,1757
29.1,1758,1758
28.3,1759,1759
28.2,1760,1760
28.4,1761,1761
28.7,1762,1762
28.2,1763,1763
28.5,1764,1764
29,1765,1765
28.2,1766,1766
26.7,1767,1767
28.2,1768,1768
29.5,1769,1769
28.5,1770,1770
26.7,1771,1771
27.4,1772,1772
28,1773,1773
28.8,1774,1774
28.6,1775,1775
28.5,1776,1776
27.2,1777,1777
27.8,1778,1778
27.6,1779,1779
28.8,1780,1780
28.7,1781,1781
27.5,1782,1782
28.1,1783,1783
28.4,1784,1784
28.6,1785,1785
28.8,1786,1786
28.3,1787,1787
27.9,1788,1788
26.5,1789,1789
28.8,1790,1790
29,1791,1791
27.6,1792,1792
28.9,1793,1793
28.5,1794,1794
27.6,1795,1795
27.8,1796,1796
28.5,1797,1797
28.5,1798,1798
29,1799,1799
26.6,1800,1800
27,1801,1801
28.3,1802,1802
27.5,1803,1803
28,1804,1804
27.4,1805,1805
27.8,1806,1806
28.4,1807,1807
26.5,1808,1808
27.7,1809,1809
27.3,1810,1810
26.6,1811,1811
29.7,1812,1812
28.7,1813,1813
28.8,1814,1814
26.8,1815,1815
29.3,1816,1816
28.5,1817,1817
27.8,1818,1818
28.2,1819,1819
27,1820,1820
27.6,1821,1821
28,1822,1822
28.2,1823,1823
29,1824,1824
27.6,1825,1825
30,1826,1826
28.3,1827,1827
28.3,1828,1828
26.4,1829,1829
28.6,1830,1830
27.5,1831,1831
30.6,1832,1832
30.7,1833,1833
29.4,1834,1834
28.8,1835,1835
30.6,1836,1836
29,1837,1837
30.4,1838,1838
29.8,1839,1839
31.3,1840,1840
29.6,1841,1841
27.1,1842,1842
28.6,1843,1843
28.7,1844,1844
29,1845,1845
29.1,1846,1846
30.3,1847,1847
28.7,1848,1848
27.2,1849,1849
28.4,1850,1850
28.3,1851,1851
27.8,1852,1852
28.8,1853,1853
27.7,1854,1854
29.3,1855,1855
29,1856,1856
28.7,1857,1857
27.7,1858,1858
27.4,1859,1859
28.1,1860,1860
28.5,1861,1861
28,1862,1862
26.9,1863,1863
28.8,1864,1864
28.4,1865,1865
30,1866,1866
29.2,1867,1867
29.3,1868,1868
27.7,1869,1869
27.2,1870,1870
28.1,1871,1871
28.5,1872,1872
28.3,1873,1873
29.2,1874,1874
29.4,1875,1875
29.8,1876,1876
28.1,1877,1877
26.9,1878,1878
28,1879,1879
29.4,1880,1880
29.4,1881,1881
29.1,1882,1882
29.1,1883,1883
29.9,1884,1884
28.5,1885,1885
28.4,1886,1886
29.1,1887,1887
29.5,1888,1888
29.7,1889,1889
29.1,1890,1890
29.2,1891,1891
28.5,1893,1892
29.4,1894,1894
27.4,1895,1895
30.1,1897,1896
28.9,1898,1898
30.2,1899,1899
29,1900,1900
28.8,1901,1901
28.3,1902,1902
28.4,1903,1903
29.5,1904,1904
29.8,1905,1905
28.2,1906,1906
29.1,1907,1907
29.6,1908,1908
28.9,1909,1909
27.9,1910,1910
29,1911,1911
30,1912,1912
30.5,1913,1913
29.1,1914,1914
28.9,1915,1915
27.9,1916,1916
27.8,1917,1917
29.1,1918,1918
28.1,1919,1919
29.4,1920,1920
29.2,1921,1921
28.1,1922,1922
28.5,1923,1923
28.4,1924,1924
29,1925,1925
29,1926,1926
28.8,1927,1927
29.1,1928,1928
29.3,1929,1929
28.9,1930,1930
26.9,1931,1931
27.4,1932,1932
26.2,1933,1933
28.3,1934,1934
26.9,1935,1935
28.9,1936,1936
29.4,1937,1937
28.5,1938,1938
29,1939,1939
28.5,1940,1940
28.7,1941,1941
28,1942,1942
27.6,1943,1943
29.2,1944,1944
28.1,1945,1945
28.2,1946,1946
27.6,1947,1947
27.8,1948,1948
27.3,1949,1949
29.1,1950,1950
28.5,1951,1951
29.3,1952,1952
27.8,1955,1953
27.6,1956,1956
27.8,1957,1957
26.5,1958,1958
27.4,1959,1959
27.1,1960,1960
27.4,1961,1961
26.9,1962,1962
28.8,1963,1963
26,1964,1964
29.1,1965,1965
29.3,1967,1966
28.2,1970,1968
27.6,1971,1971
27.9,1972,1972
29,1974,1973
29.4,1975,1975
29.6,1976,1976
28.6,1977,1977
29.9,1978,1978
28,1979,1979
28.8,1981,1980
31.1,1982,1982
29.2,1983,1983
28.8,1985,1984
27.8,1987,1986
28.9,1988,1988
