d18O (permil),year (AD),depth (cm)
0.44,1952.0811,4
0.24,1900.932,9
0.74,1885.588,10.5
0.54,1875.358,11.5
0.63,1865.128,12.5
0.94,1854.899,13.5
0.15,1844.67,14.5
0.23,1834.44,15.5
0.46,1824.21,16.5
0.06,1813.98,17.5
0.82,1803.75,18.5
0.55,1793.52,19.5
0.58,1783.29,20.5
0.59,1773.06,21.5
0.78,1747.49,24
0.05,1650.3,33.5
0.25,1578.7,40.5
0.55,1537.78,44.5
0.28,1507.09,47.5
0.29,1466.17,51.5
0.26,1415.02,56.5
0.44,1379.22,60
0.59,1358.76,62
0.85,1343.41,63.5
0.62,1338.3,64
0.36,1322.95,65.5
0.51,1312.72,66.5
0.58,1302.49,67.5
0.87,1287.15,69
0.6,1271.8,70.5
0.69,1261.57,71.5
0.52,1251.34,72.5
0.79,1241.11,73.5
0.13,1215.09,75.5
0.33,1159.33,79.5
1.07,1124.48,82
0.31,1096.61,84
0.55,1054.79,87
0.52,1019.94,89.5
0.47,985.09,92
0.3,929.3,96
0.31,908.4,97.5
0.55,894.5,98.5
0.43,880.5,99.5
0.22,866.6,100.5
0.27,852.7,101.5
0.16,838.7,102.5
-0.13,824.8,103.5
0.16,810.8,104.5
0.37,796.9,105.5
0.35,783,106.5
0.66,745.7,107.5
0.19,685,108.5
0.63,624.3,109.5
0.3,563.7,110.5
0.41,503,111.5
-0.13,442.3,112.5
0.02,397.7,113.5
0.32,369.1,114.5
0.12,340.5,115.5
0.33,311.9,116.5
-0.23,283.3,117.5
0.05,254.7,118.5
0.14,226.2,119.5
0.76,183.3,121
-0.03,140.4,122.5
0.17,111.8,123.5
0.62,83.2,124.5
0.27,54.6,125.5
1.03,26,126.5
0.72,-2.6,127.5
0.62,-31.2,128.5
0.1,-88.4,130.5
0.08,-145.5,132.5
0.44,-174.1,133.5
0.41,-202.7,134.5
0.04,-259.9,136.5
0.3,-331.4,139
0.33,-374.3,140.5
0.13,-402.9,141.5
0.1,-431.5,142.5
0.57,-460,143.5
0.36,-502.9,145
0.31,-545.8,146.5
-0.28,-574.4,147.5
-0.18,-603,148.5
0.45,-631.6,149.5
0.48,-660.2,150.5
0.58,-703.1,152
0.5,-774.5,154.5
0.45,-831.7,156.5
0.04,-860.3,157.5
-0.26,-888.9,158.5
0.43,-917.5,159.5
0.57,-946.1,160.5
0.43,-974.7,161.5
0.41,-1003.3,162.5
0.24,-1031.9,163.5
0.22,-1074.8,165
0.3,-1117.6,166.5
-0.09,-1146.2,167.5
0.27,-1189.1,169
0.21,-1232,170.5
-0.04,-1260.6,171.5
0.22,-1289.2,172.5
0.16,-1317.8,173.5
0.63,-1360.7,175
0.63,-1403.6,176.5
-0.27,-1432.2,177.5
0.54,-1460.7,178.5
0.22,-1503.6,180
-0.15,-1560.8,182
0.64,-1603.7,183.5
0.79,-1632.3,184.5
0.21,-1660.9,185.5
0.2,-1703.8,187
0.45,-1761,189
0.43,-1803.8,190.5
0.62,-1832.4,191.5
0.55,-1861,192.5
0.15,-1889.6,193.5
0.17,-1946.8,195.5
0.25,-2004,197.5
0.21,-2032.6,198.5
0.18,-2061.2,199.5
0.76,-2289.9,207.5
0.45,-2318.5,208.5
1.1,-2347.1,209.5
0.57,-2375.7,210.5
0.01,-2404.3,211.5
0.43,-2447.2,213
-0.03,-2504.3,215
0.73,-2547.2,216.5
0.16,-2590.1,218
0.34,-2675.9,221
0.18,-2790.3,225
0.54,-2847.4,227
0.86,-2890.3,228.5
0.47,-2976.1,231.5
0.55,-3104.8,236
0.78,-3190.5,239
0.96,-3304.9,243
0.71,-3419.3,247
0.64,-3562.2,252
0.62,-3661.4,256.5
0.38,-3670.4,257.5
0.31,-3679.4,258.5
0.42,-3697.3,260.5
0.45,-3724.2,263.5
0.62,-3742.1,265.5
0.26,-3751.1,266.5
0.14,-3760.1,267.5
0.2,-3769,268.5
0.54,-3778,269.5
0.85,-3795.9,271.5
0.43,-3813.8,273.5
-0.1,-3836.3,276
0.2,-3858.7,278.5
1.01,-3876.6,280.5
0.64,-3894.5,282.5
0.48,-3903.5,283.5
0.21,-3912.5,284.5
0.8,-3925.9,286
0.79,-3939.4,287.5
0.35,-3948.3,288.5
0.18,-3957.3,289.5
0.43,-3966.2,290.5
0.3,-3993.1,293.5
1.17,-4145.5,310.5
0.5,-4154.5,311.5
1.14,-4163.5,312.5
0.7,-4176.9,314
0.1,-4194.8,316
0.14,-4212.8,318
0.39,-4226.2,319.5
0.7,-4235.2,320.5
0.75,-4244.2,321.5
0.73,-4253.1,322.5
0.69,-4266.6,324
-0.1,-4306.9,328.5
1.02,-4315.9,329.5
0.66,-4329.3,331
1.11,-4342.8,332.5
0.57,-4351.7,333.5
0.72,-4360.7,334.5
0.91,-4369.7,335.5
0.66,-4378.6,336.5
0.74,-4387.6,337.5
0.82,-4396.6,338.5
0.94,-4405.5,339.5
1.14,-4419.4,340.5
1.26,-4438.1,341.5
0.87,-4456.8,342.5
0.47,-4484.9,344
0.86,-4513,345.5
0.67,-4531.7,346.5
0.57,-4550.5,347.5
1.01,-4569.2,348.5
0.62,-4587.9,349.5
0.67,-4606.6,350.5
0.68,-4625.4,351.5
0.6,-4644.1,352.5
0.48,-4662.8,353.5
0.6,-4681.5,354.5
0.68,-4719,356.5
0.92,-4737.7,357.5
0.63,-4765.8,359
0.75,-4803.3,361
1.21,-4831.4,362.5
0.67,-4850.1,363.5
0.71,-4878.2,365
1.5,-4906.3,366.5
0.63,-4925,367.5
0.93,-4943.7,368.5
1.14,-4962.5,369.5
0.73,-4981.2,370.5
0.85,-4999.9,371.5
0.86,-5018.6,372.5
1.2,-5037.4,373.5
1,-5056.1,374.5
0.16,-5112.3,377.5
0.83,-5131,378.5
0.95,-5168.5,380.5
1.04,-5234,384
1.32,-5271.5,386
