d18O (permil),year (AD),depth (cm)
-4.963,1886,NA
-4.166,1870,NA
-3.818,1853,NA
-5.113,1836,NA
-4.502,1820,NA
-5.244,1803,NA
-4.755,1786,NA
-4.966,1736,NA
-4.7,1720,NA
-4.267,1703,NA
-3.637,1670,NA
-4.032,1636,NA
-4.088,1620,NA
-4.365,1553,NA
-5.446,1536,NA
-4.104,1520,NA
-3.293,1486,NA
-3.599,1453,NA
-3.9,1420,NA
-4.866,1403,NA
-2.379,1386,NA
-1.663,1370,NA
-3.647,1353,NA
-3.485,1336,NA
-2.931,1320,NA
-2.972,1303,NA
-2.944,1286,NA
-2.193,1270,NA
-3.973,1253,NA
-2.969,1236,NA
-3.26,1220,NA
-3.254,1203,NA
-2.669,1186,NA
-3.584,1153,NA
-2.464,1136,NA
-2.429,1120,NA
-2.812,1103,NA
-2.177,1086,NA
-2.684,1070,NA
-4.012,1053,NA
-2.783,1036,NA
