dD (permil),year (AD)
-373.9964,1998
-384.6878,1997
-393.3274,1996
-389.3174,1995
-409.3756,1994
-407.9347,1993
-406.2214,1992
-400.235,1991
-397.314,1990
-398.9753,1989
-400.2067,1988
-414.4176,1987
-414.1851,1986
-400.244,1985
-400.6461,1984
-409.5097,1983
-406.5811,1982
-402.8389,1981
-400.0178,1980
-408.6065,1979
-398.5117,1978
-403.4234,1977
-415.7223,1976
-418.7539,1975
-417.3415,1974
-410.6328,1973
-417.4578,1972
-397.615,1971
-399.4412,1970
-393.5276,1969
-397.6085,1968
-404.5717,1967
-408.6148,1966
-412.3395,1965
-409.0627,1964
-401.079,1963
-411.5509,1962
-396.507,1961
-394.3432,1960
-399.7667,1959
-404.8381,1958
-399.4604,1957
-379.2027,1956
-383.5999,1955
-392.2254,1954
-406.7781,1953
-406.2672,1952
-410.8526,1951
-409.9014,1950
-408.5802,1949
-400.9192,1948
-399.9415,1947
-381.95,1946
-373.0096,1945
-387.54880000000003,1944
-411.4702,1943
-419.3573,1942
-398.883,1941
-387.9771,1940
-392.771,1939
-389.2531,1938
-397.2517,1937
-412.1376,1936
-413.8445,1935
-400.2561,1934
-406.4134,1933
-412.9881,1932
-403.21,1931
-389.5301,1930
-388.1501,1929
-390.4367,1928
-383.1437,1927
-376.7841,1926
-382.3663,1925
-395.4371,1924
-399.6936,1923
-396.4352,1922
-383.1268,1921
-370.413,1920
-381.8497,1919
-392.5254,1918
-393.2739,1917
-395.73,1916
-409.0554,1915
-412.9744,1914
-402.531,1913
-411.1921,1912
-390.7783,1911
-391.0304,1910
-386.2602,1909
-407.7768,1908
-410.5572,1907
-392.4824,1906
-387.8077,1905
-400.1116,1904
-404.9005,1903
-402.6243,1902
-404.9494,1901
-412.8155,1900
-409.739,1899
-399.219,1898
-395.2271,1897
-391.8054,1896
-399.1107,1895
-403.2559,1894
-392.5694,1893
-395.0129,1892
-389.5882,1891
-387.5796,1890
-399.958,1889
-399.2261,1888
-397.7238,1887
-409.6189,1886
-403.6399,1885
-402.5952,1884
-402.0527,1883
-399.3565,1882
-406.2405,1881
-412.5559,1880
-409.8731,1879
-403.8331,1878
-400.9253,1877
-398.1136,1876
-381.131,1875
-393.8607,1874
-409.2793,1873
-401.3103,1872
-384.7244,1871
-390.2104,1870
-400.6349,1869
-398.1063,1868
-399.8719,1867
-391.6618,1866
-401.2233,1865
-409.139,1864
-409.0855,1863
-396.0859,1862
-382.2604,1861
-391.8894,1860
-398.4929,1859
-406.1871,1858
-400.3566,1857
-404.111,1856
-399.6876,1855
-408.7937,1854
-406.8074,1853
-392.1593,1852
-389.0408,1851
-388.5441,1850
-394.1493,1849
-402.9884,1848
-385.4696,1847
-390.8888,1846
-398.7864,1845
-403.4499,1844
-402.2031,1843
-406.3426,1842
-405.8825,1841
-400.4456,1840
-403.7565,1839
-401.5824,1838
-398.6293,1837
-394.3186,1836
-384.3458,1835
-392.0096,1834
-412.3172,1833
-413.8629,1832
-397.8238,1831
-385.8133,1830
-400.9426,1829
-410.7485,1828
-410.4247,1827
-409.736,1826
-411.4142,1825
-413.1605,1824
-413.43,1823
-410.109,1822
-400.0725,1821
-387.5776,1820
-390.0946,1819
-398.7757,1818
-405.1046,1817
-404.0709,1816
-406.7783,1815
-405.2475,1814
-395.3591,1813
-387.5497,1812
-385.6134,1811
-399.8552,1810
-399.3299,1809
-409.0616,1808
-422.0458,1807
-419.5581,1806
-415.485,1805
-405.893,1804
-399.2824,1803
-406.4437,1802
-406.8588,1801
