d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-32.8,1988,3.15,1.11,158
-36.7,1987,3.55,1.26,158
-34.7,1986,3.96,1.42,158
-34.7,1985,4.37,1.58,158
-36.8,1984,4.76,1.74,158
-38,1983,5.16,1.9,158
-37.8,1982,5.55,2.05,158
-35,1981,5.93,2.21,158
-34.2,1980,6.31,2.37,158
-32.7,1979,6.68,2.53,158
-35.3,1978,7.05,2.69,158
-36,1977,7.42,2.84,158
-34.5,1976,7.78,3,158
-33.9,1975,8.14,3.16,158
-35.3,1974,8.5,3.32,158
-36.7,1973,8.85,3.48,158
-34.1,1972,9.19,3.63,158
-33.5,1971,9.54,3.79,158
-35.1,1970,9.88,3.95,158
-33.7,1969,10.23,4.11,158
-35.4,1968,10.56,4.27,158
-35.1,1967,10.89,4.43,158
-35.4,1966,11.22,4.58,158
-33.7,1965,11.55,4.74,158
-34.9,1964,11.88,4.9,158
-35.3,1963,12.2,5.06,158
-34,1962,12.52,5.22,158
-34.2,1961,12.84,5.37,158
-33.6,1960,13.15,5.53,158
-36.6,1959,13.47,5.69,158
-35,1958,13.78,5.85,158
-35.8,1957,14.09,6.01,158
-35.7,1956,14.39,6.16,158
-34.7,1955,14.7,6.32,158
-37,1954,15,6.48,158
-36.2,1953,15.31,6.64,158
-34.4,1952,15.61,6.8,158
-35.2,1951,15.9,6.95,158
-38.4,1950,16.2,7.11,158
-36.2,1949,16.5,7.27,158
-35.2,1948,16.79,7.43,158
-35.1,1947,17.08,7.59,158
-36.4,1946,17.37,7.74,158
-36.6,1945,17.66,7.9,158
-37.5,1944,17.95,8.06,158
-37.3,1943,18.23,8.22,158
-35.2,1942,18.52,8.38,158
-35.8,1941,18.8,8.53,158
-34,1940,19.08,8.69,158
-33.4,1939,19.36,8.85,158
-35.3,1938,19.64,9.01,158
-35.2,1937,19.92,9.17,158
-35.4,1936,20.2,9.32,158
-35.7,1935,20.47,9.48,158
-36.3,1934,20.75,9.64,158
-34.4,1933,21.02,9.8,158
-33.6,1932,21.29,9.96,158
-34,1931,21.56,10.11,158
-34,1930,21.83,10.27,158
-33.7,1929,22.1,10.43,158
-31.5,1928,22.37,10.59,158
-32.7,1927,22.64,10.75,158
-34.2,1926,22.9,10.9,158
-36.4,1925,23.17,11.06,158
-36.8,1924,23.43,11.22,158
-37.3,1923,23.69,11.38,158
-35,1922,23.95,11.54,158
-36.1,1921,24.21,11.69,158
-35.5,1920,24.47,11.85,158
-36.1,1919,24.73,12.01,158
-36.6,1918,24.99,12.17,158
-37.3,1917,25.25,12.33,158
-34.7,1916,25.5,12.48,158
-32.7,1915,25.76,12.64,158
-35.1,1914,26.01,12.8,158
-35.1,1913,26.27,12.96,158
-34.3,1912,26.52,13.12,175
-33.9,1911,26.8,13.29,175
-35.6,1910,27.08,13.47,175
-37.1,1909,27.36,13.64,175
-35,1908,27.63,13.82,175
-34.7,1907,27.91,13.99,175
-34.9,1906,28.18,14.17,175
-34.4,1905,28.46,14.34,175
-36.3,1904,28.73,14.52,175
-33.8,1903,29,14.69,175
-33,1902,29.27,14.87,175
-34.8,1901,29.54,15.04,175
-34.8,1900,29.81,15.22,175
-36.1,1899,30.08,15.39,175
-36.9,1898,30.35,15.57,175
-36.6,1897,30.62,15.74,175
-35.6,1896,30.88,15.92,175
-35.3,1895,31.15,16.09,175
-35.3,1894,31.41,16.27,175
-36.2,1893,31.68,16.44,175
-33.7,1892,31.94,16.62,175
-34.1,1891,32.21,16.79,175
-34.2,1890,32.47,16.97,175
-33.7,1889,32.73,17.14,175
-34.5,1888,32.99,17.32,175
-34.8,1887,33.25,17.49,175
-36.8,1886,33.51,17.66,175
-35.2,1885,33.77,17.84,175
-35.4,1884,34.03,18.01,175
-36.5,1883,34.29,18.19,175
-36.3,1882,34.54,18.36,175
-35,1881,34.8,18.54,175
-35.5,1880,35.06,18.71,175
-37,1879,35.31,18.89,175
-34.3,1878,35.57,19.06,175
-34.2,1877,35.82,19.24,175
-34,1876,36.08,19.41,175
-34.5,1875,36.33,19.59,175
-35.5,1874,36.58,19.76,175
-35.1,1873,36.83,19.94,175
-35.1,1872,37.09,20.11,175
