d18O (permil),depth (cm),Mg_Ca (mmol/mol),year (AD),temperature (degC),Mg_Ca_sd (mmol/mol),d18OUncertainty (permil),d18O (permil)
0.9527311135,0.5,4.45,1953,24.7280169,NA,NA,-1.71
1.305657036,1.5,4.58,1919,25.00489096,NA,0.33,-1.42
NA,2.5,4.66,1884,25.17139528,NA,NA,NA
1.043498928,3.5,4.66,1850,25.17139528,NA,NA,-1.72
1.25609328,4.5,4.56,1815,24.96281043,NA,0.16,-1.46
0.8529921403,5.5,4.33,1781,24.46516542,NA,0.13,-1.75
0.8554648943,6.5,4.16,1746,24.08004554,NA,0.14,-1.66
1.127814768,7.5,4.44,1712,24.70638498,NA,0.52,-1.53
1.16818342,8.5,4.67,1677,25.19200705,NA,NA,-1.6
0.9930871295,9.5,4.37,1643,24.55358337,NA,0.28,-1.63
1.019898011,10.5,4.76,1608,25.37555125,NA,0.04,-1.79
1.124659892,11.5,4.62,1574,25.08850352,NA,0.06,-1.62
0.9427106519,12.5,4.29,1539,24.37592687,NA,0.27,-1.64
1.158033238,13.5,4.34,1505,24.48734625,NA,0.25,-1.45
0.8012956607,14.5,4.55,1470,24.94170091,0.03,NA,-1.91
0.9311678219,15.5,4.19,1436,24.14913842,0.04,NA,-1.6
0.8080332375,16.5,4.34,1401,24.48734625,NA,0.06,-1.8
1.117414134,17.5,4.48,1367,24.79262219,NA,NA,-1.56
1.164099711,18.5,4.64,1332,25.13003873,NA,0.03,-1.59
1.257798698,19.5,4.3,1298,24.39831427,NA,0.06,-1.33
0.8781834201,20.5,4.67,1263,25.19200705,NA,0.05,-1.89
1.141295661,21.5,4.55,1229,24.94170091,NA,0.08,-1.57
0.8477986977,22.5,4.3,1194,24.39831427,NA,0.23,-1.74
1.137148291,23.5,4.5,1160,24.83545248,NA,0.47,-1.55
0.8819991584,24.5,4.51,1126,24.8567963,NA,0.33,-1.81
NA,25.5,NA,1091,NA,NA,0.06,-1.65
1.10299214,26.5,4.33,1057,24.46516542,NA,0.26,-1.5
0.8499246468,27.5,4.61,1022,25.06766845,NA,0.24,-1.89
1.127948771,28.5,4.42,988,24.66297459,NA,0.07,-1.52
1.154659892,29.5,4.62,953,25.08850352,NA,NA,-1.59
1.021931063,30.5,4.23,919,24.24049668,0.18,NA,-1.53
1.136487486,31.5,4.54,884,24.92054494,NA,0.03,-1.57
0.895179119,32.5,4.6,850,25.04678812,NA,0.04,-1.84
0.948080679,33.5,4.36,815,24.53155499,NA,NA,-1.67
0.8877986977,34.5,4.3,781,24.39831427,NA,0.33,-1.7
1.11308713,35.5,4.37,746,24.55358337,NA,0.3,-1.51
0.9980380295,36.5,4.4,712,24.61936733,NA,0.04,-1.64
1.117522386,37.5,4.69,677,25.2330985,NA,0.34,-1.66
1.009924647,38.5,4.61,643,25.06766845,0.34,NA,-1.73
0.9880821367,39.5,4.38,608,24.5755614,NA,0.3,-1.64
1.077375047,40.5,4.26,574,24.30845021,NA,0.08,-1.49
0.7027106519,41.5,4.29,539,24.37592687,0.19,NA,-1.88
0.9325307474,42.5,4.47,505,24.77113529,0.37,NA,-1.74
0.8870911945,43.5,4.24,470,24.26320126,NA,0.16,-1.67
1.137939387,44.5,4.32,436,24.4429333,NA,0.21,-1.46
0.8667587181,45.5,4.22,401,24.21773836,NA,0.11,-1.68
1.123716423,46.5,4.1,367,23.94035226,NA,0.1,-1.36
0.971574102,47.5,4.21,332,24.19492605,NA,0.33,-1.57
0.93594604,48.5,4.18,298,24.12616258,NA,0.34,-1.59
1.252731114,49.5,4.45,263,24.7280169,NA,NA,-1.41
0.9704232636,50.5,4.59,229,25.02586236,NA,0.54,-1.76
1.020423264,51.5,4.59,194,25.02586236,NA,0.23,-1.71
1.172731114,52.5,4.45,160,24.7280169,0.01,NA,-1.49
0.9529990184,53.5,4.41,126,24.64119568,0.23,0.39,-1.69
1.185332385,54.5,4.86,91,25.57546249,0.11,NA,-1.67
1.01308713,55.5,4.37,57,24.55358337,0.18,NA,-1.61
