dD (permil),year (AD),depth (cm)
-153.654,2000.2,12
-153.996,1995.5,17
-154.1285,1990.8,22
-155.179,1986,27
-149.389,1980.8,32.5
-151.12,1976.4,37
-152.577,1972.4,41.2
-151.128,1966.7,47
-152.213,1961.8,52
-153.53,1956.7,57
-152.223,1951.6,62
-151.944,1946.6,66.8
-148.904,1941.1,72
-148.757,1935,77.5
-152.811,1928.4,83.3
-149.823,1923.5,87.5
-153.891,1916.8,93
-148.974,1910.6,98
-150.233,1905.4,102
-140.701,1902.8,104
-139.647,1899.5,106.5
-144.563,1892.1,112
-144.674,1888.6,114.5
-149.703,1885.1,117
-143.548,1878.2,121.8
-144.027,1874.2,124.5
-138.1,1871.2,126.5
-142.489,1863.1,131.8
-144.748,1855,137
-137.077,1851,139.5
-140.785,1847.2,141.8
-141.817,1843.6,144
-144.51,1838.6,147
-148.891,1833.5,150
-150.702,1828.7,152.8
-150.356,1822.5,156.3
-148.798,1813.2,161.5
-145.58,1808.6,164
-143.415,1804,166.5
-132.262,1798.3,169.5
-136.381,1794.5,171.5
-135.13,1790.6,173.5
-143.794,1784.9,176.4
-142.889,1774.6,181.6
-143.609,1762.7,187.4
-140.353,1752.1,192.4
-144.098,1741.4,197.4
-145.703,1730.4,202.4
-146.373,1707.8,212.4
-140.563,1696.2,217.4
-138.073,1684.3,222.4
-141.593,1672.3,227.4
-139.657,1660.2,232.4
-137.487,1647.8,237.4
-142.022,1638.8,241
-141.743,1626.2,246
-133.419,1614.2,250.7
-139.638,1588.8,272.3
-140.269,1575.6,277.3
-141.523,1562.3,282.3
-141.392,1549,287.3
-143.662,1535.5,292.3
-139.517,1523,296.9
-140.697,1508.2,302.3
-138.604,1498,306
-137.933,1480.7,312.3
-139.303,1466.8,317.3
-139.191,1452.8,322.3
-132.63,1445.3,325
-145.999,1438.9,327.3
-134.783,1431.3,330
-136.245,1424.8,332.3
-134.844,1416.6,335.25
-139.032,1410.8,337.3
-136.057,1403.2,340
-137.647,1396.8,342.3
-136.875,1392.4,343.85
-134.468,1387.5,345.6
-132.889,1380.5,348.1
-136.302,1372.7,350.9
-137.642,1365.1,353.6
-138.343,1358.7,355.9
-142.374,1351.2,358.6
-136.333,1344.8,360.9
-136.882,1337.3,363.6
-140.029,1330.4,366.1
-144.14,1313.1,372.4
-141.533,1303.1,376.1
-132.632,1296.3,378.6
-133.94,1290.1,380.9
-133.221,1276.1,386.1
-135.932,1263.2,390.9
-141.166,1249.3,396.1
-136.57,1236.6,400.9
-132.439,1229.4,403.6
-142.712,1222.7,406.1
-138.398,1210,410.9
-139.452,1196.1,416.1
-135.036,1183.3,420.9
-135.76,1169.4,426.1
-136.515,1156.5,430.9
-134.404,1143.3,435.8
-135.811,1129.7,440.8
-133.997,1116.1,445.8
-133.779,1102.3,450.8
-131.071,1089.9,455.3
-133.366,1086.3,456.6
-135.886,1073.3,461.3
-130.256,1067.7,463.3
-131.793,1056.6,467.3
-129.318,1053,468.6
-131.575,1046.8,470.8
-132.687,1039,473.6
-130.836,1032.8,475.8
-130.6335,1024.9,478.6
-132.58,1018.7,480.8
-136.437,1010.8,483.6
-129.367,1004.6,485.8
-131.637,996.7,488.6
-128.759,990.5,490.8
-133.545,982.5,493.6
-130.032,974.9,496.3
-130.29,959.8,501.6
-137.191,954.2,503.55
-135.72,930.1,540.3
-138.464,924.4,542.3
-136.171,917.8,544.6
-134.389,910.1,547.3
-134.672,904.4,549.3
-131.754,895.8,552.3
-136.372,889.2,554.6
-128.294,881.5,557.3
-137.354,875.7,559.3
-133.43,867.9,562.05
-132.632,857.8,565.55
-135.454,851.9,567.6
