dD (permil),year (AD),depth (cm)
-108.8,1980,2
-103.7,1942,6
-103.5,1904,10
-101.2,1867,14
-106.1,1830,18
-110.7,1794,22
-108.4,1759,26
-108.4,1725,30
-109.5,1692,34
-106.8,1660,38
-106.6,1629,42
-106.2,1599,46
-104.3,1569,50
-102.6,1541,54
-99.1,1513,58
-105.1,1485,62
-101,1457,66
-101.2,1429,70
-99.7,1400,74
-101.5,1371,78
-98.8,1341,82
-99.2,1309,86
-104.1,1277,90
-106.3,1243,94
-104.9,1207,98
-103.4,1170,102
-104.2,1132,106
-102.9,1092,110
-105.2,1051,114
-102.1,1009,118
-107.9,922,126
-108.6,877,130
-107,832,134
-103.4,785,138
-101.7,739,142
-100.3,691,146
-98.8,643,150
-101.5,595,154
-96.9,546,158
-101.8,496,162
-99.6,446,166
-101.3,396,170
-100.7,345,174
-97,293,178
-101.6,241,182
-108.1,189,186
-108.3,136,190
-108.4,82,194
-97.3,28,198
-97.8,-26,202
-100,-81,206
-100.3,-249,218
-108.5,-420,230
-110.3,-593,242
-109.3,-763,254
-108,-927,266
-102.9,-1082,278
-101.2,-1226,290
-99.5,-1363,302
-92.1,-1781,338
-91.9,-2311,374
-108.8,-2758,398
-111.9,-2982,410
-105.4,-3362,434
-101.8,-3523,446
-114.6,-3806,470
-112.5,-3938,482
-113.4,-4037,518
-119,-4315,542
-113.1,-4772,578
-109,-5092,602
-113.5,-5729,650
-115.7,-6028,674
-120,-6211,722
-115.2,-6363,734
-115.1,-6525,746
-110.5,-6705,758
-111.9,-7137,782
-106.8,-7646,806
-106.5,-7901,818
-125.4,-8138,830
-114.3,-8349,842
-118.4,-8691,866
-122.9,-8958,890
-118.1,-9185,914
-115.8,-9295,926
-118.7,-9410,938
-121.4,-9533,950
-117.3,-9622,958
-109.5,-9669,962
-110.4,-9717,966
-95.9,-9818,974
-97.3,-9978,986
-84.3,-10321,1010
-87.6,-10675,1034
-105.7,-10851,1046
-112.6,-10908,1050
-117.3,-11022,1058
-101.3,-11190,1070
-110.1,-11357,1082
-109.2,-11699,1106
-114.8,-12058,1130
-113,-12246,1142
-111.8,-12440,1154
-110.3,-12639,1166
-106.5,-12841,1178
-106.6,-13045,1190
-105.7,-13247,1202
-110.3,-13640,1226
-110.2,-13826,1238
-102.5,-14166,1262
-95.4,-14457,1286
-98.4,-14710,1310
-121.7,-14941,1334
-109.3,-15162,1358
-106.3,-15382,1382
-109.1,-15604,1406
-110.2,-15828,1430
-106.3,-16055,1454
-106.4,-16285,1478
-108.1,-16628,1514
-104.1,-16957,1550
-99.3,-17273,1586
-104.1,-17638,1622
-112.7,-18053,1658
-104.1,-18413,1694
-105.6,-18629,1730
-110.6,-18762,1766
-109.6,-18946,1802
-116.7,-19419,1850
-114.8,-19729,1874
-113,-20064,1898
-118.9,-20387,1934
-118.8,-20852,1970
-115.6,-21276,2006
-113.4,-21417,2018
-117.3,-21623,2054
-98.2,-22065,2090
-120.7,-22509,2126
-120.9,-22972,2162
