d18O (permil),year (AD),d13C (permil)
-4.93,2007.625,-2.07
-5.0847,2007.5417,-2.3416
-5.1556,2007.4583,-2.3094
-5.1751,2007.375,-2.0917
-5.1925,2007.2917,-2.0057
-5.3673,2007.2083,-2.043
-5.3262,2007.125,-1.896
-5.2749,2007.0417,-2.0172
-5.0821,2006.9583,-2.2386
-4.9464,2006.875,-2.1048
-4.8233,2006.7917,-1.9212
-4.878,2006.7083,-1.8188
-4.8915,2006.625,-1.3265
-4.9089,2006.5417,-1.222
-4.8957,2006.4583,-1.0995
-4.8062,2006.375,-1.241
-4.9689,2006.2917,-1.6026
-5.2465,2006.2083,-1.8895
-5.3931,2006.125,-1.8063
-5.254,2006.0417,-1.5304
-5.2449,2005.9583,-1.82
-5.1301,2005.875,-2.2383
-5.0364,2005.7917,-2.2813
-4.7651,2005.7083,-2.0095
-4.6675,2005.625,-1.9152
-4.8625,2005.5417,-2.12
-5.0912,2005.4583,-2.1875
-5.2175,2005.375,-2.2037
-5.3563,2005.2917,-2.1587
-5.42,2005.2083,-1.9763
-5.4237,2005.125,-1.8275
-5.1612,2005.0417,-2.0213
-4.95,2004.9583,-1.67
-4.9187,2004.875,-1.75
-4.8725,2004.7917,-1.945
-4.9175,2004.7083,-1.9325
-4.8268,2004.625,-1.8569
-4.9242,2004.5417,-1.875
-5.0007,2004.4583,-1.8506
-4.9529,2004.375,-1.6977
-5,2004.2917,-1.5833
-5.118,2004.2083,-1.5232
-5.185,2004.125,-1.71
-5.2327,2004.0417,-1.9365
-5.2633,2003.9583,-2.0567
-5.1994,2003.875,-2.1222
-5.0136,2003.7917,-2.123
-4.835,2003.7083,-1.9675
-4.6919,2003.625,-1.7747
-4.7338,2003.5417,-1.775
-4.77,2003.4583,-1.765
-4.8163,2003.375,-1.9812
-4.9338,2003.2917,-2.0625
-4.9337,2003.2083,-2.0588
-5.0437,2003.125,-1.9612
-5.1375,2003.0417,-1.7325
-5.1888,2002.9583,-1.5125
-5.1,2002.875,-1.715
-4.9362,2002.7917,-1.8812
-4.8038,2002.7083,-1.5825
-4.7154,2002.625,-1.3425
-4.7282,2002.5417,-1.4924
-4.7949,2002.4583,-1.7493
-4.8951,2002.375,-1.999
-5.0324,2002.2917,-2.0203
-5.2666,2002.2083,-1.9606
-5.3654,2002.125,-1.9358
-5.3092,2002.0417,-1.9606
-5.1533,2001.9583,-2.0419
-5.0151,2001.875,-2.1041
-4.9049,2001.7917,-1.9793
-4.8277,2001.7083,-1.8736
-4.7058,2001.625,-1.9435
-4.776,2001.5417,-2.064
-4.9765,2001.4583,-2.0402
-5.19,2001.375,-1.995
-5.3394,2001.2917,-1.8789
-5.3885,2001.2083,-1.7076
-5.3579,2001.125,-1.7517
-5.3092,2001.0417,-1.7649
-5.247,2000.9583,-1.8469
-5.22,2000.875,-1.98
-5.1761,2000.7917,-1.9748000000000001
-5.0663,2000.7083,-1.7678
-4.9871,2000.625,-1.6679
-5.1175,2000.5417,-1.7963
-5.1775,2000.4583,-1.9275
-5.0763,2000.375,-1.99
-5.2325,2000.2917,-2.0688
-5.4762,2000.2083,-2.0037
-5.5175,2000.125,-2.09
-5.4237,2000.0417,-2.05
-5.1938,1999.9583,-1.8063
-5.13,1999.875,-1.8112
-5.0225,1999.7917,-1.565
-4.8238,1999.7083,-1.25
-4.7508,1999.625,-1.4013
-4.7319,1999.5417,-1.8872
-4.8197,1999.4583,-1.8916
-4.8946,1999.375,-1.6009
-4.9812,1999.2917,-1.453
-5.0549,1999.2083,-1.3158
-5.05,1999.125,-1.2005
-5.0259,1999.0417,-1.413
-4.9181,1998.9583,-1.5507
-4.8191,1998.875,-1.4799
-4.764,1998.7917,-1.4096
-4.5973,1998.7083,-1.3754
-4.5119,1998.625,-1.4122
-4.6356,1998.5417,-1.7033
-4.705,1998.4583,-1.845
-4.7535,1998.375,-1.7861
-4.8566,1998.2917,-1.5594
-4.9965,1998.2083,-1.3844
-4.98,1998.125,-1.19
-4.8646,1998.0417,-1.1623000000000001
-4.7422,1997.9583,-1.41
-4.6918,1997.875,-1.3061
-4.62,1997.7917,-1.195
-4.5404,1997.7083,-1.2167
-4.51,1997.625,-1.4278
-4.63,1997.5417,-1.5875
-4.6275,1997.4583,-1.545
-4.7587,1997.375,-1.745
-4.8988,1997.2917,-1.6612
-4.965,1997.2083,-1.2313
-4.9775,1997.125,-1.4175
-4.9237,1997.0417,-1.7488
-4.935,1996.9583,-1.6875
-4.915,1996.875,-1.6738
-4.8162,1996.7917,-1.7475
-4.7938,1996.7083,-1.775
-4.7638,1996.625,-1.9138
-4.8088,1996.5417,-2.2263
-4.8875,1996.4583,-2.235
-5.1125,1996.375,-1.745
-5.2575,1996.2917,-1.2575
-5.3413,1996.2083,-1.3787
-5.2475,1996.125,-1.44
-5.125,1996.0417,-1.5575
-5.0813,1995.9583,-1.4788
-5.0113,1995.875,-1.3238
-4.9912,1995.7917,-1.6213
-4.9225,1995.7083,-1.7875
-4.8188,1995.625,-1.6767
-4.82,1995.5417,-1.5633
-4.94,1995.4583,-1.4967
-5.1242,1995.375,-1.5025
-5.0933,1995.2917,-1.7033
-4.9867,1995.2083,-1.92
-4.8475,1995.125,-2.0567
-4.7533,1995.0417,-1.8133
-4.7167,1994.9583,-1.64
-4.7192,1994.875,-1.5842
-4.6567,1994.7917,-1.4333
-4.6233,1994.7083,-1.39
-4.6414,1994.625,-1.505
-4.7289,1994.5417,-1.8241
-4.89,1994.4583,-1.905
-5.0381,1994.375,-1.7698
-5.0953,1994.2917,-1.5128
-5.1198,1994.2083,-1.2748
-5.015,1994.125,-1.26
-4.905,1994.0417,-1.5134
-4.8913,1993.9583,-1.9453
-4.7681,1993.875,-1.8173
-4.655,1993.7917,-1.7
-4.5835,1993.7083,-1.6478
-4.567,1993.625,-1.6116
-4.5967,1993.5417,-1.5929
-4.6864,1993.4583,-1.6987
-4.76,1993.375,-1.7
-4.8505,1993.2917,-1.5831
-4.9633,1993.2083,-1.4355
-4.9627,1993.125,-1.3148
-4.9045,1993.0417,-1.4714
-4.7272,1992.9583,-1.8241
-4.575,1992.875,-1.925
-4.551,1992.7917,-1.8167
-4.599,1992.7083,-1.6879
-4.5187,1992.625,-1.549
-4.5424,1992.5417,-1.6996
-4.5972,1992.4583,-1.8919
-4.725,1992.375,-1.91
-4.8561,1992.2917,-1.7425
-4.9131,1992.2083,-1.493
-4.9192,1992.125,-1.3348
-4.8062,1992.0417,-1.4547
-4.7967,1991.9583,-1.7182
-4.83,1991.875,-1.8
-4.8363,1991.7917,-1.8042
-4.785,1991.7083,-1.8994
-4.7096,1991.625,-1.963
-4.803,1991.5417,-2.0433
-4.8765,1991.4583,-2.1278
-4.9134,1991.375,-2.1298
-4.9675,1991.2917,-1.9712
-5.0891,1991.2083,-1.8314
-5.205,1991.125,-1.575
-5.1664,1991.0417,-1.4189
-5.0004,1990.9583,-1.6697
-4.9254,1990.875,-1.9553
-4.9337,1990.7917,-1.86
-4.7761,1990.7083,-1.8076
-4.6821,1990.625,-1.9704
-4.7289,1990.5417,-1.9852
-4.8329,1990.4583,-2
-4.9,1990.375,-2.025
-4.9468,1990.2917,-1.9352
-5.0174,1990.2083,-1.7477
-5.099,1990.125,-1.7277
-5.1712,1990.0417,-1.533
-5.1832,1989.9583,-1.4092
-5.155,1989.875,-1.625
-5.11,1989.7917,-1.8981
-5.0539,1989.7083,-1.95
-5.0002,1989.625,-1.9761
-5.054,1989.5417,-1.8934
-5.0832,1989.4583,-1.9539
-5.145,1989.375,-1.9643
-5.1782,1989.2917,-1.7297
-5.2662,1989.2083,-1.6155
-5.3397,1989.125,-1.4306
-5.2055,1989.0417,-1.693
-5.0636,1988.9583,-1.8353
-5.0239,1988.875,-1.6481
-4.8979,1988.7917,-1.6799
-4.8875,1988.7083,-1.5798
-4.8138,1988.625,-1.688
-4.8498,1988.5417,-1.8413
-4.9,1988.4583,-1.705
-4.9632,1988.375,-1.4828
-5.0356,1988.2917,-1.3825
-4.9654,1988.2083,-1.2434
-5.005,1988.125,-1.255
-5.0498,1988.0417,-1.3864
-4.9794,1987.9583,-1.5322
-4.9599,1987.875,-1.3941
-4.83,1987.7917,-1.28
-4.6636,1987.7083,-1.3092
-4.5691,1987.625,-1.4906
-4.5938,1987.5417,-1.4662
-4.675,1987.4583,-1.5525
-4.8212,1987.375,-1.5825
-4.8375,1987.2917,-1.4262
-4.99,1987.2083,-1.44
-5.1275,1987.125,-1.125
-5.0312,1987.0417,-1.0713
-5.0187,1986.9583,-1.395
-4.9987,1986.875,-1.5437
-4.855,1986.7917,-1.5212
-4.725,1986.7083,-1.5675
-4.6584,1986.625,-1.4741
-4.7583,1986.5417,-1.5157
-4.8998,1986.4583,-1.4802
-5.0321,1986.375,-1.4741
-5.2978,1986.2917,-1.6553
-5.3716,1986.2083,-1.4778
-5.3153,1986.125,-1.4178
-5.2771,1986.0417,-1.6554
-5.1716,1985.9583,-1.4506
-5.0294,1985.875,-1.4131
-4.9059,1985.7917,-1.4149
-4.8799,1985.7083,-1.4353
-4.8512,1985.625,-1.8141
-4.95,1985.5417,-1.936
-4.9883,1985.4583,-1.5912
-5.1235,1985.375,-1.5542
-5.1742,1985.2917,-1.4203
-5.2294,1985.2083,-1.3211
-5.1452,1985.125,-1.5296
-5.168,1985.0417,-1.4527
-5.1153,1984.9583,-1.3113
-4.9505,1984.875,-1.1829
-4.868,1984.7917,-1.4
-4.8349,1984.7083,-1.6055
-4.8049,1984.625,-1.5804
-5.0703,1984.5417,-1.4041
-5.054,1984.4583,-1.2751
-4.995,1984.375,-1.38
-4.9698,1984.2917,-1.5254
-4.9016,1984.2083,-1.4714
-4.7831,1984.125,-1.3092
-4.6796,1984.0417,-1.3103
-4.5741,1983.9583,-1.2933
-4.56,1983.875,-1.255
-4.5526,1983.7917,-1.2943
-4.4678,1983.7083,-1.4027
-4.4255,1983.625,-1.3721
-4.5559,1983.5417,-1.4522
-4.7396,1983.4583,-1.6179
-4.875,1983.375,-1.5499
-5.0156,1983.2917,-1.3909
-5.1949,1983.2083,-1.2486
-5.1938,1983.125,-1.2908
-5.0498,1983.0417,-1.4193
-4.9459,1982.9583,-1.3228
-4.8097,1982.875,-1.3374
-4.7507,1982.7917,-1.2699
-4.7769,1982.7083,-1.2016
-4.7528,1982.625,-1.4897
-4.9164,1982.5417,-1.8762
-5.1387,1982.4583,-1.6791
-5.2094,1982.375,-1.3495
-5.175,1982.2917,-1.0984
-5.0365,1982.2083,-1.0462
-4.9505,1982.125,-1.3024
-4.9235,1982.0417,-1.2572
-4.8522,1981.9583,-0.90281
-4.7248,1981.875,-0.84931
-4.6799,1981.7917,-0.88022
-4.6313,1981.7083,-0.92625
-4.6064,1981.625,-0.82828
-4.6338,1981.5417,-0.84375
-4.7662,1981.4583,-1.1875
-4.9837,1981.375,-1.2313
-5.045,1981.2917,-1.2462
-5.0225,1981.2083,-1.04
-5.1662,1981.125,-0.6075
-5.2375,1981.0417,-0.23375
-5.1525,1980.9583,-0.77375
-5.0088,1980.875,-1.0562
-4.895,1980.7917,-0.7975
-4.705,1980.7083,-0.585
-4.5525,1980.625,-0.55375
-4.545,1980.5417,-0.65
-4.6075,1980.4583,-0.86625
-4.7787,1980.375,-1.0112
-4.9488,1980.2917,-1.0763
-5.0675,1980.2083,-1.0163
-5.2625,1980.125,-0.7625
-5.3425,1980.0417,-0.67125
-5.2425,1979.9583,-0.9025
-5.12,1979.875,-0.79625
-4.945,1979.7917,-0.6875
-4.7975,1979.7083,-0.80625
-4.7133,1979.625,-1.2267
-4.7189,1979.5417,-1.3203
-4.7736,1979.4583,-1.3042
-4.87,1979.375,-1.38
