dD (permil),year (AD),depth (cm)
-106.1,1998,NA
-95,1997,NA
-124.2,1996,NA
-127.1,1995,NA
-93.7,1994,NA
-117.7,1993,NA
-119,1992,NA
-131.3,1991,NA
-102.1,1990,NA
-125.6,1989,NA
-93,1988,NA
-102.2,1987,NA
-122.9,1986,NA
-103.4,1985,NA
-129.1,1984,NA
-127.3,1983,NA
-114.9,1982,NA
-137.5,1981,NA
-133.2,1980,NA
-113.9,1979,NA
-115.9,1978,NA
-107.8,1977,NA
-124.2,1976,NA
-132.5,1975,NA
-139.2,1974,NA
-150.3,1973,NA
-131.7,1972,NA
-136.8,1971,NA
-120.3,1970,NA
-123.2,1969,NA
-141.8,1968,NA
-118,1967,NA
-103.2,1966,NA
-96.6,1965,NA
-122.3,1964,NA
-127,1963,NA
-118.7,1962,NA
-116.8,1961,NA
-127.9,1960,NA
-121.8,1959,NA
-129.4,1958,NA
-126.8,1957,NA
-123.2,1956,NA
-97.4,1955,NA
-113.7,1954,NA
-120.8,1953,NA
-136.7,1952,NA
-132.2,1951,NA
-139.6,1950,NA
-122,1949,NA
-108.3,1948,NA
-118.8,1947,NA
-123.2,1946,NA
-132.4,1945,NA
-100.7,1944,NA
-119.5,1943,NA
-116.1,1942,NA
-90.6,1941,NA
-112.1,1940,NA
-118.5,1939,NA
-116.6,1938,NA
-104.6,1937,NA
-118.6,1936,NA
-104.6,1935,NA
-137.7,1934,NA
-151,1933,NA
-133.7,1932,NA
-151.3,1931,NA
-128.8,1930,NA
-128.2,1929,NA
-113,1928,NA
-120.1,1927,NA
-116.7,1926,NA
-117.9,1925,NA
-114.2,1924,NA
-128.4,1923,NA
-135.7,1922,NA
-141.2,1921,NA
-125.9,1920,NA
-134.4,1919,NA
-106.5,1918,NA
-98.3,1917,NA
-116.4,1916,NA
-119.7,1915,NA
-121.5,1914,NA
-141.1,1913,NA
-144,1912,NA
-139.7,1911,NA
-109.9,1910,NA
-103.5,1909,NA
-115.2,1908,NA
-95.7,1907,NA
-114.5,1906,NA
-129.7,1905,NA
-134.3,1904,NA
-139.6,1903,NA
-130.4,1902,NA
-122.4,1901,NA
-116,1900,NA
-115.4,1899,NA
-142.5,1898,NA
-123,1897,NA
-113.1,1896,NA
-117.1,1895,NA
-133.8,1894,NA
-132.1,1893,NA
-151.6,1892,NA
-148.6,1891,NA
-122.8,1890,NA
-130.8,1889,NA
-122.7,1888,NA
-133.6,1887,NA
-128.2,1886,NA
-113.5,1885,NA
-105.4,1884,NA
-110.6,1883,NA
-134.3,1882,NA
-124.5,1881,NA
-134.5,1880,NA
-117.9,1879,NA
-116.3,1878,NA
-127.6,1877,NA
-138.3,1876,NA
-149.2,1875,NA
-137.7,1874,NA
-136.7,1873,NA
-117.3,1872,NA
-106.5,1871,NA
-119.4,1870,NA
-122.1,1869,NA
-116.6,1868,NA
-119.5,1867,NA
-117.5,1866,NA
-118.5,1865,NA
-125,1864,NA
-117.7,1863,NA
-140.4,1862,NA
-137.3,1861,NA
-126.4,1860,NA
-122.4,1859,NA
-111.7,1858,NA
-106.7,1857,NA
-111.4,1856,NA
-117.4,1855,NA
-133.4,1854,NA
-117.5,1853,NA
-149.4,1852,NA
-132.5,1851,NA
-139.8,1850,NA
-129.5,1849,NA
-125.4,1848,NA
-121,1847,NA
-143.2,1846,NA
-128.9,1845,NA
-111.8,1844,NA
-139.3,1843,NA
-131.8,1842,NA
-141.1,1841,NA
-147.4,1840,NA
-117.6,1839,NA
-91.6,1838,NA
-111.8,1837,NA
-129.1,1836,NA
-136.9,1835,NA
-126.6,1834,NA
-117.1,1833,NA
-131.4,1832,NA
-128.7,1831,NA
-127.2,1830,NA
-135.4,1829,NA
-123.5,1828,NA
-123.5,1827,NA
-128.8,1826,NA
-139.7,1825,NA
-153.1,1824,NA
-149.3,1823,NA
-130.3,1822,NA
-107.5,1821,NA
-109.8,1820,NA
-129.4,1819,NA
-139.8,1818,NA
-123.2,1817,NA
-130.6,1816,NA
-153.9,1815,NA
-138.1,1814,NA
-122.4,1813,NA
-117.9,1812,NA
-129.3,1811,NA
-122.9,1810,NA
-123.6,1809,NA
-120.9,1808,NA
-136.6,1807,NA
-142.7,1806,NA
-145.2,1805,NA
-124.3,1804,NA
-117.5,1803,NA
-128.4,1802,NA
-128,1801,NA
-136.7,1800,NA
-142.3,1799,NA
-137.1,1798,NA
-134.6,1797,NA
-135.3,1796,NA
-123.2,1795,NA
-136.8,1794,NA
-130.1,1793,NA
-107.1,1792,NA
-122.3,1791,NA
-126.8,1790,NA
-131.1,1789,NA
-127.4,1788,NA
-143.8,1787,NA
-130.8,1786,NA
-135.9,1785,NA
-133.4,1784,NA
-140.2,1783,NA
-131.9,1782,NA
-127.7,1781,NA
-137.9,1780,NA
-135.3,1779,NA
-130.1,1778,NA
-128.7,1777,NA
-128.2,1776,NA
-138.6,1775,NA
-137.8,1774,NA
-137.6,1773,NA
-127.7,1772,NA
-127,1771,NA
