dD (permil),year (AD),depth (cm)
-219.86,1945.33,0.5
-204.88,1935.99,1.5
-210.26,1926.65,2.5
-220.5,1917.32,3.5
-216.07,1907.98,4.5
-210.07,1898.64,5.5
-221.32,1889.3,6.5
-216.83,1879.96,7.5
-190.01,1870.62,8.5
-211.18,1861.28,9.5
-207.03,1851.95,10.5
-209.51,1833.27,12.5
-211.21,1823.93,13.5
-207.25,1814.59,14.5
-208.76,1805.25,15.5
-214.99,1795.92,16.5
-207.91,1786.58,17.5
-217.78,1777.24,18.5
-206.94,1767.9,19.5
-216.26,1758.56,20.5
-208.13,1739.88,22.5
-214.76,1721.21,24.5
-217.28,1702.53,26.5
-202.23,1683.85,28.5
-206.85,1665.18,30.5
-209.36,1646.5,32.5
