year (CE),d18O (per mil)
1979.5,-5.508
1979.42,-5.22891
1979.33,-5.31733
1979.25,-4.93126
1979.17,-5.0171
1979.08,-4.67269
1979,-4.464
1978.92,-4.517
1978.83,-5.014
1978.75,-5.24
1978.67,-5.331
1978.58,-5.306
1978.5,-5.388
1978.42,-5.36448
1978.33,-5.19274
1978.25,-5.19
1978.17,-4.85625
1978.08,-4.69645
1978,-4.476
1977.92,-4.49867
1977.83,-4.54
1977.75,-4.477
1977.67,-4.97467
1977.58,-5.18933
1977.5,-5.416
1977.42,-5.38528
1977.33,-5.34238
1977.25,-5.08573
1977.17,-4.93769
1977.08,-4.72664
1977,-4.413
1976.92,-4.51433
1976.83,-4.64067
1976.75,-4.983
1976.67,-5.21633
1976.58,-5.46933
1976.5,-5.616
1976.42,-5.4297
1976.33,-4.82647
1976.25,-4.80875
1976.17,-4.48035
1976.08,-4.42463
1976,-4.238
1975.92,-4.56433
1975.83,-4.87167
1975.75,-5.418
1975.67,-5.67033
1975.58,-5.51633
1975.5,-5.975
1975.42,-5.5024
1975.33,-5.26371
1975.25,-5.19483
1975.17,-4.95219
1975.08,-4.6664
1975,-4.48
1974.92,-4.64633
1974.83,-4.763
1974.75,-4.852
1974.67,-5.32067
1974.58,-5.326
1974.5,-5.604
1974.42,-5.35234
1974.33,-5.30783
1974.25,-5.115
1974.17,-4.55182
1974.08,-4.40286
1974,-4.208
1973.92,-4.554
1973.83,-4.637
1973.75,-4.9715
1973.67,-5.18333
1973.58,-5.2475
1973.5,-5.419
1973.42,-5.37849
1973.33,-4.87036
1973.25,-4.92132
1973.17,-4.73158
1973.08,-4.54732
1973,-4.375
1972.92,-4.51633
1972.83,-4.53067
1972.75,-4.766
1972.67,-4.94033
1972.58,-5.37233
1972.5,-5.435
1972.42,-5.202
1972.33,-4.651
1972.25,-4.5338
1972.17,-4.44684
1972.08,-4.29279
1972,-4.141
1971.92,-4.8105
1971.83,-4.879
1971.75,-4.999
1971.67,-5.158
1971.58,-4.98
1971.5,-5.177
1971.42,-5.00711
1971.33,-4.8554
1971.25,-4.58531
1971.17,-4.6595
1971.08,-4.57147
1971,-4.466
1970.92,-4.52033
1970.83,-4.67333
1970.75,-4.602
1970.67,-4.68833
1970.58,-5.17433
1970.5,-5.416
1970.42,-5.30261
1970.33,-5.30687
1970.25,-5.00521
1970.17,-4.64606
1970.08,-4.18731
1970,-3.989
1969.92,-4.23067
1969.83,-4.63067
1969.75,-4.947
1969.67,-4.95667
1969.58,-5.03
1969.5,-5.334
1969.42,-4.89071
1969.33,-4.62843
1969.25,-4.4605
1969.17,-4.37896
1969.08,-4.25336
1969,-4.081
1968.92,-4.451
1968.83,-4.78767
1968.75,-5.029
1968.67,-5.14433
1968.58,-5.17967
1968.5,-5.298
1968.42,-5.11943
1968.33,-4.50815
1968.25,-4.46556
1968.17,-4.19445
1968.08,-3.96412
1968,-3.694
1967.92,-4.147
1967.83,-4.39
1967.75,-4.8795
1967.67,-5.027
1967.58,-5.0015
1967.5,-5.41
1967.42,-4.96623
1967.33,-4.90425
1967.25,-4.79519
1967.17,-4.85301
1967.08,-4.36624
1967,-4.069
1966.92,-4.39033
1966.83,-4.436
1966.75,-4.78
1966.67,-4.91767
1966.58,-5.3075
1966.5,-5.382
1966.42,-5.17893
1966.33,-5.00211
1966.25,-5.01997
1966.17,-4.91725
1966.08,-4.69113
1966,-4.308
1965.92,-4.39733
1965.83,-4.90167
1965.75,-4.882
1965.67,-5.05833
1965.58,-5.111
1965.5,-5.411
1965.42,-4.96345
1965.33,-4.49183
1965.25,-4.60857
1965.17,-4.32749
1965.08,-4.4212
1965,-4.028
1964.92,-4.07633
1964.83,-4.775
1964.75,-5.11
1964.67,-5.07933
1964.58,-5.0265
1964.5,-5.217
1964.42,-4.82012
1964.33,-4.59442
1964.25,-4.81423
1964.17,-4.34149
1964.08,-4.27425
1964,-4.142
1963.92,-4.213
1963.83,-4.48
