d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1],d18O (permil) [3-1],year (AD) [3-1]
-5.3,1916.925,-4.8,1578.425,-4.84,1644.75
-5.35,1917.025,-4.92,1578.325,-4.65,1644.625
-5.37,1917.125,-4.91,1578.225,-4.97,1644.5
-5.64,1917.225,-4.84,1578.125,-4.8,1644.375
-5.46,1917.325,-4.81,1578.025,-5.06,1644.25
-5.33,1917.425,-4.64,1577.925,-4.82,1644.125
-5.1,1917.525,-4.87,1577.825,-4.86,1644
-5.05,1917.625,-4.95,1577.725,-4.99,1643.875
-5.1,1917.715909,-4.9,1577.625,-4.76,1643.75
-5.21,1917.806818,-4.94,1577.525,-4.6,1643.625
-5.22,1917.897727,-5.07,1577.425,-4.69,1643.513889
-5.19,1917.988636,-5.1,1577.325,-4.83,1643.402778
-5.43,1918.079545,-5,1577.225,-4.95,1643.291667
-5.53,1918.170455,-5.08,1577.125,-5.01,1643.180556
-5.24,1918.261364,-5.01,1577.025,-4.97,1643.069444
-5.28,1918.352273,-4.99,1576.925,-4.92,1642.958333
-5.34,1918.443182,-4.87,1576.825,-4.96,1642.847222
-4.91,1918.534091,-4.84,1576.725,-4.81,1642.736111
-4.6,1918.625,-4.76,1576.625,-4.76,1642.625
-4.71,1918.715909,-5.04,1576.525,-4.87,1642.548077
-5.18,1918.806818,-5.1,1576.425,-4.99,1642.471154
-5.12,1918.897727,-5.21,1576.325,-5.06,1642.394231
-5.12,1918.988636,-5.14,1576.225,-5.21,1642.317308
-5.03,1919.079545,-5.14,1576.125,-5.24,1642.240385
-5.22,1919.170455,-5.04,1576.025,-5.2,1642.163462
-5.22,1919.261364,-4.91,1575.925,-5.21,1642.086538
-5.11,1919.352273,-4.86,1575.825,-4.98,1642.009615
-5.11,1919.443182,-4.85,1575.725,-4.97,1641.932692
-4.8,1919.534091,-4.88,1575.625,-4.79,1641.855769
-4.75,1919.625,-4.88,1575.513889,-4.77,1641.778846
-4.92,1919.725,-4.99,1575.402778,-4.8,1641.701923
-5.05,1919.825,-5.14,1575.291667,-4.71,1641.625
-5.08,1919.925,-5.18,1575.180556,-4.86,1641.5
-5.19,1920.025,-5.13,1575.069444,-4.93,1641.375
-5.09,1920.125,-4.95,1574.958333,-5.01,1641.25
-5.03,1920.225,-5.11,1574.847222,-4.8,1641.125
-5.06,1920.325,-4.87,1574.736111,-4.69,1641
-5.03,1920.425,-4.8,1574.625,-4.73,1640.875
-5.01,1920.525,-4.81,1574.534091,-4.74,1640.75
-4.98,1920.625,-5.13,1574.443182,-4.57,1640.625
-4.98,1920.725,-5.06,1574.352273,-4.78,1640.534091
-5.07,1920.825,-5.13,1574.261364,-4.96,1640.443182
-5.34,1920.925,-5,1574.170455,-4.97,1640.352273
-5.35,1921.025,-5.16,1574.079545,-4.84,1640.261364
NA,1921.125,-5.01,1573.988636,-4.79,1640.170455
-5.43,1921.225,-5.07,1573.897727,-4.79,1640.079545
-5.48,1921.325,-4.89,1573.806818,-4.7,1639.988636
-5.3,1921.425,-4.89,1573.715909,-4.78,1639.897727
-5.11,1921.525,-4.85,1573.625,-4.75,1639.806818
-4.86,1921.625,-4.85,1573.525,-4.75,1639.715909
-5.09,1921.725,-5.08,1573.425,-4.84,1639.625
-5.1,1921.825,-5.08,1573.325,-4.96,1639.513889
-5.2,1921.925,-5.23,1573.225,-5.03,1639.402778
-5.36,1922.025,-5.24,1573.125,-4.93,1639.291667
-5.49,1922.125,-5.21,1573.025,-4.75,1639.180556
-5.63,1922.225,-5.05,1572.925,-4.74,1639.069444
-5.58,1922.325,-5.02,1572.825,-4.68,1638.958333
-5.51,1922.425,-4.99,1572.725,-4.72,1638.847222
-5.19,1922.525,-4.9,1572.625,-4.81,1638.736111
-5.2,1922.625,-5.07,1572.548077,-4.87,1638.625
-5.35,1922.696429,-5.04,1572.471154,-4.88,1638.513889
-5.46,1922.767857,-5.09,1572.317308,-4.98,1638.402778
-5.42,1922.839286,-5.05,1572.240385,-5.06,1638.291667
-5.47,1922.910714,-4.97,1572.163462,-5.02,1638.180556
-5.46,1922.982143,-5.04,1572.086538,-5.02,1638.069444
-5.56,1923.053571,-5,1572.009615,-4.94,1637.958333
-5.44,1923.125,-4.9,1571.932692,-5.05,1637.847222
-5.47,1923.196429,-4.89,1571.855769,-4.95,1637.736111
-5.42,1923.267857,-4.8,1571.778846,-4.9,1637.625
