d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],temperature (degC) [2-1],temperature (degC) [3-1],year (AD) [3-1]
0.9,1988.46,3,NA,1900.5,13.01,13.14,1988.46
1.08,1969.23,8,NA,1851.1,12.7,13.06,1969.23
0.84,1950,13,NA,1801.6,13.11,13.01,1900.53
0.84,1925.26,18,NA,1752.1,13.12,12.7,1851.05
0.89,1900.53,23,NA,1702.6,12.92,13.11,1801.58
1.12,1875.79,28,NA,1653.2,13.25,13.12,1752.11
1.27,1851.05,33,NA,1554.2,13.23,12.92,1702.63
1.04,1826.32,38,NA,1504.7,12.32,13.25,1653.16
0.96,1801.58,43,NA,1452.5,13.35,13.23,1554.21
1.45,1776.84,48,NA,1397.5,13.38,12.32,1504.74
1.4,1752.11,53,NA,1342.5,13.09,13.35,1452.5
1.41,1727.37,58,NA,1287.5,12.93,13.38,1397.5
1.44,1702.63,63,NA,1232.5,13.33,13.09,1342.5
1.33,1677.89,68,NA,1177.5,13.24,12.93,1287.5
1.38,1653.16,73,NA,1122.5,13.22,13.33,1232.5
1.19,1628.42,78,NA,1067.5,13.06,13.24,1177.5
1.17,1603.68,83,NA,1023.9,13.28,13.22,1122.5
1.18,1578.95,88,NA,991.7,13.4,13.06,1067.5
0.99,1554.21,93,NA,959.6,13.37,13.28,1023.91
1.18,1529.47,98,NA,927.4,13.42,13.4,991.74
1.38,1504.74,103,NA,895.2,13.24,13.37,959.57
1.5,1480,108,NA,863,13.39,13.42,927.39
1.23,1452.5,113,NA,830.9,13.53,13.24,895.22
1.14,1425,118,NA,798.7,13.77,13.39,863.04
1.18,1397.5,123,NA,766.5,13.78,13.53,830.87
1.29,1370,128,NA,734.4,13.97,13.77,798.7
1.26,1342.5,133,NA,702.2,13.67,13.78,766.52
1.35,1315,138,NA,670,14.06,13.97,734.35
1.19,1287.5,143,NA,636.7,14.56,13.67,702.17
1.2,1260,148,NA,603.3,14.36,14.06,670
1.08,1232.5,153,NA,570,14.34,14.56,636.67
1.21,1205,158,NA,536.7,13.99,14.36,603.33
1.16,1177.5,163,NA,503.3,14.28,14.34,570
1.19,1150,168,NA,470,13.9,13.99,536.67
1.26,1122.5,173,NA,436.7,13.85,14.28,503.33
1.33,1095,178,NA,403.3,13.92,13.9,470
1.34,1067.5,183,NA,370,14.15,13.85,436.67
1.46,1040,188,NA,336.7,14.14,13.92,403.33
1.24,1023.91,193,NA,307.5,14.05,14.15,370
1.25,1007.83,198,NA,282.5,14.12,14.14,336.67
1.35,991.74,203,NA,257.5,14.23,14.05,307.5
1.06,975.65,208,NA,232.5,14.13,14.12,282.5
1.28,959.57,213,NA,207.5,14.26,14.23,257.5
1.12,943.48,218,NA,182.5,14.35,14.13,232.5
1.16,927.39,223,NA,157.5,14.35,14.26,207.5
1.31,911.3,228,NA,132.5,14.15,14.35,182.5
1.14,895.22,233,NA,107.5,13.99,14.35,157.5
1.15,879.13,238,NA,82.5,14.06,14.15,132.5
1.15,863.04,243,NA,57.5,14.11,13.99,107.5
0.9,846.96,248,NA,32.5,14.3,14.06,82.5
1.03,830.87,253,NA,7.5,14.26,14.11,57.5
1.06,814.78,258,NA,-17.5,14.24,14.3,32.5
1.28,798.7,263,NA,-42.5,14.43,14.26,7.5
1.2,782.61,268,NA,-67.5,14.4,14.24,-17.5
0.87,766.52,273,NA,-92.5,14.56,14.43,-42.5
1.14,750.43,278,NA,-117.5,14.2,14.4,-67.5
1.17,734.35,283,NA,-142.5,14.34,14.56,-92.5
1.06,718.26,288,NA,-167.5,14.28,14.2,-117.5
1.17,702.17,293,NA,NA,NA,14.34,-142.5
1.29,686.09,298,NA,NA,NA,14.28,-167.5
1.24,670,303,NA,NA,NA,NA,NA
1.29,653.33,308,NA,NA,NA,NA,NA
1.2,636.67,313,NA,NA,NA,NA,NA
1.45,620,318,NA,NA,NA,NA,NA
1.09,603.33,323,NA,NA,NA,NA,NA
1.21,586.67,328,NA,NA,NA,NA,NA
1.27,570,333,NA,NA,NA,NA,NA
1.22,553.33,338,NA,NA,NA,NA,NA
1.3,536.67,343,NA,NA,NA,NA,NA
1.17,520,348,NA,NA,NA,NA,NA
1.21,503.33,353,NA,NA,NA,NA,NA
1.09,486.67,358,NA,NA,NA,NA,NA
1.23,470,363,NA,NA,NA,NA,NA
1.2,453.33,368,NA,NA,NA,NA,NA
1.31,436.67,373,NA,NA,NA,NA,NA
1.18,420,378,NA,NA,NA,NA,NA
1.4,403.33,383,NA,NA,NA,NA,NA
1.18,386.67,388,NA,NA,NA,NA,NA
1.23,370,393,NA,NA,NA,NA,NA
1.29,353.33,398,NA,NA,NA,NA,NA
1.08,336.67,403,NA,NA,NA,NA,NA
1.22,320,408,NA,NA,NA,NA,NA
1.13,307.5,413,NA,NA,NA,NA,NA
1.25,295,418,NA,NA,NA,NA,NA
1.14,282.5,423,NA,NA,NA,NA,NA
1.25,270,428,NA,NA,NA,NA,NA
1.2,257.5,433,NA,NA,NA,NA,NA
1.28,245,438,NA,NA,NA,NA,NA
1.26,232.5,443,NA,NA,NA,NA,NA
1.26,220,448,NA,NA,NA,NA,NA
1.12,207.5,453,NA,NA,NA,NA,NA
1.28,195,458,NA,NA,NA,NA,NA
1.3,182.5,463,NA,NA,NA,NA,NA
1.12,170,468,NA,NA,NA,NA,NA
1.36,157.5,473,NA,NA,NA,NA,NA
1.34,145,478,NA,NA,NA,NA,NA
1.18,132.5,483,NA,NA,NA,NA,NA
1.4,120,488,NA,NA,NA,NA,NA
1.38,107.5,493,NA,NA,NA,NA,NA
1.28,95,498,NA,NA,NA,NA,NA
1.33,82.5,503,NA,NA,NA,NA,NA
1.35,70,508,NA,NA,NA,NA,NA
1.4,57.5,513,NA,NA,NA,NA,NA
1.36,45,518,NA,NA,NA,NA,NA
1.09,32.5,523,NA,NA,NA,NA,NA
1.28,20,528,NA,NA,NA,NA,NA
1.34,7.5,533,NA,NA,NA,NA,NA
1.11,-5,538,NA,NA,NA,NA,NA
1.08,-17.5,543,NA,NA,NA,NA,NA
1.38,-30,548,NA,NA,NA,NA,NA
1.03,-42.5,553,NA,NA,NA,NA,NA
1.17,-55,558,NA,NA,NA,NA,NA
1.03,-67.5,563,NA,NA,NA,NA,NA
1.12,-80,568,NA,NA,NA,NA,NA
1.13,-92.5,573,NA,NA,NA,NA,NA
1.19,-105,578,NA,NA,NA,NA,NA
1.2,-117.5,583,NA,NA,NA,NA,NA
1.38,-130,588,NA,NA,NA,NA,NA
1.44,-142.5,593,NA,NA,NA,NA,NA
1.09,-155,598,NA,NA,NA,NA,NA
1.26,-167.5,603,NA,NA,NA,NA,NA
