year (AD),temperature (degC),d18O (permil) [1-2],d18O (permil) [1-2],year (AD) [1-2],depth (cm) [1-2],core () [1-2],d18O (permil) [1-2]
477.4,26.5,NA,NA,-1192.8,392.5,SO90_56KA,-1.9
456.6,26.5,NA,NA,-1280.6,403.5,SO90_56KA,-1.94
446.2,26,NA,NA,-1348.5,412,SO90_56KA,-1.92
435.8,26.9,NA,NA,-1428.3,422,SO90_56KA,-1.92
415,26.7,NA,NA,-1508.2,432,SO90_56KA,-1.66
400.4,26.4,NA,NA,-1592,442.5,SO90_56KA,-1.48
385.8,26.9,NA,NA,-1663.7,453,SO90_56KA,-1.91
363.9,26.9,NA,NA,-1732.3,464,SO90_56KA,-1.81
349.3,26.3,NA,NA,-1785.4,472.5,SO90_56KA,-2.07
327.4,26.6,NA,NA,-1885.8,485,SO90_56KA,-2.06
298.2,26.1,NA,NA,-1949.3,492.5,SO90_56KA,-1.91
283.6,26.9,NA,NA,-2034.1,502.5,SO90_56KA,-1.92
261.7,26.3,NA,NA,-2059.6,505.5,SO90_56KA,-1.82
247.1,27.3,NA,NA,-2118.9,512.5,SO90_56KA,-1.87
217.9,26.6,NA,NA,-2157,517,SO90_56KA,-1.97
203.3,27.1,NA,NA,-2178.2,519.5,SO90_56KA,-2.04
161,26.3,NA,NA,-2190.9,521,SO90_56KA,-2.17
143.4,27,NA,NA,-2241.8,527,SO90_56KA,-2.02
125.9,26.5,NA,NA,-2268,530,SO90_56KA,-2
90.9,27.3,NA,NA,-2293.1,532.5,SO90_56KA,-2.01
73.4,26.2,NA,NA,-2358.3,539,SO90_56KA,-1.77
55.8,26.8,NA,NA,-2393.5,542.5,SO90_56KA,-1.92
38.3,26.3,NA,NA,-2418.6,545,SO90_56KA,-2.04
20.8,26.4,NA,NA,-2498.8,553,SO90_56KA,-1.91
3.3,26.4,NA,NA,-2529,556,SO90_56KA,-1.96
-14.2,27.2,NA,NA,-2559.1,559,SO90_56KA,-1.92
-40.5,26.4,NA,NA,-2599.2,563,SO90_56KA,-1.92
-58,27.2,NA,NA,-2639.4,567,SO90_56KA,-1.75
-75.6,26.3,NA,NA,-2679.5,571,SO90_56KA,-1.9
-93.1,26.8,NA,NA,-2709.6,574,SO90_56KA,-1.88
-110.6,26.5,NA,NA,-2734.7,576.5,SO90_56KA,-1.9
-128.1,26.4,NA,NA,-2759.8,579,SO90_56KA,-1.83
-145.6,26.4,NA,NA,-2789.9,582,SO90_56KA,-1.84
-163.2,26.8,NA,NA,-2824.4,585.5,SO90_56KA,-1.85
-180.7,26.1,NA,NA,-2863.6,590,SO90_56KA,-2.02
-198.2,27.5,NA,NA,-2881.1,592,SO90_56KA,-2.07
-215.7,26.8,NA,NA,-2907.3,595,SO90_56KA,-2.01
NA,NA,NA,NA,-2933.5,598,SO90_56KA,-2.13
