dD (permil),year (AD),depth (cm)
-206.3,1871,27.43718593
-201.5,1647,105.8
-207,1551,154.8
-204.6,1363,527.2
-209,1058,879.9
-205.7,956,983.2
-202.7,828,1156.9
-201.2,659,1311.3
-200.7,548,1412.5
-204.4,-268,1710.8
-204,-830,2159.1
-203.5,-1079,2301.5
-200.4,-1778,2622
-202.8,-1959,2701
-196.5,-2163,2868.6
-208.7,-2348,3015.6
-202.8,-2548,3148
-206.6,-3381,3740.7
-208,-3536,3865
-210.2,-3776,4028
-211.8,-4334,4190.5
-214.4,-4568,4402.2
-218.1,-4775,4589.3
-212.9,-5021,4811.7
-212.3,-5097,4880
-219.4,-5391,5080
-222.1,-5825,5401.6
-215.8,-6027,5557.6
-224.1,-6666,5867.1
-225.5,-7677,6288.1
-220.5,-8123,6474.1
-211,-8607,6650.3
-210.7,-8672,6669.9
-206.6,-9592,6949.6
-195.2,-9930,7502.2
-195.6,-10332,7174.3
-188.3,-10654,7272
-188.4,-10815,7320.9
-186.4,-11040,7389.3
