d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-30.5,1993,0.47,0.14,141
-32.7,1992,0.9,0.28,141
-33.2,1991,1.32,0.42,141
-35,1990,1.73,0.56,141
-33.7,1989,2.13,0.7,141
-35.2,1988,2.53,0.85,141
-32.4,1987,2.92,0.99,141
-33.9,1986,3.3,1.13,141
-36.4,1985,3.68,1.27,141
-34.3,1984,4.06,1.41,141
-32.5,1983,4.42,1.55,141
-34.6,1982,4.79,1.69,141
-34.5,1981,5.14,1.83,141
-33.6,1980,5.5,1.97,141
-31.4,1979,5.85,2.11,141
-35.9,1978,6.19,2.26,141
-36.2,1977,6.53,2.4,141
-34.3,1976,6.87,2.54,141
-36.7,1975,7.2,2.68,141
-32.1,1974,7.53,2.82,141
-34.2,1973,7.86,2.96,141
-34.2,1972,8.18,3.1,141
-33.4,1971,8.5,3.24,141
-33.6,1970,8.82,3.38,141
-34,1969,9.13,3.52,141
-36.7,1968,9.44,3.66,141
-35.5,1967,9.75,3.81,141
-32.7,1966,10.06,3.95,141
-31.3,1965,10.36,4.09,141
-33.3,1964,10.66,4.23,141
-33.9,1963,10.96,4.37,141
-34,1962,11.26,4.51,141
-35.2,1961,11.55,4.65,141
-36.1,1960,11.85,4.79,141
-35.1,1959,12.14,4.93,141
-33.7,1958,12.42,5.07,141
-35.3,1957,12.71,5.22,141
-33.6,1956,12.99,5.36,141
-34.6,1955,13.28,5.5,141
-33.7,1954,13.56,5.64,141
-29.8,1953,13.84,5.78,141
-34.7,1952,14.11,5.92,141
-34.9,1951,14.39,6.06,141
-34.8,1950,14.66,6.2,141
-35.5,1949,14.93,6.34,141
-36.1,1948,15.21,6.48,141
-36.1,1947,15.47,6.62,141
-32.2,1946,15.74,6.77,141
-31.1,1945,16.01,6.91,141
-32.6,1944,16.27,7.05,141
-35,1943,16.54,7.19,141
-36.9,1942,16.8,7.33,141
-36.7,1941,17.06,7.47,141
-37,1940,17.32,7.61,141
-35,1939,17.58,7.75,141
-33.7,1938,17.83,7.89,141
-35.4,1937,18.09,8.03,141
-33,1936,18.34,8.18,141
-31.1,1935,18.6,8.32,141
-32.2,1934,18.85,8.46,141
-33.2,1933,19.1,8.6,141
-34.5,1932,19.35,8.74,141
-33.1,1931,19.6,8.88,141
-33.4,1930,19.85,9.02,141
-34.5,1929,20.09,9.16,141
-34.2,1928,20.34,9.3,141
-33.3,1927,20.58,9.44,141
-35.3,1926,20.83,9.58,141
-34.7,1925,21.07,9.73,141
-34.3,1924,21.31,9.87,141
-34,1923,21.55,10.01,141
-36,1922,21.79,10.15,141
-39.1,1921,22.03,10.29,141
-38.3,1920,22.27,10.43,141
-35.4,1919,22.51,10.57,141
-35.4,1918,22.75,10.71,141
-36.1,1917,22.98,10.85,141
-34.3,1916,23.22,10.99,141
-32.4,1915,23.45,11.14,141
