compositeDepth (cm),age (BP),Drilling project (unitless),site/hole (unitless),drive-type (unitless),section (unitless),sample # in section (unitless),top depth in section (cm),bottom depth in section (cm),dry sample mass (g),dD C28 (per mil),StDev C28 dD (per mil),n C28 (unitless),year (AD)
1,24,LQDP05,1F,1H,1,1,0,2,1.355,-158.22,0.94,3,1926
7.3,170,LQDP05,1F,1H,1,2,6,8,1.692,-156.15,1.22,3,1780
13.5,315,LQDP05,1F,1H,1,3,12,14,1.082,-147.72,0.26,3,1635
19.7,460,LQDP05,1F,1H,1,4,18,20,1.632,-155.85,1.14,3,1490
25.9,606,LQDP05,1F,1H,1,5,24,26,1.421,-162.02,0.83,3,1344
32.2,751,LQDP05,1F,1H,1,6,30,32,1.623,-159.43,0.25,3,1199
38.4,897,LQDP05,1F,1H,1,7,36,38,1.495,-151.38,0.79,3,1053
44.6,1042,LQDP05,1F,1H,1,8,42,44,1.35,-149.41,1.4,3,908
50.8,1188,LQDP05,1F,1H,1,9,48,50,1.887,-164.92,0.43,3,762
57.1,1333,LQDP05,1F,1H,1,10,54,56,1.559,-158.34,1.21,3,617
63.3,1478,LQDP05,1F,1H,1,11,60,62,1.212,-152.71,0.73,3,472
69.5,1624,LQDP05,1F,1H,1,12,66,68,1.909,-153.99,1.76,3,326
75.8,1769,LQDP05,1F,1H,1,13,72,74,1.919,-158.15,0.83,3,181
82,1915,LQDP05,1F,1H,1,14,78,80,1.598,-159.16,1.14,3,35
88.2,2060,LQDP05,1F,1H,1,15,84,86,2.058,-156.34,1.37,3,-111
94.4,2205,LQDP05,1F,1H,1,16,90,92,1.958,-153.87,1.97,3,-256
100.7,2351,LQDP05,1F,1H,1,17,96,98,1.969,-146.54,1.4,3,-402
106.9,2496,LQDP05,1F,1H,1,18,102,104,2.246,-153.67,2.34,3,-547
113.1,2642,LQDP05,1F,1H,1,19,108,110,1.625,-150.7,0.71,3,-693
120.4,2811,LQDP05,1F,1H,2,1,0,2,2.235,-169.98,3.07,3,-862
126.6,2957,LQDP05,1F,1H,2,2,6,8,1.735,-170.27,3.53,3,-1008
132.8,3102,LQDP05,1F,1H,2,3,12,14,2.606,-179.61,5.03,3,-1153
139.1,3248,LQDP05,1F,1H,2,4,18,20,2.073,-164.73,2.33,3,-1299
145.3,3393,LQDP05,1F,1H,2,5,24,26,2.118,-167.58,2.65,3,-1444
151.5,3538,LQDP05,1F,1H,2,6,30,32,2.57,-167.77,4.51,3,-1589
157.7,3684,LQDP05,1F,1H,2,7,36,38,2.499,-171.17,1.26,3,-1735
164,3829,LQDP05,1F,1H,2,8,42,44,1.829,-166,1.45,3,-1880
170.2,3975,LQDP05,1F,1H,2,9,48,50,1.931,-170.55,0.41,3,-2026
176.4,4120,LQDP05,1F,1H,2,10,54,56,2.214,-167.56,1.92,3,-2171
182.6,4265,LQDP05,1F,1H,2,11,60,62,2.384,-170.78,0.88,3,-2316
188.9,4411,LQDP05,1F,1H,2,12,66,68,2.095,-167.67,1.34,3,-2462
195.1,4556,LQDP05,1F,1H,2,13,72,74,1.789,-164.71,1.65,3,-2607
201.3,4702,LQDP05,1F,1H,2,14,78,80,1.799,-162.46,2.17,3,-2753
207.5,4847,LQDP05,1F,1H,2,15,84,86,2.37,-162.62,1.44,3,-2898
213.8,4992,LQDP05,1F,1H,2,16,90,92,2.238,-153.27,0.73,3,-3043
220,5138,LQDP05,1F,1H,2,17,96,98,2.061,-159.54,0.51,3,-3189
226.2,5283,LQDP05,1F,1H,2,18,102,104,2.567,-155.06,0.99,3,-3334
232.5,5429,LQDP05,1F,1H,2,19,108,110,1.902,-173.04,0.72,3,-3480
238.7,5574,LQDP05,1F,1H,2,20,114,116,1.759,-173.79,0.47,3,-3625
244.9,5720,LQDP05,1F,1H,2,21,120,122,2.531,-168,1.64,3,-3771
251.1,5865,LQDP05,1F,1H,2,22,126,128,2.458,-157.2,1.81,3,-3916
257.4,6010,LQDP05,1F,1H,2,23,132,134,1.612,-176.55,1.08,3,-4061
258.4,6035,LQDP05,1F,1H,2,24,128,140,2.431,-168.74,1.23,3,-4086
269.8,6301,LQDP05,1F,1H,2,25,144,146,1.972,-178.14,0.69,3,-4352
276,6446,LQDP05,1F,2H,1,1,0,2,1.829,-168.68,0.11,3,-4497
288,6726,LQDP05,1F,2H,1,2,6,8,2.155,-158.38,0.96,3,-4777
299.1,6984,LQDP05,1F,3H,1,1,0,2,1.586,-170.64,1.24,3,-5035
305.5,7134,LQDP05,1F,3H,1,2,6,8,1.987,-174.76,0.94,3,-5185
311.9,7283,LQDP05,1F,3H,1,3,12,14,1.66,-178.14,1.77,3,-5334
318.3,7433,LQDP05,1F,3H,1,4,18,20,1.791,-181.92,0.66,3,-5484
324.7,7582,LQDP05,1F,3H,1,5,24,26,1.926,-169.42,1.59,3,-5633
331,7731,LQDP05,1F,3H,1,6,30,32,1.657,-182.36,0.84,3,-5782
337.4,7881,LQDP05,1F,3H,1,7,36,38,1.658,-183.06,0.7,3,-5932
350.2,8179,LQDP05,1F,3H,1,9,48,50,1.394,-189.42,0.86,3,-6230
