dD (permil),year (AD)
-438.357123448024,2010
-414.801069501529,2009
-446.929061346573,2008
-453.44296106371,2007
-430.179014808698,2006
-436.27830376308,2005
-437.706791587257,2004
-432.443597985904,2003
-430.56613105056,2002
-455.488965045262,2001
-439.93341474785,2000
-423.965618417799,1999
-430.809627482076,1998
-434.135477998252,1997
-440.259135222891,1996
-439.897884011875,1995
-440.310721097914,1994
-441.820423849487,1993
-433.800521728465,1992
-431.367570103072,1991
-434.066746483103,1990
-433.975819829763,1989
-440.167271439078,1988
-446.274953026266,1987
-437.76181231912,1986
-431.857891129797,1985
-432.715341882139,1984
-437.619513904616,1983
-438.007886489579,1982
-442.171769533664,1981
-441.651172817644,1980
-444.862959695911,1979
-440.613964095616,1978
-440.170277153279,1977
-429.256963516282,1976
-434.064809431751,1975
-436.185973717205,1974
-435.211233277692,1973
-430.160033777359,1972
-431.211944931815,1971
-433.521546333944,1970
-438.668562935858,1969
-444.085214819007,1968
-444.413242102073,1967
-441.087766794783,1966
-444.428432202628,1965
-446.113376436026,1964
-445.442568860531,1963
-445.68632854933,1962
-447.76758851857,1961
-440.310669231986,1960
-445.000386522009,1959
-446.784970371967,1958
-445.23683825299,1957
-451.509575815366,1956
-450.386440114561,1955
-453.053974473458,1954
-445.733301219869,1953
-443.042519844177,1952
-442.108615258639,1951
-437.135096773058,1950
-434.765516856648,1949
-436.258999094111,1948
-435.527218754704,1947
-437.788017895617,1946
-434.56884105264,1945
-428.041869336236,1944
-434.203769846513,1943
-437.485001395687,1942
-425.884103513758,1941
-430.113204960307,1940
-429.646346260056,1939
-433.871260036387,1938
-441.576697097403,1937
-444.016511399608,1936
-449.594247034319,1935
-448.083939834497,1934
-442.600961685917,1933
-441.452344928709,1932
-432.197833909341,1931
-431.076135059844,1930
-427.988138079012,1929
-427.436482319918,1928
-433.814186822577,1927
-438.318283182666,1926
-442.544911920075,1925
-444.14287150287,1924
-443.351472792059,1923
-443.271091152595,1922
-443.051668604346,1921
-440.951016287634,1920
-434.629275887461,1919
-438.158601769865,1918
-438.181148697523,1917
-437.727525224897,1916
-434.242250875454,1915
-430.097834104654,1914
-427.41498675907,1913
-434.870726659015,1912
-438.255809449091,1911
-440.570470752319,1910
-441.469552143902,1909
-446.1773054643,1908
-448.624027100005,1907
-450.567145591027,1906
-455.24164328541,1905
-456.551103100137,1904
-449.945841072388,1903
-451.781489866852,1902
-449.40055379981,1901
-448.261152007101,1900
-448.958026312749,1899
-448.066831813837,1898
-446.680676901509,1897
-447.747840821675,1896
-444.092925669599,1895
-442.2021239804,1894
-440.931175069207,1893
-440.27531977562103,1892
-437.381966193,1891
-435.85551572845,1890
-439.192737619389,1889
-441.243954068677,1888
-436.289575378408,1887
-441.444371304641,1886
-438.521372311668,1885
-437.969652333088,1884
-435.189400142205,1883
-431.689579297295,1882
-435.58986894029,1881
-442.23509253303,1880
-439.243175784239,1879
-443.058656537795,1878
-442.65725546539,1877
-440.672965007861,1876
-444.72843295164,1875
-441.140521351376,1874
-445.243269088662,1873
-441.095294459765,1872
-439.200291748312,1871
-443.720756962035,1870
-442.082992596311,1869
-445.822723542511,1868
-446.89701725178,1867
-446.466473277021,1866
-444.9365519118,1865
-440.289532272457,1864
-437.522106731553,1863
-436.158144785808,1862
-441.490997355181,1861
-440.79314001189,1860
-444.174284807567,1859
-446.339692565004,1858
-446.234703182537,1857
-453.633222853768,1856
-447.060707072348,1855
-448.626370938941,1854
-444.011580641832,1853
-446.332461185383,1852
-447.766567816537,1851
-448.383988092451,1850
-449.451228049875,1849
-449.272025006823,1848
-448.071955356953,1847
-443.40572683673,1846
-442.323536218614,1845
-447.021666242747,1844
-449.432165974514,1843
-451.490703801922,1842
-450.15158646651,1841
-453.306862588916,1840
-451.13876810401,1839
-453.755417129046,1838
-450.661938581029,1837
-446.117357888321,1836
-443.515285051157,1835
-439.043582190082,1834
-437.235839411501,1833
-439.128167702275,1832
-437.379052274023,1831
-437.910771464705,1830
-438.729458700777,1829
-437.770446853635,1828
-444.952366192269,1827
-446.03685701488,1826
-443.52419402677,1825
-446.270158664179,1824
-442.834320282503,1823
-441.246551235322,1822
-439.843641935066,1821
-446.083342466146,1820
-450.924920072678,1819
-447.844938091441,1818
-444.280582672065,1817
-443.53833008241,1816
-446.731199806229,1815
-441.265628545695,1814
-446.239520288279,1813
-450.714686644908,1812
-451.005029338415,1811
-452.063315861904,1810
-450.101780593864,1809
-449.432480705918,1808
-449.589899765519,1807
-451.529856050504,1806
-453.839811088547,1805
-451.85778343692,1804
-449.873496841095,1803
-450.166396828433,1802
-454.742812534289,1801
-447.724633835273,1800
-444.35965434349,1799
-445.356798024964,1798
-447.336317420079,1797
