d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-35.9,1994,0.47,0.14,137
-37.3,1993,0.94,0.27,137
-37.3,1992,1.4,0.41,137
-36.3,1991,1.85,0.55,137
-35.9,1990,2.29,0.69,137
-35.4,1989,2.72,0.82,137
-34.5,1988,3.14,0.96,137
-34.5,1987,3.55,1.1,137
-35.7,1986,3.95,1.24,137
-33.4,1985,4.36,1.37,137
-37.6,1984,4.75,1.51,137
-36,1983,5.14,1.65,137
-35.5,1982,5.52,1.79,137
-36.6,1981,5.89,1.92,137
-37.4,1980,6.26,2.06,137
-36.5,1979,6.62,2.2,137
-34.4,1978,6.97,2.34,137
-34.3,1977,7.33,2.47,137
-33.4,1976,7.67,2.61,137
-33.9,1975,8.02,2.75,137
-35.5,1974,8.35,2.89,137
-37.4,1973,8.69,3.02,137
-33.7,1972,9.03,3.16,137
-35.3,1971,9.35,3.3,137
-35.8,1970,9.68,3.44,137
-35.1,1969,9.98,3.57,137
-37.1,1968,10.25,3.71,137
-37.4,1967,10.57,3.85,137
-34.1,1966,10.88,3.99,137
-35,1965,11.19,4.12,137
-35.9,1964,11.5,4.26,137
-35.9,1963,11.8,4.4,137
-34.5,1962,12.11,4.54,137
-34.6,1961,12.41,4.67,137
-35.1,1960,12.7,4.81,137
-37.3,1959,13,4.95,137
-37.1,1958,13.29,5.09,137
-35,1957,13.58,5.22,137
-34.3,1956,13.87,5.36,137
-33.5,1955,14.16,5.5,137
-35.4,1954,14.44,5.63,137
-34.3,1953,14.73,5.77,137
-33.7,1952,15.01,5.91,137
-34.5,1951,15.29,6.05,137
-34.4,1950,15.56,6.18,137
-36.1,1949,15.84,6.32,137
-35.4,1948,16.11,6.46,137
-36.4,1947,16.39,6.6,137
-37.4,1946,16.66,6.73,137
-37.4,1945,16.93,6.87,137
-37.1,1944,17.19,7.01,137
-34.8,1943,17.46,7.15,137
-35.6,1942,17.72,7.28,137
-36.1,1941,17.99,7.42,137
-34.4,1940,18.25,7.56,137
-38.7,1939,18.51,7.7,137
-38,1938,18.77,7.83,137
-35.4,1937,19.03,7.97,137
-35.8,1936,19.28,8.11,137
-34.6,1935,19.54,8.25,137
-33.6,1934,19.79,8.38,137
-35,1933,20.05,8.52,137
-34.5,1932,20.3,8.66,137
-34.6,1931,20.55,8.8,137
-35.2,1930,20.8,8.93,137
-33.4,1929,21.05,9.07,137
-31.6,1928,21.3,9.21,137
-33.9,1927,21.54,9.35,137
-34.3,1926,21.79,9.48,137
-34.1,1925,22.03,9.62,137
-36.2,1924,22.28,9.76,137
-34.6,1923,22.52,9.9,137
-35.9,1922,22.76,10.03,137
-36.5,1921,23,10.17,137
-35.7,1920,23.24,10.31,138
-35.2,1919,23.48,10.45,137
-35.5,1918,23.72,10.58,137
-36.2,1917,23.95,10.72,138
-33.4,1916,24.19,10.86,137
-33,1915,24.42,10.99,137
-36.2,1914,24.66,11.13,138
-36.7,1913,24.89,11.27,137
-34.6,1912,25.12,11.41,152
-33.5,1911,25.38,11.56,152
-35,1910,25.64,11.71,152
-34.1,1909,25.89,11.86,152
-34.7,1908,26.14,12.01,152
-35.7,1907,26.4,12.17,152
-34.7,1906,26.65,12.32,152
-35.3,1905,26.9,12.47,152
-34.4,1904,27.15,12.62,152
-33.4,1903,27.4,12.77,152
-33.4,1902,27.64,12.92,152
-34.8,1901,27.89,13.08,152
-35.8,1900,28.14,13.23,152
-35.5,1899,28.38,13.38,152
-35.7,1898,28.63,13.53,152
-36.1,1897,28.87,13.68,152
-34.8,1896,29.12,13.83,152
-33.9,1895,29.36,13.99,152
-35.4,1894,29.6,14.14,152
-35.1,1893,29.84,14.29,152
-35.6,1892,30.08,14.44,152
-35.5,1891,30.32,14.59,152
-35.7,1890,30.56,14.74,152
-35.4,1889,30.8,14.9,152
-35.9,1888,31.04,15.05,152
-36.4,1887,31.27,15.2,152
-36.3,1886,31.51,15.35,152
-37.1,1885,31.75,15.5,152
-36.2,1884,31.98,15.65,152
-37,1883,32.22,15.81,152
-37,1882,32.45,15.96,152
-34.9,1881,32.68,16.11,152
-34,1880,32.92,16.26,152
-32.8,1879,33.15,16.41,152
-32.7,1878,33.38,16.57,152
-33.7,1877,33.61,16.72,152
-34.4,1876,33.84,16.87,152
-35.1,1875,34.07,17.02,152
-35.2,1874,34.3,17.17,152
