dD (permil),year (AD)
-426.2962084,2009
-431.4118314,2008
-437.7516371,2007
-443.329111,2006
-435.6018916,2005
-434.7832954,2004
-402.974526,2003
-418.0696589,2002
-424.1322949,2001
-430.4853274,2000
-420.4028244,1999
-412.8407105,1998
-420.3330389,1997
-421.4969792,1996
-405.8879336,1995
-415.4459741,1994
-426.4233008,1993
-411.7694844,1992
-413.2743518,1991
-427.8091904,1990
-432.4553725,1989
-430.6933042,1988
-435.0317335,1987
-426.5381979,1986
-429.605693,1985
-441.9768041,1984
-439.2644364,1983
-423.413766,1982
-419.0349511,1981
-432.5442711,1980
-412.6451222,1979
-423.5983866,1978
