d18O (permil),year (AD),depth (cm)
3.2,2007,0
3.44,1998,0.25
3.14,1981,0.75
3.6,1963,1.25
3.55,1945,1.75
4.03,1928,2.25
3.36,1910,2.75
3.38,1892,3.25
3.27,1875,3.75
3.3,1857,4.25
3.15,1839,4.75
3.04,1822,5.25
3.32,1804,5.75
3.35,1786,6.25
3.18,1769,6.75
3.15,1751,7.25
3.18,1733,7.75
3.26,1716,8.25
3.37,1698,8.75
3.23,1680,9.25
3.31,1663,9.75
3.35,1645,10.25
3.31,1627,10.75
3.77,1610,11.25
3.56,1592,11.75
3.73,1574,12.25
3.28,1557,12.75
3.24,1539,13.25
3.43,1521,13.75
3.49,1504,14.25
3.42,1486,14.75
3.33,1458,15.25
3.33,1431,15.75
3.28,1403,16.25
3.36,1375,16.75
3.45,1347,17.25
3.44,1320,17.75
3.35,1292,18.25
3.33,1264,18.75
3.38,1237,19.25
3.38,1209,19.75
3.38,1181,20.25
3.35,1154,20.75
3.42,1126,21.25
3.28,1099,21.75
3.3,1074,22.25
3.22,1049,22.75
3.34,1024,23.25
3.4,999,23.75
3.27,974,24.25
3.18,949,24.75
3.5,923,25.25
3.09,898,25.75
3.32,873,26.25
3.27,848,26.75
3.62,823,27.25
3.31,798,27.75
3.37,773,28.25
3.69,748,28.75
3.38,722,29.25
3.45,697,29.75
3.24,672,30.25
3.26,647,30.75
3.36,621,31.25
3.29,596,31.75
3.23,570,32.25
3.26,545,32.75
3.31,519,33.25
3.34,494,33.75
3.28,468,34.25
3.3,443,34.75
3.32,417,35.25
3.49,391,35.75
3.23,366,36.25
3.27,340,36.75
3.45,315,37.25
3.24,289,37.75
3.18,264,38.25
3.26,238,38.75
3.3,213,39.25
3.11,187,39.75
3.15,161,40.25
3.12,136,40.75
3.18,110,41.25
3.23,85,41.75
3.29,59,42.25
3.62,34,42.75
3.19,8,43.25
3.13,-17,43.75
3.43,-43,44.25
3.1,-69,44.75
3.32,-94,45.25
3.2,-120,45.75
