dD (permil),year (AD),depth (cm),dD (permil),dD (permil)
-94.018,NA,10,-94.018,-82.171
NA,NA,27,NA,-106.236
-107.408,NA,47,-107.408,-112.4
NA,NA,69,NA,-112.388
-97.628,NA,97,-97.628,-106.807
NA,NA,111,NA,-115.514
-122.33,NA,125,-122.33,NA
NA,NA,141,NA,-95.777
-96.029,NA,161,-96.029,-70.641
NA,NA,170,NA,-89.292
-119.419,NA,179,-119.419,-110.078
NA,NA,195,NA,-109.781
NA,NA,205,NA,-97.441
-122.578,NA,211,-122.578,-129.641
-107.594,NA,241,-107.594,-130.615
NA,NA,257,NA,-100.617
-121.584,NA,271,-121.584,-125.932
NA,NA,287,NA,-124.465
-113.957,NA,301,-113.957,-109.43
NA,NA,317,NA,-108.016
-105.838,NA,331,-105.838,-80.897
-108.548,NA,361,-108.548,-108.952
NA,NA,385,NA,-109.13
-114.824,NA,401,-114.824,-109.932
-117.082,NA,421,-117.082,-103.121
-109.496,NA,451,-109.496,-100.864
NA,NA,477,NA,-103.958
