d18O (permil),year (AD),depth (cm),d18O (permil)
-36.68,1970,NA,-26.92
-39.01,1969,NA,-30.03
-41.85,1968,NA,-31.69
-37.78,1967,NA,-33.58
-38.41,1966,NA,-32.62
-36.98,1965,NA,-32.71
-37.4,1964,NA,-32.96
-38.35,1963,NA,-33.11
-37.82,1962,NA,-30.88
-36.42,1961,NA,-33.48
-37.53,1960,NA,-33.22
-37.05,1959,NA,-32.62
-41.77,1958,NA,-30.73
-40.26,1957,NA,-35.95
-38.03,1956,NA,-36.08
-40.12,1955,NA,-35.72
-38.6,1954,NA,-34.24
-38.69,1953,NA,-27.17
-42.14,1952,NA,-35.64
-37.87,1951,NA,-32.35
-38.13,1950,NA,-31.58
-41.37,1949,NA,-37.37
-35.8,1948,NA,-34.49
-36.61,1947,NA,-29.11
-33.88,1946,NA,-31.66
-37.13,1945,NA,-31.24
-41.15,1944,NA,-33.07
-36.84,1943,NA,-31.94
-36.84,1942,NA,-33.87
-39.26,1941,NA,-29.87
-34.74,1940,NA,-30.53
-37.18,1939,NA,-32.82
-37.24,1938,NA,-32.61
-36.79,1937,NA,-32.4
-38.89,1936,NA,-32.82
-34.55,1935,NA,-30.25
-34.89,1934,NA,-29.53
-40.1,1933,NA,-28.81
-36.79,1932,NA,-31.88
-39.01,1931,NA,-30
-38.98,1930,NA,-30.94
-35.45,1929,NA,-32.27
-38.37,1928,NA,-33.14
-37.57,1927,NA,-28.4
-35.98,1926,NA,-32.97
-37.66,1925,NA,-33.98
-41.33,1924,NA,-34.42
-38.83,1923,NA,-30.02
-37.65,1922,NA,-30.62
-39.22,1921,NA,-35.92
-37.08,1920,NA,-33.22
-38.42,1919,NA,-33.28
-40.76,1918,NA,-31.65
-35.68,1917,NA,-31.66
-34.74,1916,NA,-27.83
-41.13,1915,NA,-34.55
-39.35,1914,NA,-33.42
-41.2,1913,NA,-31.5
-35.99,1912,NA,-30.46
-38.82,1911,NA,-33.18
-41.71,1910,NA,-31.35
-36.48,1909,NA,-33.24
-38.45,1908,NA,-28.1
-40.9,1907,NA,-32.57
-40.49,1906,NA,-33.23
-38.63,1905,NA,-31.77
-40.08,1904,NA,-32.06
-40.97,1903,NA,-32.72
-41,1902,NA,-29.16
-38.19,1901,NA,-31.47
-41.65,1900,NA,-34.32
-38.19,1899,NA,-31.59
-37.53,1898,NA,-30.7
-38.53,1897,NA,-32.59
-37.4,1896,NA,-32.58
-38.42,1895,NA,-26.78
-38.64,1894,NA,-27.89
-34.6,1893,NA,-28.41
-39.57,1892,NA,-33.55
-39.41,1891,NA,-33.23
-41.33,1890,NA,-34.58
-39.2,1889,NA,-29.2
-41.16,1888,NA,-31.76
-40.5,1887,NA,-35.53
-35.78,1886,NA,-35.06
-35.32,1885,NA,-29.7
-36.6,1884,NA,-31.05
-38.03,1883,NA,-33.03
-36.62,1882,NA,-34.76
-37.68,1881,NA,-31.07
-38.14,1880,NA,-32.35
-33.63,1879,NA,-33.96
-38.17,1878,NA,-32.82
-36.73,1877,NA,-35.56
-36.44,1876,NA,-31.98
-38.39,1875,NA,-32.72
-39.15,1874,NA,-32.36
-37.42,1873,NA,-32.21
-37.04,1872,NA,-33.8
-37.7,1871,NA,-31.11
-41.67,1870,NA,-30.39
-41.56,1869,NA,-35.51
-36.83,1868,NA,-31.06
-37.21,1867,NA,-30.23
-41.59,1866,NA,-33.87
-38.81,1865,NA,-32.34
-39.22,1864,NA,-31.57
-37.14,1863,NA,-34.25
-38.32,1862,NA,-32.32
-38.18,1861,NA,-31.41
-40.71,1860,NA,-30.75
-39.78,1859,NA,-32.55
-38.2,1858,NA,-29.59
-39.8,1857,NA,-29.98
-39.11,1856,NA,-30.15
-38.4,1855,NA,-31.51
-40.59,1854,NA,-32.27
-36.26,1853,NA,-31.18
-36.83,1852,NA,-29.76
-37.37,1851,NA,-32.49
-37.04,1850,NA,-33.8
-39.01,1849,NA,-36.5
-38.28,1848,NA,-33.93
-41.08,1847,NA,-28.45
-38.23,1846,NA,-31.35
-36.64,1845,NA,-30.99
-38.68,1844,NA,-33.34
-36.17,1843,NA,-34.82
-36.7,1842,NA,-35.52
-38.5,1841,NA,-30.2
-40.41,1840,NA,-30.58
-40.97,1839,NA,-36.03
-39.42,1838,NA,-33.74
-41.39,1837,NA,-30.88
-38.82,1836,NA,-32.62
-42.49,1835,NA,-32.78
-41.03,1834,NA,-32.17
-41.38,1833,NA,-28.83
-36.68,1832,NA,-33.83
-37.12,1831,NA,-30.27
-36.23,1830,NA,-34.22
-35.99,1829,NA,-36.31
-35.32,1828,NA,-32.59
-39.49,1827,NA,-32.51
-43.61,1826,NA,-30.31
-42.23,1825,NA,-31.56
-39.16,1824,NA,-34.58
-37.16,1823,NA,-33.42
-35.87,1822,NA,-31.81
-38.69,1821,NA,-35.81
-41.95,1820,NA,-30.46
-40.69,1819,NA,-30.16
-37.13,1818,NA,-32.22
-40.9,1817,NA,-30.49
-38.64,1816,NA,-31.69
-39.12,1815,NA,-31.23
-43.26,1814,NA,-29.51
-38.08,1813,NA,-31.87
-37.05,1812,NA,-32.99
-34.75,1811,NA,-30.44
-36.82,1810,NA,-31.47
-36.81,1809,NA,-30.46
-35.32,1808,NA,-30.65
-36.75,1807,NA,-35.38
-36.56,1806,NA,-35.76
-36.46,1805,NA,-31.38
-37.77,1804,NA,-33.23
-38.12,1803,NA,-34.27
-39.67,1802,NA,-38.81
-38.69,1801,NA,-33.79
-36.39,1800,NA,-31.26
-36.94,1799,NA,-35.16
-37.96,1798,NA,-35.45
-39.73,1797,NA,-32.18
-39.13,1796,NA,-33.22
-37.35,1795,NA,-35.15
-39.45,1794,NA,-32.31
-35.97,1793,NA,-34.43
-34.27,1792,NA,-33.33
-39.22,1791,NA,-31.92
-38.31,1790,NA,-35.47
-35.89,1789,NA,-34.69
-36.93,1788,NA,-31.63
-37.2,1787,NA,-33.29
-36.81,1786,NA,-30.39
-36.49,1785,NA,-31.41
-36.52,1784,NA,-32.96
-39.12,1783,NA,-35.89
-35.68,1782,NA,-34.78
-38.84,1781,NA,-33.41
-35.23,1780,NA,-33.3
-39.04,1779,NA,-32.91
-38.78,1778,NA,-38.87
